idpc_structure,luke_structure,priority,candidate_file_pattern,matched_path,found,readable,n_rows_estimate,n_columns,columns,numeric_columns,matched_candidate_columns,missing_candidate_columns,eligibility_note
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_mm_derangement/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_mm_random/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_mm_reverse/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_mm_shift1/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_random/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_surrogate/Chapter7/new_phi_dataset.csv,True,True,10837,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_surrogate_btc/Chapter7/new_phi_dataset.csv,True,True,10837,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,IDPC_Reproduction_surrogate_spx/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
non-closed O3,non-literal normalized closure,high,Chapter7/new_phi_dataset.csv,backups/mm_fullnb_derangement/Chapter7/new_phi_dataset.csv,True,True,10868,14,label; idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,idx_in_session; h; a; eps; dpsi; phi_latent; phi_clean; dphi; d2phi; dh; da; deps; ddpsi,dphi,deltaC_gain; phi; sharp; switch_gain; winner,usable candidate columns found
