status,exclusion_reason,n_values,primary_shell_score,random_shell_mean,random_shell_sd,raw_p_vs_random_shells,fixed_ladder_rank,best_fixed_ladder,best_fixed_ladder_score,alternative_scores,source_file,condition,column,n_random_shells,fdr_q_vs_random_shells
tested,,226,0.5195267609840984,0.5462191479693953,0.033233609408499065,0.3036963036963037,4,phi_1_phi_phi2,0.4871381668988644,compact_1_1.5_3=0.49249191; linear_1_2_3=0.51438193; wide_1_2.5_5=0.54898645; triple_1_3_6=0.5789852; phi_1_phi_phi2=0.48713817,IDPC_Reproduction/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,observed,J,1000,0.5178155178155178
tested,,226,0.5618330297954673,0.5815198959229256,0.02440563661536617,0.1838161838161838,4,phi_1_phi_phi2,0.5350573288912321,compact_1_1.5_3=0.54603844; linear_1_2_3=0.54508599; wide_1_2.5_5=0.56709958; triple_1_3_6=0.59314408; phi_1_phi_phi2=0.53505733,IDPC_Reproduction/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,observed,J_tilde,1000,0.5144855144855145
tested,,226,0.592291564291255,0.6062832858145776,0.019115335007951217,0.2057942057942058,4,compact_1_1.5_3,0.559288637452798,compact_1_1.5_3=0.55928864; linear_1_2_3=0.58404334; wide_1_2.5_5=0.60658304; triple_1_3_6=0.62323995; phi_1_phi_phi2=0.56449338,IDPC_Reproduction/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,observed,dphi,1000,0.5144855144855145
tested,,226,0.12670817718973393,0.12188570005671599,0.01102568926778078,1.0,3,compact_1_1.5_3,0.11471642170657272,compact_1_1.5_3=0.11471642; linear_1_2_3=0.12670818; wide_1_2.5_5=0.12670818; triple_1_3_6=0.12670818; phi_1_phi_phi2=0.12206205,IDPC_Reproduction/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,observed,distance,1000,1.0
tested,,226,0.21185558068153704,0.20966299090426788,0.006679803603745591,1.0,2,compact_1_1.5_3,0.2103196393709115,compact_1_1.5_3=0.21031964; linear_1_2_3=0.21185558; wide_1_2.5_5=0.21185558; triple_1_3_6=0.21185558; phi_1_phi_phi2=0.21185558,IDPC_Reproduction/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,observed,r_local,1000,1.0
tested,,226,0.5195267609840984,0.544829160467415,0.0330775652773838,0.2997002997002997,4,phi_1_phi_phi2,0.4871381668988644,compact_1_1.5_3=0.49249191; linear_1_2_3=0.51438193; wide_1_2.5_5=0.54898645; triple_1_3_6=0.5789852; phi_1_phi_phi2=0.48713817,IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,J,1000,0.5178155178155178
tested,,226,0.5618330297954673,0.5829672727510796,0.02488466673857322,0.16383616383616384,4,phi_1_phi_phi2,0.5350573288912321,compact_1_1.5_3=0.54603844; linear_1_2_3=0.54508599; wide_1_2.5_5=0.56709958; triple_1_3_6=0.59314408; phi_1_phi_phi2=0.53505733,IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,J_tilde,1000,0.5144855144855145
tested,,226,0.592291564291255,0.6060165768715051,0.0192830312469212,0.2037962037962038,4,compact_1_1.5_3,0.559288637452798,compact_1_1.5_3=0.55928864; linear_1_2_3=0.58404334; wide_1_2.5_5=0.60658304; triple_1_3_6=0.62323995; phi_1_phi_phi2=0.56449338,IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,dphi,1000,0.5144855144855145
tested,,226,0.12670817718973393,0.12225334441914808,0.010287200810790353,1.0,3,compact_1_1.5_3,0.11471642170657272,compact_1_1.5_3=0.11471642; linear_1_2_3=0.12670818; wide_1_2.5_5=0.12670818; triple_1_3_6=0.12670818; phi_1_phi_phi2=0.12206205,IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,distance,1000,1.0
tested,,226,0.21185558068153704,0.20973060381545106,0.006445944720110817,1.0,2,compact_1_1.5_3,0.2103196393709115,compact_1_1.5_3=0.21031964; linear_1_2_3=0.21185558; wide_1_2.5_5=0.21185558; triple_1_3_6=0.21185558; phi_1_phi_phi2=0.21185558,IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,r_local,1000,1.0
tested,,44,0.51820336367156,0.5500132737932988,0.03421234760047533,0.2837162837162837,3,phi_1_phi_phi2,0.5004560466318025,compact_1_1.5_3=0.50644054; linear_1_2_3=0.51820336; wide_1_2.5_5=0.56195425; triple_1_3_6=0.58441072; phi_1_phi_phi2=0.50045605,IDPC_Reproduction_random/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,J,1000,0.5178155178155178
