score_column,status,exclusion_reason,n_rows,observed_resultant,null_mean,null_sd,z_score,raw_p,weighted_12bin_counts,chapter7_dir,condition,n_perm,fdr_q
sharp,tested,,5421,0.44933789924287104,0.01404849294111422,0.00760510471648359,57.2364776724631,0.000999000999000999,1993.5039;762.16873;456.09032;298.37701;336.75219;403.22306;368.34143;311.69472;310.56384;471.24256;868.79916;1933.964,IDPC_Reproduction/Chapter7,observed,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.015158678444489341,0.007898934785173737,68.38838268754031,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction/Chapter7,observed,1000,0.000999000999000999
sharp,tested,,5421,0.44800210920250383,0.014017327697451822,0.007240747457860685,59.936461536703696,0.000999000999000999,2065.0187;889.66117;488.51571;357.78038;329.33537;404.09694;385.3434;308.38175;296.44482;491.99259;892.954;1867.8236,IDPC_Reproduction_mm_derangement/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568748,0.01484494475181529,0.007752621063902116,69.71953151712614,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_mm_derangement/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.4145566907341584,0.013390817398341753,0.0071068487408906195,56.44778550409153,0.000999000999000999,1738.1761;889.26391;500.64265;351.03011;332.10403;413.31986;397.17003;329.42582;323.24371;543.77629;918.73795;1795.5106,IDPC_Reproduction_mm_random/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.015129646258650502,0.007917012677567054,68.23589011407755,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_mm_random/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.4288311441122164,0.013931118029803865,0.007354848822147554,56.41176808869679,0.000999000999000999,1875.759;835.15456;476.84247;317.46216;333.70627;405.77072;396.78352;339.43554;342.78234;508.38538;908.65156;1882.6585,IDPC_Reproduction_mm_reverse/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.01488783327898183,0.0076718972068959826,70.44753149091834,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_mm_reverse/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.43511559121535864,0.013423479788832631,0.007238194563543857,58.259294873121426,0.000999000999000999,1832.4202;795.37529;466.92547;375.51936;367.67709;421.45708;329.96025;305.61906;303.84818;564.02831;985.02005;1914.8359,IDPC_Reproduction_mm_shift1/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568748,0.014716106998276118,0.00785480814404994,68.82891808988803,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_mm_shift1/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.3811500275201391,0.012172676017165138,0.006449242425213833,57.21251073776158,0.000999000999000999,1455.3328;911.96309;525.24272;367.60113;281.45979;293.62609;359.76769;402.61539;448.26227;520.40038;785.90541;1485.5026,IDPC_Reproduction_random/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.01498641958179308,0.007672186020941214,70.43202971097803,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_random/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.3827921395626782,0.012651545854653194,0.006745126549913232,54.8752630464415,0.000999000999000999,1502.6088;857.1462;492.16228;333.95339;345.73951;411.33872;358.75605;321.92466;351.30659;547.43992;931.19172;1504.404,IDPC_Reproduction_surrogate/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568748,0.015282996050667137,0.007573428008523091,71.31130799664496,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_surrogate/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.35223914276133544,0.012254928642940697,0.006257536061865097,54.33196241414234,0.000999000999000999,1265.0294;819.63136;488.66866;386.07236;338.70435;354.4803;349.41113;336.46234;401.8749;559.19621;897.82192;1355.5533,IDPC_Reproduction_surrogate_btc/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.015336834835306965,0.007929897024274834,68.09889420612633,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_surrogate_btc/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.3975079390099309,0.012747706253870839,0.006784989817800288,56.70756229385181,0.000999000999000999,1605.5527;817.74542;466.15859;369.32969;378.44168;391.95584;328.45332;293.21184;357.94675;518.79814;872.62777;1587.0693,IDPC_Reproduction_surrogate_spx/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568748,0.015012318939025349,0.007726352630054283,69.93490464258726,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,IDPC_Reproduction_surrogate_spx/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.43482299180822914,0.01432499356300756,0.007488458998691031,56.152807716343766,0.000999000999000999,1780.1645;737.09847;435.02142;379.50879;409.23223;413.95764;317.03154;272.92637;351.22781;624.4424;1002.8756;2008.288,backups/mm_fullnb_derangement/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568748,0.015127646775778743,0.007968108970718953,67.79857160165722,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,backups/mm_fullnb_derangement/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.4427612407400458,0.014025140293780936,0.00735521895511597,58.29005269082502,0.000999000999000999,2050.0244;903.73993;490.93415;357.76178;358.68235;426.55799;378.38874;317.57294;298.44636;486.84447;891.32222;1915.2937,backups/mm_fullnb_random/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.01480985707682843,0.007579307233206327,71.31841732339649,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,backups/mm_fullnb_random/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.4453750291365607,0.014421261572670594,0.007411952222334189,58.1430849304872,0.000999000999000999,1969.6798;898.24885;484.59148;346.21608;337.52543;405.08626;379.67876;303.62971;339.80098;446.43624;902.88089;1931.9585,backups/mm_fullnb_reverse/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568748,0.014764848608249125,0.00792487067305205,68.21426204302112,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,backups/mm_fullnb_reverse/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.4295103253409122,0.013822370202374638,0.007077385830933762,58.73467478933438,0.000999000999000999,1761.703;798.46062;466.41744;361.42075;385.47289;397.52772;332.84532;295.84252;343.65203;569.35282;950.93252;1905.4804,backups/mm_fullnb_shift1/Chapter7,control,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.014568015702991915,0.007576592143946523,71.37589398763603,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,backups/mm_fullnb_shift1/Chapter7,control,1000,0.000999000999000999
sharp,tested,,5421,0.44933789924287104,0.014463297989727413,0.007848117972046946,55.41132317353782,0.000999000999000999,1993.5039;762.16873;456.09032;298.37701;336.75219;403.22306;368.34143;311.69472;310.56384;471.24256;868.79916;1933.964,backups/mm_original_state/Chapter7,other,1000,0.000999000999000999
deltaC,tested,,5421,0.5553540533568749,0.01507193613161588,0.007742129815623333,69.78468846324297,0.000999000999000999,882.27912;249.15533;94.286319;188.52367;47.024255;104.74761;105.0618;46.595971;188.54423;94.622244;248.26735;883.31226,backups/mm_original_state/Chapter7,other,1000,0.000999000999000999
