source_file,condition,status,exclusion_reason,loop_type,n_events,n_completed_loops,holonomy_resultant_R,closure_error,preferred_root,preferred_root_count,roots_uniformity_p,n_perm,null_R_mean,null_R_sd,R_z,R_raw_p,null_closure_error_mean,null_closure_error_sd,closure_error_z,closure_error_raw_p,D12_root_fraction_rank,best_ring,best_ring_root_fraction,alternative_ring_root_fractions,R_fdr_q,closure_error_fdr_q,roots_uniformity_fdr_q
IDPC_Reproduction/event_level_with_fes_phase_TRUE_RICCI.csv,observed,tested,,phi_J_residual_FES_next_phi,226.0,200.0,0.0976706956288716,1.4723504897474498,0.0,24.0,0.47735613040610625,1000.0,0.06274499871463556,0.032847620844767195,1.0632641273865622,0.15384615384615385,1.5700187131088688,0.0639271232058717,1.5278057022351381,0.06793206793206794,3.0,D8,0.18,D8=0.18; D10=0.135; D16=0.085; D20=0.075; D24=0.09,0.5402097902097902,0.1585081585081585,0.7934130799173076
IDPC_Reproduction_mm_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,excluded,"ValueError(""missing required columns: ['J', 'distance', 'fes_phase', 'label', 'phi']"")",,,,,,,,,,,,,,,,,,,,,,,,
IDPC_Reproduction_mm_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,excluded,"ValueError(""missing required columns: ['J', 'distance', 'fes_phase', 'label', 'phi']"")",,,,,,,,,,,,,,,,,,,,,,,,
IDPC_Reproduction_mm_reverse/event_level_with_fes_phase_TRUE_RICCI.csv,control,excluded,"ValueError(""missing required columns: ['J', 'distance', 'fes_phase', 'label', 'phi']"")",,,,,,,,,,,,,,,,,,,,,,,,
IDPC_Reproduction_mm_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,excluded,"ValueError(""missing required columns: ['J', 'distance', 'fes_phase', 'label', 'phi']"")",,,,,,,,,,,,,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,tested,,phi_J_residual_FES_next_phi,44.0,21.0,0.19727608873566732,1.678818931333915,0.0,4.0,0.49229794780606884,1000.0,0.19900655990151314,0.10311441442516651,-0.01678204910043571,0.4645354645354645,1.5944029573066114,0.19295178018725315,-0.4374977724765264,0.6543456543456544,3.0,D8,0.23809523809523808,D8=0.23809524; D10=0.19047619; D16=0.19047619; D20=0.19047619; D24=0.14285714,0.6503496503496503,0.6543456543456544,0.7934130799173076
IDPC_Reproduction_surrogate/event_level_with_fes_phase_TRUE_RICCI.csv,control,excluded,"ValueError(""missing required columns: ['J', 'distance', 'fes_phase', 'label', 'phi']"")",,,,,,,,,,,,,,,,,,,,,,,,
IDPC_Reproduction_surrogate_btc/event_level_with_fes_phase_TRUE_RICCI.csv,control,excluded,"ValueError(""missing required columns: ['J', 'distance', 'fes_phase', 'label', 'phi']"")",,,,,,,,,,,,,,,,,,,,,,,,
IDPC_Reproduction_surrogate_spx/event_level_with_fes_phase_TRUE_RICCI.csv,control,excluded,"ValueError(""missing required columns: ['J', 'distance', 'fes_phase', 'label', 'phi']"")",,,,,,,,,,,,,,,,,,,,,,,,
backups/mm_fullnb_derangement/event_level_with_fes_phase_TRUE_RICCI.csv,control,tested,,phi_J_residual_FES_next_phi,237.0,211.0,0.010276532570555613,1.5881920315118763,1.0,24.0,0.5453668508843684,1000.0,0.06105446905313486,0.031168525853374016,-1.6291414204654306,0.9820179820179821,1.5694351270359885,0.06223701928729688,-0.3013785796730176,0.6233766233766234,3.0,D8,0.16587677725118483,D8=0.16587678; D10=0.13270142; D16=0.09478673; D20=0.08056872; D24=0.071090047,0.9820179820179821,0.6543456543456544,0.7934130799173076
backups/mm_fullnb_random/event_level_with_fes_phase_TRUE_RICCI.csv,control,tested,,phi_J_residual_FES_next_phi,223.0,196.0,0.07614738289452481,1.5490944665395558,9.0,22.0,0.6800683542148351,1000.0,0.061794679700127385,0.034689620611209705,0.413746329349,0.3086913086913087,1.55999617748769,0.06269637937823214,0.17388102879700273,0.4175824175824176,3.0,D8,0.17857142857142858,D8=0.17857143; D10=0.11734694; D16=0.091836735; D20=0.076530612; D24=0.06122449,0.5402097902097902,0.6083916083916084,0.7934130799173076
