topology_name,condition,null_index,n_nodes,n_directed_edges,null_model,carrier_score
C8(1),unseeded,0,8,8,degree-matched directed random graph,0.6956622919988937
C8(1),unseeded,1,8,8,degree-matched directed random graph,0.6902716959887999
C8(1),unseeded,2,8,8,degree-matched directed random graph,0.728822837115295
C8(1),unseeded,3,8,8,degree-matched directed random graph,0.7141892021116711
C8(1),unseeded,4,8,8,degree-matched directed random graph,0.6714589175137863
C8(1),unseeded,5,8,8,degree-matched directed random graph,0.722785284662264
C8(1),unseeded,6,8,8,degree-matched directed random graph,0.7093933018225242
C8(1),unseeded,7,8,8,degree-matched directed random graph,0.6949660699838379
C8(1),unseeded,8,8,8,degree-matched directed random graph,0.6645529268820168
C8(1),unseeded,9,8,8,degree-matched directed random graph,0.6953634532049974
C8(1),unseeded,10,8,8,degree-matched directed random graph,0.6945128334607987
C8(1),unseeded,11,8,8,degree-matched directed random graph,0.7030641950613075
C8(1),unseeded,12,8,8,degree-matched directed random graph,0.6965325298893112
C8(1),unseeded,13,8,8,degree-matched directed random graph,0.7033659579279937
C8(1),unseeded,14,8,8,degree-matched directed random graph,0.6886409084185955
C8(1),unseeded,15,8,8,degree-matched directed random graph,0.7021665831657198
C8(1),unseeded,16,8,8,degree-matched directed random graph,0.7035259719665985
C8(1),unseeded,17,8,8,degree-matched directed random graph,0.6990303483852673
C8(1),unseeded,18,8,8,degree-matched directed random graph,0.6894191157335312
C8(1),unseeded,19,8,8,degree-matched directed random graph,0.6823192413905673
C8(1),unseeded,20,8,8,degree-matched directed random graph,0.6964453705825692
C8(1),unseeded,21,8,8,degree-matched directed random graph,0.7086404593921706
C8(1),unseeded,22,8,8,degree-matched directed random graph,0.6966299501338253
C8(1),unseeded,23,8,8,degree-matched directed random graph,0.691552970865778
C8(1),unseeded,24,8,8,degree-matched directed random graph,0.6918824575154086
C8(1),unseeded,25,8,8,degree-matched directed random graph,0.6902196903037768
C8(1),unseeded,26,8,8,degree-matched directed random graph,0.6831608988639151
C8(1),unseeded,27,8,8,degree-matched directed random graph,0.7024090448944278
C8(1),unseeded,28,8,8,degree-matched directed random graph,0.6884932236847745
C8(1),unseeded,29,8,8,degree-matched directed random graph,0.6867292933490414
C8(1),unseeded,30,8,8,degree-matched directed random graph,0.6681292201179113
C8(1),unseeded,31,8,8,degree-matched directed random graph,0.7148705392491583
C8(1),unseeded,32,8,8,degree-matched directed random graph,0.7076300379843882
C8(1),unseeded,33,8,8,degree-matched directed random graph,0.7291181975982488
C8(1),unseeded,34,8,8,degree-matched directed random graph,0.7195373698635286
C8(1),unseeded,35,8,8,degree-matched directed random graph,0.6926445217325933
C8(1),unseeded,36,8,8,degree-matched directed random graph,0.6927128313236913
C8(1),unseeded,37,8,8,degree-matched directed random graph,0.7277545378961289
C8(1),unseeded,38,8,8,degree-matched directed random graph,0.6897348450677595
C8(1),unseeded,39,8,8,degree-matched directed random graph,0.7115533501656557
C8(1),unseeded,40,8,8,degree-matched directed random graph,0.6840452027145562
C8(1),unseeded,41,8,8,degree-matched directed random graph,0.6822418118779365
C8(1),unseeded,42,8,8,degree-matched directed random graph,0.6978745586308418
C8(1),unseeded,43,8,8,degree-matched directed random graph,0.6783528117086859
C8(1),unseeded,44,8,8,degree-matched directed random graph,0.694060294639621
C8(1),unseeded,45,8,8,degree-matched directed random graph,0.6778042644301618
C8(1),unseeded,46,8,8,degree-matched directed random graph,0.7243554959614025
C8(1),unseeded,47,8,8,degree-matched directed random graph,0.6941151665268995
C8(1),unseeded,48,8,8,degree-matched directed random graph,0.7000301418699941
C8(1),unseeded,49,8,8,degree-matched directed random graph,0.6883981778407493
C8(1),unseeded,50,8,8,degree-matched directed random graph,0.6841884369625588
C8(1),unseeded,51,8,8,degree-matched directed random graph,0.6902604225299747
C8(1),unseeded,52,8,8,degree-matched directed random graph,0.7410976161553409
C8(1),unseeded,53,8,8,degree-matched directed random graph,0.6998034439745769
C8(1),unseeded,54,8,8,degree-matched directed random graph,0.6878449629318971
C8(1),unseeded,55,8,8,degree-matched directed random graph,0.6992511999466049
C8(1),unseeded,56,8,8,degree-matched directed random graph,0.7060289812683832
C8(1),unseeded,57,8,8,degree-matched directed random graph,0.6896531010944119
C8(1),unseeded,58,8,8,degree-matched directed random graph,0.6835074477882651
C8(1),unseeded,59,8,8,degree-matched directed random graph,0.6862037377749943
C8(1),unseeded,60,8,8,degree-matched directed random graph,0.708879554389932
C8(1),unseeded,61,8,8,degree-matched directed random graph,0.727059836656254
C8(1),unseeded,62,8,8,degree-matched directed random graph,0.6767528501910228
C8(1),unseeded,63,8,8,degree-matched directed random graph,0.700081395616616
C8(1),unseeded,64,8,8,degree-matched directed random graph,0.7226210134509216
C8(1),unseeded,65,8,8,degree-matched directed random graph,0.6995493949116235
C8(1),unseeded,66,8,8,degree-matched directed random graph,0.6864037741237767
C8(1),unseeded,67,8,8,degree-matched directed random graph,0.6964595468536656
C8(1),unseeded,68,8,8,degree-matched directed random graph,0.7213723415814086
C8(1),unseeded,69,8,8,degree-matched directed random graph,0.7166259052439768
C8(1),unseeded,70,8,8,degree-matched directed random graph,0.716784980103978
C8(1),unseeded,71,8,8,degree-matched directed random graph,0.683220782314278
C8(1),unseeded,72,8,8,degree-matched directed random graph,0.7006120404340357
C8(1),unseeded,73,8,8,degree-matched directed random graph,0.6959112459276465
C8(1),unseeded,74,8,8,degree-matched directed random graph,0.6951872305066138
C8(1),unseeded,75,8,8,degree-matched directed random graph,0.6894414260987013
C8(1),unseeded,76,8,8,degree-matched directed random graph,0.6931557363407219
C8(1),unseeded,77,8,8,degree-matched directed random graph,0.7235774154587065
C8(1),unseeded,78,8,8,degree-matched directed random graph,0.7206164389303366
C8(1),unseeded,79,8,8,degree-matched directed random graph,0.7203116314145372
C8(1),seeded,0,8,8,degree-matched directed random graph,0.6778381371971853
C8(1),seeded,1,8,8,degree-matched directed random graph,0.7075364788721216
C8(1),seeded,2,8,8,degree-matched directed random graph,0.6932074407312794
C8(1),seeded,3,8,8,degree-matched directed random graph,0.733744384203102
C8(1),seeded,4,8,8,degree-matched directed random graph,0.7650426445853041
C8(1),seeded,5,8,8,degree-matched directed random graph,0.6928212247069219
C8(1),seeded,6,8,8,degree-matched directed random graph,0.72816386076264
C8(1),seeded,7,8,8,degree-matched directed random graph,0.6868506536132686
C8(1),seeded,8,8,8,degree-matched directed random graph,0.7135583491945011
C8(1),seeded,9,8,8,degree-matched directed random graph,0.6952651867878641
C8(1),seeded,10,8,8,degree-matched directed random graph,0.6910468316164475
C8(1),seeded,11,8,8,degree-matched directed random graph,0.7090135831549277
C8(1),seeded,12,8,8,degree-matched directed random graph,0.7053543364554523
C8(1),seeded,13,8,8,degree-matched directed random graph,0.70938174091903
C8(1),seeded,14,8,8,degree-matched directed random graph,0.739213741607954
C8(1),seeded,15,8,8,degree-matched directed random graph,0.7659380148945383
C8(1),seeded,16,8,8,degree-matched directed random graph,0.7356826754824072
C8(1),seeded,17,8,8,degree-matched directed random graph,0.7124263818460742
C8(1),seeded,18,8,8,degree-matched directed random graph,0.6717779306323091
C8(1),seeded,19,8,8,degree-matched directed random graph,0.664699115403099
C8(1),seeded,20,8,8,degree-matched directed random graph,0.703571097768999
C8(1),seeded,21,8,8,degree-matched directed random graph,0.6689916893037722
C8(1),seeded,22,8,8,degree-matched directed random graph,0.7060989872787613
C8(1),seeded,23,8,8,degree-matched directed random graph,0.7069855212939232
C8(1),seeded,24,8,8,degree-matched directed random graph,0.6863540425499359
C8(1),seeded,25,8,8,degree-matched directed random graph,0.7362293501510104
C8(1),seeded,26,8,8,degree-matched directed random graph,0.747563244916249
C8(1),seeded,27,8,8,degree-matched directed random graph,0.7255244146960221
C8(1),seeded,28,8,8,degree-matched directed random graph,0.6743593679525859
C8(1),seeded,29,8,8,degree-matched directed random graph,0.7546362032686114
C8(1),seeded,30,8,8,degree-matched directed random graph,0.7036097796782904
C8(1),seeded,31,8,8,degree-matched directed random graph,0.6849054034054677
C8(1),seeded,32,8,8,degree-matched directed random graph,0.7058190746915138
C8(1),seeded,33,8,8,degree-matched directed random graph,0.6614557520121283
C8(1),seeded,34,8,8,degree-matched directed random graph,0.6892140208637425
C8(1),seeded,35,8,8,degree-matched directed random graph,0.6927658866136721
C8(1),seeded,36,8,8,degree-matched directed random graph,0.6838588865440409
C8(1),seeded,37,8,8,degree-matched directed random graph,0.6869133894595445
C8(1),seeded,38,8,8,degree-matched directed random graph,0.7056775897258455
C8(1),seeded,39,8,8,degree-matched directed random graph,0.6928939089815456
C8(1),seeded,40,8,8,degree-matched directed random graph,0.6793425100777883
C8(1),seeded,41,8,8,degree-matched directed random graph,0.7068152145684885
C8(1),seeded,42,8,8,degree-matched directed random graph,0.7047707792563646
C8(1),seeded,43,8,8,degree-matched directed random graph,0.7071538284876913
C8(1),seeded,44,8,8,degree-matched directed random graph,0.6884187290455295
C8(1),seeded,45,8,8,degree-matched directed random graph,0.6805341143304764
C8(1),seeded,46,8,8,degree-matched directed random graph,0.683236619353132
C8(1),seeded,47,8,8,degree-matched directed random graph,0.7032930552651557
C8(1),seeded,48,8,8,degree-matched directed random graph,0.7249413536763036
C8(1),seeded,49,8,8,degree-matched directed random graph,0.7198375107237818
C8(1),seeded,50,8,8,degree-matched directed random graph,0.7169743649763738
C8(1),seeded,51,8,8,degree-matched directed random graph,0.6918952349010076
C8(1),seeded,52,8,8,degree-matched directed random graph,0.7055040928093365
C8(1),seeded,53,8,8,degree-matched directed random graph,0.6986531616076401
C8(1),seeded,54,8,8,degree-matched directed random graph,0.6829039733903859
C8(1),seeded,55,8,8,degree-matched directed random graph,0.6763454402129706
C8(1),seeded,56,8,8,degree-matched directed random graph,0.686498097542025
C8(1),seeded,57,8,8,degree-matched directed random graph,0.7560265142868832
C8(1),seeded,58,8,8,degree-matched directed random graph,0.7188679403638478
C8(1),seeded,59,8,8,degree-matched directed random graph,0.7508340785879728
C8(1),seeded,60,8,8,degree-matched directed random graph,0.6729141499668719
C8(1),seeded,61,8,8,degree-matched directed random graph,0.6840264383922776
C8(1),seeded,62,8,8,degree-matched directed random graph,0.7015764510156494
C8(1),seeded,63,8,8,degree-matched directed random graph,0.6680147491528896
C8(1),seeded,64,8,8,degree-matched directed random graph,0.7079130293044867
C8(1),seeded,65,8,8,degree-matched directed random graph,0.7235664085536295
C8(1),seeded,66,8,8,degree-matched directed random graph,0.711399677239401
C8(1),seeded,67,8,8,degree-matched directed random graph,0.7168301083648312
C8(1),seeded,68,8,8,degree-matched directed random graph,0.6970940955708266
C8(1),seeded,69,8,8,degree-matched directed random graph,0.6786308328048362
C8(1),seeded,70,8,8,degree-matched directed random graph,0.7351189134991571
C8(1),seeded,71,8,8,degree-matched directed random graph,0.7048047266805066
C8(1),seeded,72,8,8,degree-matched directed random graph,0.7028542339294483
C8(1),seeded,73,8,8,degree-matched directed random graph,0.7088109498036628
C8(1),seeded,74,8,8,degree-matched directed random graph,0.766357572862734
C8(1),seeded,75,8,8,degree-matched directed random graph,0.7400056252960338
C8(1),seeded,76,8,8,degree-matched directed random graph,0.7183381774946429
C8(1),seeded,77,8,8,degree-matched directed random graph,0.6796044632808342
C8(1),seeded,78,8,8,degree-matched directed random graph,0.7317607500145222
C8(1),seeded,79,8,8,degree-matched directed random graph,0.6791938489003877
"C6(1,2)",unseeded,0,6,24,degree-matched directed random graph,0.6708032063392543
"C6(1,2)",unseeded,1,6,24,degree-matched directed random graph,0.6597130454166242
"C6(1,2)",unseeded,2,6,24,degree-matched directed random graph,0.6912364514125755
"C6(1,2)",unseeded,3,6,24,degree-matched directed random graph,0.6650495781323011
"C6(1,2)",unseeded,4,6,24,degree-matched directed random graph,0.6625202165221487
"C6(1,2)",unseeded,5,6,24,degree-matched directed random graph,0.6739153721462703
"C6(1,2)",unseeded,6,6,24,degree-matched directed random graph,0.6547298333314431
"C6(1,2)",unseeded,7,6,24,degree-matched directed random graph,0.664635953084207
"C6(1,2)",unseeded,8,6,24,degree-matched directed random graph,0.6557467622703269
"C6(1,2)",unseeded,9,6,24,degree-matched directed random graph,0.6642497833768688
"C6(1,2)",unseeded,10,6,24,degree-matched directed random graph,0.641797593528785
"C6(1,2)",unseeded,11,6,24,degree-matched directed random graph,0.6592526548767355
"C6(1,2)",unseeded,12,6,24,degree-matched directed random graph,0.6489995426806611
"C6(1,2)",unseeded,13,6,24,degree-matched directed random graph,0.6710953500116121
"C6(1,2)",unseeded,14,6,24,degree-matched directed random graph,0.6706064081158138
"C6(1,2)",unseeded,15,6,24,degree-matched directed random graph,0.6486594933510854
"C6(1,2)",unseeded,16,6,24,degree-matched directed random graph,0.6707072103871728
"C6(1,2)",unseeded,17,6,24,degree-matched directed random graph,0.6628385639374811
"C6(1,2)",unseeded,18,6,24,degree-matched directed random graph,0.6536407365499717
"C6(1,2)",unseeded,19,6,24,degree-matched directed random graph,0.6632576828434865
"C6(1,2)",unseeded,20,6,24,degree-matched directed random graph,0.6609400849132421
"C6(1,2)",unseeded,21,6,24,degree-matched directed random graph,0.6744548598224347
"C6(1,2)",unseeded,22,6,24,degree-matched directed random graph,0.6704169212118092
"C6(1,2)",unseeded,23,6,24,degree-matched directed random graph,0.6678206300143363
"C6(1,2)",unseeded,24,6,24,degree-matched directed random graph,0.6972965830648213
"C6(1,2)",unseeded,25,6,24,degree-matched directed random graph,0.6840941698535847
"C6(1,2)",unseeded,26,6,24,degree-matched directed random graph,0.6676106254674827
"C6(1,2)",unseeded,27,6,24,degree-matched directed random graph,0.6638018170351685
"C6(1,2)",unseeded,28,6,24,degree-matched directed random graph,0.646697463621168
"C6(1,2)",unseeded,29,6,24,degree-matched directed random graph,0.6638512499706755
"C6(1,2)",unseeded,30,6,24,degree-matched directed random graph,0.6751457167090718
"C6(1,2)",unseeded,31,6,24,degree-matched directed random graph,0.6669723071215874
"C6(1,2)",unseeded,32,6,24,degree-matched directed random graph,0.6768341878606658
"C6(1,2)",unseeded,33,6,24,degree-matched directed random graph,0.6554135117818877
"C6(1,2)",unseeded,34,6,24,degree-matched directed random graph,0.6739632031115346
"C6(1,2)",unseeded,35,6,24,degree-matched directed random graph,0.6689203759914977
"C6(1,2)",unseeded,36,6,24,degree-matched directed random graph,0.6738819551418154
"C6(1,2)",unseeded,37,6,24,degree-matched directed random graph,0.6583498561591072
"C6(1,2)",unseeded,38,6,24,degree-matched directed random graph,0.6663778347220498
"C6(1,2)",unseeded,39,6,24,degree-matched directed random graph,0.6549831265822549
"C6(1,2)",unseeded,40,6,24,degree-matched directed random graph,0.6702195637082644
"C6(1,2)",unseeded,41,6,24,degree-matched directed random graph,0.6666260834329416
"C6(1,2)",unseeded,42,6,24,degree-matched directed random graph,0.6704172905942921
"C6(1,2)",unseeded,43,6,24,degree-matched directed random graph,0.6606455936548346
"C6(1,2)",unseeded,44,6,24,degree-matched directed random graph,0.667620060689136
"C6(1,2)",unseeded,45,6,24,degree-matched directed random graph,0.6503977882995524
"C6(1,2)",unseeded,46,6,24,degree-matched directed random graph,0.6666384004847147
"C6(1,2)",unseeded,47,6,24,degree-matched directed random graph,0.6718457004272242
"C6(1,2)",unseeded,48,6,24,degree-matched directed random graph,0.6710007392868174
"C6(1,2)",unseeded,49,6,24,degree-matched directed random graph,0.6566106452218365
"C6(1,2)",unseeded,50,6,24,degree-matched directed random graph,0.6529569429548246
"C6(1,2)",unseeded,51,6,24,degree-matched directed random graph,0.6742484704690855
"C6(1,2)",unseeded,52,6,24,degree-matched directed random graph,0.6656866864756968
"C6(1,2)",unseeded,53,6,24,degree-matched directed random graph,0.6659191758334921
"C6(1,2)",unseeded,54,6,24,degree-matched directed random graph,0.6664913541088967
"C6(1,2)",unseeded,55,6,24,degree-matched directed random graph,0.6808887935745754
"C6(1,2)",unseeded,56,6,24,degree-matched directed random graph,0.6525370442912547
"C6(1,2)",unseeded,57,6,24,degree-matched directed random graph,0.6576179501475483
"C6(1,2)",unseeded,58,6,24,degree-matched directed random graph,0.6766569386970966
"C6(1,2)",unseeded,59,6,24,degree-matched directed random graph,0.6865362668192461
"C6(1,2)",unseeded,60,6,24,degree-matched directed random graph,0.6741039574789411
"C6(1,2)",unseeded,61,6,24,degree-matched directed random graph,0.660852603679928
"C6(1,2)",unseeded,62,6,24,degree-matched directed random graph,0.6681509707112562
"C6(1,2)",unseeded,63,6,24,degree-matched directed random graph,0.670711992557566
"C6(1,2)",unseeded,64,6,24,degree-matched directed random graph,0.6677733065812778
"C6(1,2)",unseeded,65,6,24,degree-matched directed random graph,0.6599857071178767
"C6(1,2)",unseeded,66,6,24,degree-matched directed random graph,0.6806145071690347
"C6(1,2)",unseeded,67,6,24,degree-matched directed random graph,0.6693964367249419
"C6(1,2)",unseeded,68,6,24,degree-matched directed random graph,0.6670588156901707
"C6(1,2)",unseeded,69,6,24,degree-matched directed random graph,0.6758728318193612
"C6(1,2)",unseeded,70,6,24,degree-matched directed random graph,0.6820411937221668
"C6(1,2)",unseeded,71,6,24,degree-matched directed random graph,0.6836050449442385
"C6(1,2)",unseeded,72,6,24,degree-matched directed random graph,0.6594123179798532
"C6(1,2)",unseeded,73,6,24,degree-matched directed random graph,0.6533083255076473
"C6(1,2)",unseeded,74,6,24,degree-matched directed random graph,0.6682479868085485
"C6(1,2)",unseeded,75,6,24,degree-matched directed random graph,0.6978045974128941
"C6(1,2)",unseeded,76,6,24,degree-matched directed random graph,0.6817163154800868
"C6(1,2)",unseeded,77,6,24,degree-matched directed random graph,0.6318241853556912
"C6(1,2)",unseeded,78,6,24,degree-matched directed random graph,0.6449273423333574
"C6(1,2)",unseeded,79,6,24,degree-matched directed random graph,0.6645848209323512
"C6(1,2)",seeded,0,6,24,degree-matched directed random graph,0.6435665040833032
"C6(1,2)",seeded,1,6,24,degree-matched directed random graph,0.6134026221868601
"C6(1,2)",seeded,2,6,24,degree-matched directed random graph,0.6200443774782485
"C6(1,2)",seeded,3,6,24,degree-matched directed random graph,0.6123457623414926
"C6(1,2)",seeded,4,6,24,degree-matched directed random graph,0.6302831653205158
"C6(1,2)",seeded,5,6,24,degree-matched directed random graph,0.621774751467249
"C6(1,2)",seeded,6,6,24,degree-matched directed random graph,0.6488666017688367
"C6(1,2)",seeded,7,6,24,degree-matched directed random graph,0.6328385462780413
"C6(1,2)",seeded,8,6,24,degree-matched directed random graph,0.6384219474472543
"C6(1,2)",seeded,9,6,24,degree-matched directed random graph,0.619461101673206
"C6(1,2)",seeded,10,6,24,degree-matched directed random graph,0.6741396364394737
