topology_class,topology_name,topology_role,n_nodes,n_directed_edges,edge_convention,event_class,condition,mu_sector,closed_walk_count,closed_walks_per_node,n_seed_events,mean_seed_strength,total_impulse_budget,effect_vs_time_shifted,effect_vs_random_event,mu_p_value,notes,mu_differentiated_recovery,mu_differentiated_recovery_sd,mu_late_window_stability,mu_late_window_stability_sd,mu_post_event_score,mu_post_event_score_sd,mu_recovery_improvement,mu_recovery_improvement_sd,n_events_evaluated,n_events_evaluated_sd,mu_q_value,directional_endogenous_gt_both_controls,mu_diagnostic_interpretation
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,2,48,4.0,57,0.09331239298409179,5.318806400093232,-0.0031755390282556866,0.003393701016557083,0.484472049689441,primary Luke/D12RG normalized readout candidate,0.005410561923731951,0.003486030113733758,0.8173662247272576,0.006190990703841451,0.6498158937240974,0.02544401756893098,0.012609180407092233,0.0063591920795564765,21.0,0.0,0.8575270538515719,False,no_directional_mu_sector_advantage
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,time_shifted,2,48,4.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.008586100951987637,0.003270256780331602,0.8384132167542659,0.0056178219082322735,0.6474740315984796,0.016111234556173235,0.020604779133047778,0.005756327374813743,23.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,2,48,4.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.002016860907174868,0.0033960659106055204,0.7306593407096712,0.011186524489502319,0.6412828668902077,0.021013183353452505,0.008127363592846323,0.006872946486477365,56.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,3,72,6.0,57,0.09331239298409179,5.318806400093232,0.005657012481450627,-0.0024411159088634014,0.37888198757763975,primary Luke/D12RG normalized readout candidate,0.0033185284996504667,0.0035112438988176577,0.8361988890262178,0.004890030240511164,0.4645863592245371,0.01785320414354957,0.004574229462215601,0.006495202221721521,21.0,0.0,0.8575270538515719,False,no_directional_mu_sector_advantage
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,time_shifted,3,72,6.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,-0.0023384839818001604,0.0032352243953570584,0.7781317337629299,0.008057394425719632,0.4737185933439628,0.012670740406848891,-0.007159681062520127,0.006135944944039529,23.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,3,72,6.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.005759644408513868,0.004324870792237357,0.7976558683098618,0.006499635789583218,0.4661494824258948,0.016654186765198205,0.010036096551890538,0.008442385140861831,56.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,4,432,36.0,57,0.09331239298409179,5.318806400093232,-0.0019154718269554854,0.0009274517569917622,0.5403726708074534,primary Luke/D12RG normalized readout candidate,-0.0017666491703037409,0.003858819362341851,0.883427106557642,0.01978900800225914,0.49373252138464385,0.014563845815094865,-0.0038316373637758165,0.0069695501436541725,21.0,0.0,0.8575270538515719,False,no_directional_mu_sector_advantage
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,time_shifted,4,432,36.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,0.00014882265665174462,0.0035098736960670145,0.861862147441669,0.01671233442715192,0.48563087921798365,0.012007276608939743,0.00022913378669658121,0.006944528633230745,23.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,4,432,36.0,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,-0.002694100927295503,0.004596797211302827,0.6851765829620247,0.023221878643305677,0.5030749637861347,0.01229142260907767,-0.00871113703637333,0.008629549996849891,56.0,0.0,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,5,1200,100.0,57,0.09331239298409179,5.318806400093232,0.0010549087436202964,-0.0009798719419297787,0.4720496894409938,primary Luke/D12RG normalized readout candidate,0.0011422062598245813,0.0038030375550255767,0.8747047863558777,0.03003770281757805,0.5072132100992159,0.014120401082500733,0.0032402328835623275,0.006754592108025184,21.0,0.0,0.8575270538515719,False,no_directional_mu_sector_advantage
