topology_class,topology_name,topology_role,event_class,condition,mu_sector,expectation_label,expectation_role,expected_event_match,expectation_metric,expectation_score,closed_walk_count,closed_walks_per_node,n_nodes,n_directed_edges,edge_convention,n_seed_events,mean_seed_strength,total_impulse_budget,effect_vs_time_shifted,effect_vs_random_event,dynamic_p_value,notes,n_events_evaluated,n_events_evaluated_sd,post_event_recovery,post_event_recovery_sd,peak_delta,peak_delta_sd,onset_latency,onset_latency_sd,dropback_score,dropback_score_sd,variance_spike_score,variance_spike_score_sd,oscillatory_switching_score,oscillatory_switching_score_sd,chirality_switching_score,chirality_switching_score_sd,oscillatory_chirality_score,oscillatory_chirality_score_sd,transient_lift_dropback_score,transient_lift_dropback_score_sd,transient_or_recovery_score,transient_or_recovery_score_sd,generic_phase_recovery,generic_phase_recovery_sd,sector_specificity_score,sector_specificity_score_sd,artifact_monitor_score,artifact_monitor_score_sd,artifact_dominance_score,artifact_dominance_score_sd,dynamic_q_value,directional_endogenous_gt_both_controls,dynamic_interpretation
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,endogenous,3,critical_instability_stability,target,True,variance_spike_score,-0.0026250272927687114,72,6.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,-0.0013294229485955064,0.0012069308547380392,0.5838509316770186,primary Luke/D12RG normalized readout candidate,21.0,0.0,0.003916954983973542,0.007801649720480889,0.039628986467371216,0.00903822420170224,8.95892857142857,1.0690116589030956,0.03875789518785876,0.004513192778556813,-0.0026250272927687114,0.0014739070759157535,0.00675425958799337,0.0007773612957687949,0.0186552338326635,0.007466138699641944,0.02540949342065687,0.007378725956638014,0.0015397620516511162,0.0004260201595525829,0.005929045849458936,0.005215144969589144,0.04175457669888798,0.015334344759182597,-0.03783762171491444,0.01759103659506768,0.0015397620516511162,0.0004260201595525829,-0.03783762171491444,0.01759103659506768,0.9218698921216083,False,no_directional_dynamic_expectation_advantage
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,time_shifted,3,critical_instability_stability,target,True,variance_spike_score,-0.001295604344173205,72,6.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,23.0,0.0,-0.010980624106072525,0.00787738107186701,0.025573700915389942,0.009936389878513916,9.27445652173913,1.2101218077935552,0.043029871632511915,0.006477195907447861,-0.001295604344173205,0.001538024468857638,0.00635397792501202,0.0008698944863879893,0.008223062381852553,0.005819574396545234,0.014577040306864571,0.005972265824892639,0.0011139628529805037,0.0005103797309659938,0.0012864270779632246,0.0013388794302665338,0.05828690110074959,0.011992787077846815,-0.06926752520682211,0.014418755598653734,0.0011139628529805037,0.0005103797309659938,-0.06926752520682211,0.014418755598653734,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,random_event,3,critical_instability_stability,target,True,variance_spike_score,-0.0038319581475067506,72,6.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,56.0,0.0,0.007923992845766042,0.008607929672490352,0.04997129453695477,0.011144921101529344,10.672767857142857,1.1077898994916935,0.04629126037932041,0.010282889918408977,-0.0038319581475067506,0.0032659081084378656,0.011044270957816089,0.0014474056756709887,0.01920613354037267,0.010948818043076685,0.030250404498188756,0.010894651866477052,0.002376021053358496,0.0009377151705417839,0.009171009678085913,0.006813561268148468,0.044683415809390545,0.013220678533840404,-0.03675942296362451,0.014689671582906754,0.002376021053358496,0.0009377151705417839,-0.03675942296362451,0.014689671582906754,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,endogenous,4,eps72_linked_closure,target,False,post_event_recovery,-0.005433514386913357,432,36.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,-0.005763949302498345,0.0037614841807004145,0.546583850931677,primary Luke/D12RG normalized readout candidate,21.0,0.0,-0.005433514386913357,0.007838942573391959,0.028600614739311248,0.009356470402575515,12.638095238095238,1.0181905608188428,0.03320646879803636,0.0053737195838064866,-0.003632668311571887,0.0017518594190617238,0.005697082017624653,0.0007773460715502524,0.02668371696504689,0.007115047733929433,0.032380798982671544,0.0070793962163053946,0.0009638700219554063,0.00038244257347714764,0.0018223788706008277,0.0025031361329728914,0.04175457669888798,0.015334344759182597,-0.04718809108580134,0.017414532314214196,0.0009638700219554063,0.00038244257347714764,-0.04718809108580134,0.017414532314214196,,False,non_preregistered_sector_event_pair
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,time_shifted,4,eps72_linked_closure,target,False,post_event_recovery,0.0003304349155849877,432,36.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,23.0,0.0,0.0003304349155849877,0.00853515885569241,0.04044783426342465,0.009240205985199411,13.02336956521739,1.1173985736102574,0.038478849604845364,0.006354804738352344,-0.00228149244503446,0.001660829406893639,0.006841095992857977,0.0009028671002335307,0.03409341524889729,0.00861037529879217,0.04093451124175526,0.008758823154969645,0.001557698931750638,0.00045882567468412167,0.004314418924863003,0.004333783391770589,0.05828690110074959,0.011992787077846815,-0.05795646618516459,0.015045795909817255,0.001557698931750638,0.00045882567468412167,-0.05795646618516459,0.015045795909817255,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,random_event,4,eps72_linked_closure,target,False,post_event_recovery,-0.009194998567613771,432,36.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,56.0,0.0,-0.009194998567613771,0.008921473591339093,0.036593627817542496,0.009223000020530584,11.672098214285715,0.9994348042038329,0.050672248014536445,0.00675112306534609,-0.0005757308601614371,0.003540056535232522,0.013148965547935465,0.0014799147682122776,0.03720082647683579,0.011405025483707374,0.05034979202477126,0.011311121993868039,0.001867239613173167,0.0005742331010606828,0.002339900413779545,0.0021068358678524805,0.044683415809390545,0.013220678533840404,-0.053878414377004316,0.015212065858493114,0.001867239613173167,0.0005742331010606828,-0.053878414377004316,0.015212065858493114,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,endogenous,5,transient_lift_dropback,target,False,transient_lift_dropback_score,0.0011363521581463213,1200,100.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,-0.0003079954069128419,-0.0011231292268242968,0.8260869565217391,primary Luke/D12RG normalized readout candidate,21.0,0.0,0.004467287935590637,0.007395983939382961,0.03563483846306925,0.008700848719686056,11.167857142857143,1.4419998828472627,0.03138026546969529,0.005980041073054352,-0.0033576177903057317,0.00242956796341427,0.005409448530094822,0.0009918193593478966,0.024585921325051757,0.005054209347418525,0.02999536985514658,0.005346445629124729,0.0011363521581463213,0.00041098015050836085,0.006077513367321902,0.005339063573299103,0.04175457669888798,0.015334344759182597,-0.037287288763297344,0.017476635873748914,0.0011363521581463213,0.00041098015050836085,-0.037287288763297344,0.017476635873748914,,False,non_preregistered_sector_event_pair
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,time_shifted,5,transient_lift_dropback,target,False,transient_lift_dropback_score,0.0014443475650591632,1200,100.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,23.0,0.0,0.0020479816223074425,0.007658475962884459,0.03880065213441178,0.009933808122093227,12.689130434782609,1.3364014400896627,0.036720699459023357,0.006077298300337288,-0.004412177919182522,0.0019356822708331669,0.006649127635142129,0.0011602717271902245,0.02287334593572779,0.006195073575869164,0.02952247357086991,0.006418686291671123,0.0014443475650591632,0.0004891323203214033,0.004658714695718871,0.004513463977936137,0.05828690110074959,0.011992787077846815,-0.05623891947844214,0.0136339855002251,0.0014443475650591632,0.0004891323203214033,-0.05623891947844214,0.0136339855002251,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,random_event,5,transient_lift_dropback,target,False,transient_lift_dropback_score,0.002259481384970618,1200,100.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,,,,primary Luke/D12RG normalized readout candidate,56.0,0.0,0.00867623481330022,0.00961560675077398,0.055891726297377244,0.011226295959791506,12.541517857142855,1.0884612475583246,0.03959302409279801,0.008849945783245699,-0.00034730915776320784,0.003969431326713969,0.013152053884331574,0.0015577457045661094,0.023295062425497205,0.0057004233769047865,0.03644711630982879,0.005929734512373752,0.002259481384970618,0.0008554375746239715,0.009980678993307268,0.007882219741944054,0.044683415809390545,0.013220678533840404,-0.03600718099609033,0.016979616553505637,0.002259481384970618,0.0008554375746239715,-0.03600718099609033,0.016979616553505637,,False,control_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,high_boundary_impulse_J,endogenous,6,dual_chirality_ambiguity,target,False,oscillatory_chirality_score,0.03287330539511874,5184,432.0,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,57,0.09331239298409179,5.318806400093232,-0.0013723569679313583,-0.014595211418173187,0.7391304347826086,primary Luke/D12RG normalized readout candidate,21.0,0.0,-0.001335307726277876,0.007186337625324293,0.02774714378082017,0.009934024718262548,11.782738095238097,1.5051469472335384,0.028986849765935054,0.007772218378814321,-0.004435422607581828,0.0022231424641383987,0.004493882973976371,0.0011881966857544295,0.02837942242114237,0.006108550906212303,0.03287330539511874,0.006159476400602984,0.0008474176765553475,0.0004712719895398404,0.0029405091842803557,0.0036627568766325657,0.04175457669888798,0.015334344759182597,-0.043089884425165856,0.015877033289912742,0.0008474176765553475,0.0004712719895398404,-0.043089884425165856,0.015877033289912742,,False,non_preregistered_sector_event_pair
