topology_name,event_class,null_index,null_model,n_nodes,n_directed_edges,differentiated_recovery
"C12(1,2)",high_boundary_impulse_J,0,degree-matched directed random graph,12,48,0.001271270300176222
"C12(1,2)",high_boundary_impulse_J,1,degree-matched directed random graph,12,48,0.002916094770245543
"C12(1,2)",high_boundary_impulse_J,2,degree-matched directed random graph,12,48,-1.2797797039845499e-05
"C12(1,2)",high_boundary_impulse_J,3,degree-matched directed random graph,12,48,0.0013229420008600526
"C12(1,2)",high_boundary_impulse_J,4,degree-matched directed random graph,12,48,0.003123020946616806
"C12(1,2)",high_boundary_impulse_J,5,degree-matched directed random graph,12,48,-0.003295104306797642
"C12(1,2)",high_boundary_impulse_J,6,degree-matched directed random graph,12,48,-0.00048317274849790924
"C12(1,2)",high_boundary_impulse_J,7,degree-matched directed random graph,12,48,0.0005447133217819128
"C12(1,2)",high_boundary_impulse_J,8,degree-matched directed random graph,12,48,0.001159872965658604
"C12(1,2)",high_boundary_impulse_J,9,degree-matched directed random graph,12,48,-0.001151179897052386
"C12(1,2)",high_boundary_impulse_J,10,degree-matched directed random graph,12,48,0.0005740065227148822
"C12(1,2)",high_boundary_impulse_J,11,degree-matched directed random graph,12,48,-0.001088818605567175
"C12(1,2)",high_boundary_impulse_J,12,degree-matched directed random graph,12,48,-0.0028966305752917976
"C12(1,2)",high_boundary_impulse_J,13,degree-matched directed random graph,12,48,0.003399245279194888
"C12(1,2)",high_boundary_impulse_J,14,degree-matched directed random graph,12,48,-0.002457141241957686
"C12(1,2)",high_boundary_impulse_J,15,degree-matched directed random graph,12,48,0.0016431816552781864
"C12(1,2)",high_boundary_impulse_J,16,degree-matched directed random graph,12,48,0.00020144131316155714
"C12(1,2)",high_boundary_impulse_J,17,degree-matched directed random graph,12,48,-0.0023665438005742766
"C12(1,2)",high_boundary_impulse_J,18,degree-matched directed random graph,12,48,0.001326862197363899
"C12(1,2)",high_boundary_impulse_J,19,degree-matched directed random graph,12,48,0.0022604512346836914
"C12(1,2)",high_boundary_impulse_J,20,degree-matched directed random graph,12,48,-0.0006962546122660949
"C12(1,2)",high_boundary_impulse_J,21,degree-matched directed random graph,12,48,0.003096719280009911
"C12(1,2)",high_boundary_impulse_J,22,degree-matched directed random graph,12,48,-0.003265092881416313
"C12(1,2)",high_boundary_impulse_J,23,degree-matched directed random graph,12,48,0.0019705388791024393
