topology_class,topology_name,topology_role,n_nodes,n_directed_edges,edge_convention,event_class,condition,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,primary_p_value,effect_vs_time_shifted,effect_vs_random_event,primary_candidate_pre_fdr,notes,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,interpretation
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,endogenous,57,0.09331239298409179,5.318806400093232,differentiated_recovery,0.6583850931677019,-0.0015720002381380876,-0.0007570304004812616,False,primary Luke/D12RG normalized readout candidate,-0.007266840956978077,0.006283518854328309,0.49324062319458084,0.01042443590138376,0.5005414853610507,0.010655128995461918,0.9367226492227694,0.0018528873945081732,-0.0030552768181647707,0.0031042184242559907,0.41594340555150067,0.09019036375942023,0.8142287414238712,0.031113285667556747,21.0,0.0,0.486503116391744,0.020716379179622598,0.5318973758361369,0.008361259997898291,0.8589174800354924,negative_or_inconclusive_for_primary_B3_event_conditioned_recovery
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,time_shifted,57,0.09331239298409179,5.318806400093232,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,-0.0037489389736538267,0.006017282564795985,0.5007871323248512,0.012424474759623426,0.48882629926500076,0.011685227719997854,0.9366742414265004,0.0015521790944164906,-0.001483276580026683,0.003091296563284763,0.6326045768345356,0.08408542292119586,0.8122707792280399,0.022015470151785,23.0,0.0,0.4876718571750434,0.015549101058806466,0.5283332003416643,0.00909535186687371,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,random_event,57,0.09331239298409179,5.318806400093232,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,-0.006404512733108802,0.0070286314440301725,0.495436630211035,0.00874241511061128,0.5045032246155594,0.010513734821905865,0.9379619579244765,0.0017184985216370304,-0.002298246417683509,0.003517525903438711,0.5566821435521513,0.08404051878684111,0.8010719792283671,0.024281107098706425,56.0,0.0,0.5145657825367297,0.018589839416230484,0.5227386749702113,0.007676732571420275,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,unseeded,0,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.7638514992916565,0.12244368707412724,0.72046724813784,0.26093465427711054,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,high_boundary_impulse_J,artificial_seeded,57,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.83752381851527,0.09216391621959213,0.9956067873885746,0.0021845640794631504,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,residual_contraction_low_distance,endogenous,57,0.09102846804812097,5.188622678742895,differentiated_recovery,0.5652173913043478,0.000502589762813578,-0.0018855521656873952,False,primary Luke/D12RG normalized readout candidate,-0.0008644890654206612,0.006225612713156421,0.4930182899811939,0.01651381141790714,0.49697930641582166,0.011755817586953498,0.9740752164176321,0.0032206128871421274,-0.0018800388187340804,0.004323258913988877,0.4259014390378894,0.1145731606647732,0.3894536579963957,0.05993346068322834,23.0,0.0,0.7621516259436609,0.035189610008335405,0.524453733185595,0.011282872519599172,0.8589174800354924,negative_or_inconclusive_for_primary_B3_event_conditioned_recovery
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,residual_contraction_low_distance,time_shifted,57,0.09102846804812097,5.188622678742895,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,-0.0024815873087442094,0.004055324286405798,0.49249422499554124,0.01306291947815585,0.4944960620586481,0.009030936039882823,0.9747213600648242,0.0016868718634150365,-0.0023826285815476585,0.002921072594642371,0.37871744120739714,0.12342195323412206,0.37636398500578716,0.042318320452404225,25.0,0.0,0.7832556703753818,0.025381276439969465,0.5283406616791695,0.00938114023005684,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,residual_contraction_low_distance,random_event,57,0.09102846804812097,5.188622678742895,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,0.0004064628371303452,0.0056994017736906035,0.5031852830608308,0.009031292393932104,0.4994811306803507,0.008098882982411055,0.9696133579900159,0.0024416158573659905,5.513346953314822e-06,0.0038410490693414263,0.6273687216377892,0.13495554483919786,0.46982231220917436,0.05146876647199008,56.0,0.0,0.7323276919334075,0.028378813586368887,0.5236976170448123,0.007728208913563855,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,residual_contraction_low_distance,unseeded,0,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.7745241006442173,0.13754547245102455,0.7443196647780568,0.2839987516735287,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,"C12(1,2)",primary,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,residual_contraction_low_distance,artificial_seeded,57,,,differentiated_recovery,,,,False,primary Luke/D12RG normalized readout candidate,,,,,,,,,,,0.8559049626089099,0.09075405857661277,0.9958341066245568,0.0019581930782495644,0.0,0.0,,,,,,control_or_reference_condition
