anchor_name,event_class,group_col,left_out,n_kept,best_basis,best_score,C10_score,C12_score,C24_score,C10_minus_C12,D24_minus_C12
utc_annual_orbital_phase,FES_phase_transition,label,P1,188,10,0.9080725204949998,0.9080725204949998,0.852109664730579,0.8288454650119008,0.05596285576442073,-0.023264199718678213
utc_annual_orbital_phase,FES_phase_transition,label,P10,187,10,0.8924823609108963,0.8924823609108963,0.8250363999533996,0.8059586289358973,0.06744596095749666,-0.0190777710175023
utc_annual_orbital_phase,FES_phase_transition,label,P11,183,10,0.8906559020920065,0.8906559020920065,0.8221935805574363,0.8026364597944765,0.06846232153457021,-0.01955712076295979
utc_annual_orbital_phase,FES_phase_transition,label,P12,187,10,0.8924664364142464,0.8924664364142464,0.8250369882621928,0.8059093780167659,0.06742944815205354,-0.019127610245426974
utc_annual_orbital_phase,FES_phase_transition,label,P13,180,10,0.889228771142826,0.889228771142826,0.8199955477927962,0.800024143996994,0.0692332233500298,-0.0199714037958022
utc_annual_orbital_phase,FES_phase_transition,label,P14,183,10,0.8906303887951729,0.8906303887951729,0.822195297762609,0.8025587121685842,0.06843509103256384,-0.019636585594024814
utc_annual_orbital_phase,FES_phase_transition,label,P15,188,10,0.8929094491560686,0.8929094491560686,0.825732736206073,0.8067112057590067,0.06717671294999561,-0.019021530447066337
utc_annual_orbital_phase,FES_phase_transition,label,P16,182,10,0.8901531496557813,0.8901531496557813,0.8214702012912636,0.8016791932680754,0.06868294836451772,-0.019791008023188228
utc_annual_orbital_phase,FES_phase_transition,label,P17,187,10,0.8924558296246217,0.8924558296246217,0.8250383789847243,0.8058783561448883,0.06741745063989735,-0.019160022839835977
utc_annual_orbital_phase,FES_phase_transition,label,P18,181,10,0.8896609615520532,0.8896609615520532,0.8207409523362709,0.8007621413566051,0.06892000921578234,-0.019978810979665806
utc_annual_orbital_phase,FES_phase_transition,label,P19,183,10,0.8904377177603733,0.8904377177603733,0.8224812924304492,0.8024680798423868,0.06795642532992408,-0.020013212588062435
utc_annual_orbital_phase,FES_phase_transition,label,P2,185,10,0.9134886477417921,0.9134886477417921,0.8577201543011733,0.8560669085418923,0.05576849344061874,-0.0016532457592810523
utc_annual_orbital_phase,FES_phase_transition,label,P20,180,10,0.8889456513947487,0.8889456513947487,0.820399643924161,0.7998611691935965,0.0685460074705877,-0.02053847473056447
utc_annual_orbital_phase,FES_phase_transition,label,P21,188,10,0.8929570696697389,0.8929570696697389,0.8257352211517517,0.8068658794551131,0.06722184851798718,-0.018869341696638564
utc_annual_orbital_phase,FES_phase_transition,label,P22,186,10,0.8919988506802717,0.8919988506802717,0.8243379924662102,0.8050402482948771,0.06766085821406154,-0.01929774417133312
utc_annual_orbital_phase,FES_phase_transition,label,P23,190,10,0.8937562855759782,0.8937562855759782,0.8271857950402277,0.8083507588699397,0.06657049053575048,-0.018835036170288033
utc_annual_orbital_phase,FES_phase_transition,label,P24,182,10,0.8899475370423183,0.8899475370423183,0.8219172320892607,0.80184082208826,0.06803030495305762,-0.02007641000100069
utc_annual_orbital_phase,FES_phase_transition,label,P25,187,10,0.892362087602776,0.892362087602776,0.8252526473743775,0.8059708120637263,0.06710944022839849,-0.019281835310651196
utc_annual_orbital_phase,FES_phase_transition,label,P26,184,10,0.8909280630011783,0.8909280630011783,0.8232776016026513,0.8035360717682032,0.06765046139852704,-0.0197415298344481
utc_annual_orbital_phase,FES_phase_transition,label,P3,183,10,0.9039774954846723,0.9039774954846723,0.8447092329535648,0.82013098106017,0.05926826253110751,-0.024578251893394798
utc_annual_orbital_phase,FES_phase_transition,label,P4,182,10,0.910999027104827,0.910999027104827,0.8495493110565353,0.8290072350045871,0.06144971604829175,-0.020542076051948244
utc_annual_orbital_phase,FES_phase_transition,label,P5,187,10,0.9075859358298515,0.9075859358298515,0.8490753253028558,0.842402864736542,0.05851061052699569,-0.006672460566313765
utc_annual_orbital_phase,FES_phase_transition,label,P6,190,10,0.898542961973116,0.898542961973116,0.8325828197823605,0.8148831841700221,0.06596014219075552,-0.017699635612338338
utc_annual_orbital_phase,FES_phase_transition,label,P7,180,10,0.8893761118331931,0.8893761118331931,0.8200087296727079,0.8005150403048024,0.06936738216048521,-0.01949368936790552
utc_annual_orbital_phase,FES_phase_transition,label,P8,182,10,0.8902773102305515,0.8902773102305515,0.8214748537076549,0.8020808780485054,0.06880245652289652,-0.019393975659149576
utc_annual_orbital_phase,FES_phase_transition,label,P9,185,10,0.8916279778349412,0.8916279778349412,0.8236317592982134,0.8044803126537823,0.06799621853672777,-0.019151446644431136
utc_annual_orbital_phase,eps72_restoration_onset,label,P1,142,10,0.8876591317940521,0.8876591317940521,0.8256559742868189,0.7882201515770177,0.062003157507233175,-0.03743582270980117
utc_annual_orbital_phase,eps72_restoration_onset,label,P10,140,10,0.8637262572918984,0.8637262572918984,0.7827529072880433,0.7512099109763306,0.0809733500038552,-0.031542996311712646
utc_annual_orbital_phase,eps72_restoration_onset,label,P11,140,10,0.8637151802757181,0.8637151802757181,0.7827563007942846,0.7511701013684697,0.08095887948143354,-0.031586199425814865
utc_annual_orbital_phase,eps72_restoration_onset,label,P12,139,10,0.8629480885346723,0.8629480885346723,0.7816222338166069,0.7497012158182307,0.08132585471806542,-0.03192101799837621
utc_annual_orbital_phase,eps72_restoration_onset,label,P13,144,10,0.8666055985734615,0.8666055985734615,0.7872018222375017,0.7565600766695095,0.07940377633595985,-0.03064174556799215
utc_annual_orbital_phase,eps72_restoration_onset,label,P14,141,10,0.8644302855250028,0.8644302855250028,0.7838940138426989,0.7524709244501107,0.08053627168230393,-0.0314230893925882
utc_annual_orbital_phase,eps72_restoration_onset,label,P15,142,10,0.8651592710970826,0.8651592710970826,0.7850107987838905,0.7538344058146293,0.08014847231319211,-0.031176392969261113
utc_annual_orbital_phase,eps72_restoration_onset,label,P16,142,10,0.8651566891442379,0.8651566891442379,0.7850120252448792,0.7538256919693387,0.0801446638993587,-0.031186333275540545
utc_annual_orbital_phase,eps72_restoration_onset,label,P17,140,10,0.863676408138718,0.863676408138718,0.7827725182319674,0.7510361027733641,0.08090388990675068,-0.031736415458603284
utc_annual_orbital_phase,eps72_restoration_onset,label,P18,142,10,0.8651466380712319,0.8651466380712319,0.7850173068613289,0.7537923998011994,0.08012933120990307,-0.03122490706012948
utc_annual_orbital_phase,eps72_restoration_onset,label,P19,141,10,0.8642724780835794,0.8642724780835794,0.784238580164903,0.7522789513794719,0.08003389791867643,-0.03195962878543113
utc_annual_orbital_phase,eps72_restoration_onset,label,P2,141,10,0.8851646302115623,0.8851646302115623,0.8177736597298548,0.80779118591651,0.0673909704817075,-0.009982473813344828
utc_annual_orbital_phase,eps72_restoration_onset,label,P20,142,10,0.8650324479079623,0.8650324479079623,0.7852969888147721,0.7536921870731431,0.07973545909319024,-0.03160480174162894
utc_annual_orbital_phase,eps72_restoration_onset,label,P21,142,10,0.8652375638160483,0.8652375638160483,0.7849922675956873,0.7541214850253835,0.08024529622036103,-0.030870782570303845
utc_annual_orbital_phase,eps72_restoration_onset,label,P22,141,10,0.864414056596587,0.864414056596587,0.7839020579118139,0.7524164808017288,0.0805119986847731,-0.03148557711008504
utc_annual_orbital_phase,eps72_restoration_onset,label,P23,145,10,0.8672592072103138,0.8672592072103138,0.788425477041655,0.757857146631876,0.0788337301686588,-0.03056833040977902
utc_annual_orbital_phase,eps72_restoration_onset,label,P24,144,10,0.8665268383356111,0.8665268383356111,0.7874236778219309,0.7565279630231836,0.07910316051368016,-0.03089571479874731
utc_annual_orbital_phase,eps72_restoration_onset,label,P25,142,10,0.8650356271114853,0.8650356271114853,0.7853930151709755,0.7538266406850406,0.07964261194050981,-0.03156637448593491
utc_annual_orbital_phase,eps72_restoration_onset,label,P26,142,10,0.8650360768684908,0.8650360768684908,0.7853987739947652,0.7538357263672399,0.07963730287372561,-0.031563047627525265
utc_annual_orbital_phase,eps72_restoration_onset,label,P3,141,10,0.8760002294615981,0.8760002294615981,0.8015092633007201,0.7659579852496313,0.07449096616087791,-0.03555127805108882
utc_annual_orbital_phase,eps72_restoration_onset,label,P4,141,10,0.8805288369249306,0.8805288369249306,0.8036642885583805,0.771448453722287,0.0768645483665501,-0.03221583483609347
utc_annual_orbital_phase,eps72_restoration_onset,label,P5,141,10,0.8852970500894917,0.8852970500894917,0.818473705508226,0.8081021325717049,0.06682334458126571,-0.010371572936521023
utc_annual_orbital_phase,eps72_restoration_onset,label,P6,141,10,0.884054591092692,0.884054591092692,0.8061798188685161,0.7785667582203579,0.07787477222417594,-0.02761306064815816
utc_annual_orbital_phase,eps72_restoration_onset,label,P7,140,10,0.8638083500472395,0.8638083500472395,0.782740670805844,0.7515205894960368,0.08106767924139557,-0.031220081309807135
utc_annual_orbital_phase,eps72_restoration_onset,label,P8,139,10,0.8630595358674356,0.8630595358674356,0.7815968761005154,0.7501130347728375,0.08146265976692013,-0.0314838413276779
utc_annual_orbital_phase,eps72_restoration_onset,label,P9,140,10,0.8637856519921425,0.8637856519921425,0.7827420754982681,0.7514323164277887,0.08104357649387439,-0.03130975907047939
utc_annual_orbital_phase,h_zero_crossing,label,P1,1245,10,0.8966661371188753,0.8966661371188753,0.8372033118566825,0.8043233953352786,0.05946282526219282,-0.032879916521403874
utc_annual_orbital_phase,h_zero_crossing,label,P10,1246,10,0.8641413779516871,0.8641413779516871,0.7777866609372728,0.7549123133749382,0.08635471701441433,-0.02287434756233453
utc_annual_orbital_phase,h_zero_crossing,label,P11,1263,10,0.8655181072137286,0.8655181072137286,0.7800269618078132,0.7574081845462782,0.0854911454059154,-0.02261877726153494
utc_annual_orbital_phase,h_zero_crossing,label,P12,1284,10,0.8671831229036229,0.8671831229036229,0.7827266800257613,0.7604457343418632,0.08445644287786158,-0.022280945683898046
utc_annual_orbital_phase,h_zero_crossing,label,P13,1245,10,0.8640375956586017,0.8640375956586017,0.77766303986713,0.7546600395668696,0.08637455579147169,-0.02300300030026048
utc_annual_orbital_phase,h_zero_crossing,label,P14,1254,10,0.8647691697495918,0.8647691697495918,0.778858584589052,0.7559807317693322,0.08591058516053984,-0.02287785281971977
utc_annual_orbital_phase,h_zero_crossing,label,P15,1254,10,0.864766053583106,0.864766053583106,0.7788604406059739,0.7559661901390661,0.08590561297713206,-0.02289425046690785
utc_annual_orbital_phase,h_zero_crossing,label,P16,1247,10,0.8641863145150284,0.8641863145150284,0.7779382704144513,0.7548864462852354,0.08624804410057707,-0.023051824129215914
utc_annual_orbital_phase,h_zero_crossing,label,P17,1267,10,0.8658183032475744,0.8658183032475744,0.7805579944856886,0.7578973486360319,0.08526030876188573,-0.02266064584965677
utc_annual_orbital_phase,h_zero_crossing,label,P18,1264,10,0.8655702956297296,0.8655702956297296,0.780173404499779,0.7574233856570256,0.08539689112995064,-0.022750018842753406
