event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.006338659384197923,0.0026219700157111966,0.005812622080752901,0.005995716492435459,0.005226778731405966,0.0037164602263079103,0.015984015984015984,0.005988023952095809,0.12367270455965022,0.009463920949005562,0.004399669806552968,0.4978142012742999,0.007868614491156264,0.5022060387324284,0.010143235392341325,0.954715762868663,0.0014270048865460993,0.006338659384197923,0.0026219700157111966,0.5573858154868523,0.015301658150304091,0.5376941249623561,0.017738696575317424,23.0,0.0,0.651379353197774,0.009208849132019636,0.5364218032119223,0.00760725757619385,0.055944055944055944,0.0025804540678846456,True,False,True,False,primary_phi_fes_negative_or_incomplete_gate
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0005260373034450221,0.002582864723980419,,,,,,,,0.0008201810626248629,0.004728422133104417,0.49752952731723155,0.006393373769082564,0.48865064865083363,0.009728501190869508,0.9557033320930749,0.0013534170556571796,0.0005260373034450221,0.002582864723980419,0.5714659286929563,0.055715335401701614,0.515782383894169,0.007763897793876092,24.0,0.0,0.6612861523914585,0.006407640293284721,0.5290636922159434,0.0060783892925694635,,0.0025804540678846456,False,False,False,False,control_or_reference_condition
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0003429428917624636,0.002760941663550682,,,,,,,,0.000321964440690914,0.004612876680667371,0.49873865587106586,0.013792032587802146,0.5002258359232268,0.010255810871915414,0.9526657582172808,0.0017949617033272784,0.0003429428917624636,0.002760941663550682,0.5924415558615318,0.08386381611364742,0.5934256265296441,0.019365249627320714,118.992,0.7098844976473285,0.6235727687385977,0.011175086689638875,0.5229029041649349,0.009543344262824365,,0.0025804540678846456,False,False,False,False,control_or_reference_condition
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,0.001111880652791957,0.002223437910001394,,,,,,,,0.0012510153786035505,0.004486845759152984,0.4696388639204456,0.011408325855014006,0.5085951137683185,0.007720979263188679,0.8769602171450556,0.002521273245798294,0.001111880652791957,0.002223437910001394,0.6473642532947327,0.029511000276073868,0.5768261620474613,0.02280579907266013,23.0,0.0,0.5693403671653878,0.007592185926344555,0.5443233133590342,0.006810106054892257,,0.0025804540678846456,False,False,False,False,control_or_reference_condition
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.004996439874588683,0.0024324211349156188,0.00865298176087137,0.004315168711681334,0.005185815486128078,0.003429826928152562,0.027972027972027972,0.003992015968063872,0.1061836352279825,0.009629285422771137,0.003905649338164365,0.5030542390493028,0.005903644901085395,0.4846741661217761,0.00614856501579385,0.9569611465107275,0.00124368082614664,0.004996439874588683,0.0024324211349156188,0.4034481140212195,0.024025746462470094,0.4485985731459939,0.0105331207013369,24.0,0.0,0.6911113573209393,0.0058567593857213685,0.5358864733065621,0.005139885584827755,0.055944055944055944,0.0025804540678846456,True,False,True,False,primary_phi_fes_negative_or_incomplete_gate
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.003656541886282687,0.002501238213258494,,,,,,,,-0.004139574171623581,0.0043591544817949655,0.5158555783980787,0.005852035134744366,0.48685677881281825,0.005798411927220059,0.9574664773430971,0.00127149538449138,-0.003656541886282687,0.002501238213258494,0.7609940877977724,0.02279913257484498,0.41325037930857617,0.007954167738238465,25.0,0.0,0.7082713234771747,0.005004612066478388,0.5395144723712378,0.004233363456301855,,0.0025804540678846456,False,True,False,False,control_or_reference_condition
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0006812711629073486,0.0026597939450359017,,,,,,,,0.0009608812096181768,0.003998832106226738,0.4821357094001278,0.018820692791854863,0.499732925673705,0.008989544422323439,0.9557171458676779,0.0015251849503783344,0.0006812711629073486,0.0026597939450359017,0.47100343282509,0.07843783721244621,0.46630043831446766,0.00978172147360063,190.436,0.5812951057767475,0.6904438032778956,0.006373868127324624,0.5204894184902843,0.010655961817578826,,0.0025804540678846456,False,False,False,False,control_or_reference_condition
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.00018937561153939495,0.0022060490608150694,,,,,,,,-0.0015040489413449655,0.004361054154504554,0.5005109861253022,0.00696497982860098,0.5036796760046625,0.007850535419310287,0.8781544261436804,0.002035268296868658,-0.00018937561153939495,0.0022060490608150694,0.5223256091561665,0.026286470312426608,0.4290597707704694,0.01336282191406495,24.0,0.0,0.5914280821187501,0.00405000960700961,0.5283419804671279,0.005260055755050751,,0.0025804540678846456,False,False,False,False,control_or_reference_condition
hybrid_cluster_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.005133004314082436,0.0025957157599049677,0.008416804377244819,0.004514177593639095,0.005139807555098615,0.003509410201690399,0.01998001998001998,0.003992015968063872,0.07807620237351655,0.009705088391851252,0.004113137814874832,0.5020323164098779,0.006214924966814077,0.48387800329738284,0.006331083340541861,0.9571140117498663,0.0012722165641469152,0.005133004314082436,0.0025957157599049677,0.40249167944414654,0.02387252814659838,0.4482886459426688,0.010387851100683007,24.0,0.0,0.6916394188979222,0.005441814141726625,0.5349871424066311,0.005196746065179725,0.055944055944055944,0.0025804540678846456,True,False,True,False,primary_phi_fes_negative_or_incomplete_gate
hybrid_cluster_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,500,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.0032838000631623815,0.0025373244767807417,,,,,,,,-0.003481473993871548,0.004352510432279692,0.5156223615612926,0.005354604528202699,0.48669048910129237,0.005680653573150126,0.9573621911348495,0.0012609200965037406,-0.0032838000631623815,0.0025373244767807417,0.7635063674714812,0.020738685686488678,0.41400504168816404,0.0076820301327992415,25.0,0.0,0.7081681376081304,0.004911537423802976,0.5388050112616816,0.0043603413457315035,,0.0025804540678846456,False,True,False,False,control_or_reference_condition
