event_class,event_role,n_runs,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,p_vs_time_shifted_and_random,p_vs_C8,D12_recovery,D24_recovery,D12_D24_recovery_improvement,bounded_non_runaway_score,non_collapsed_differentiation_score,late_window_stability,post_event_readout_score,primary_reference_event,comparison_event,comparison_role,normalization_variant,primary_task_min,primary_task_max,primary_event_count,available_event_count,sampled_event_count,count_match_complete,normalization_status
chapter7_phi_clean_sign_switch,secondary_phi_reference,240,102,0.08289626487894085,8.455419017651966,0.0022511275466508412,0.0027906012942071072,0.003951682089116649,0.0014476528158381013,-0.000863925701087283,0.2681912681912682,0.6473029045643154,0.5103213075325436,0.48734144914064176,0.0044049817507852175,0.9638072934711293,0.6992902165604669,0.5782308040460218,0.5353932854266943,hybrid_phi_sign_switch,chapter7_phi_clean_sign_switch,secondary_phi_reference,primary_interval_only,2.0,27.0,120,102,102,False,evaluated
chapter7_phi_clean_sign_switch,secondary_phi_reference,240,102,0.08289626487894085,8.455419017651966,0.002096750641044257,0.002685989845770994,0.004219823035378458,0.0006927143586114581,-0.0012621542029529163,0.2661122661122661,0.6763485477178424,0.5109462529926373,0.4890996565824112,0.004224690157955815,0.9639684947648716,0.7012424894533034,0.578768336692176,0.5359686430889352,hybrid_phi_sign_switch,chapter7_phi_clean_sign_switch,secondary_phi_reference,primary_interval_count_matched,2.0,27.0,120,102,102,False,evaluated
chapter7_h_zero_crossing,secondary_phi_reference,240,68,0.07430320703194146,5.052618078172019,0.0006595601632673846,0.0027595212427279927,-0.0012402822942798092,-0.0004852569800248975,-0.000556611647489374,0.6091476091476091,0.5601659751037344,0.5280039558408712,0.4994953328450962,0.0003789670753850355,0.9628441208299384,0.6774188197506914,0.748316737938701,0.5472382788416982,hybrid_phi_sign_switch,chapter7_h_zero_crossing,secondary_phi_reference,primary_interval_only,2.0,27.0,120,68,68,False,evaluated
chapter7_h_zero_crossing,secondary_phi_reference,240,68,0.07430320703194146,5.052618078172019,0.0010400223250393572,0.0029436150113364055,-0.000703534391607166,-0.0011030839812140206,5.411802651017353e-05,0.5945945945945946,0.47717842323651455,0.5277590762147674,0.4976976788305672,0.0010765750470404854,0.9627405621069863,0.67871233466951,0.7548337383007527,0.5461899757661113,hybrid_phi_sign_switch,chapter7_h_zero_crossing,secondary_phi_reference,primary_interval_count_matched,2.0,27.0,120,68,68,False,evaluated
chapter7_dphi_sign_switch,contrast_switch,240,269,0.07383238247473205,19.86091088570292,0.0026009944422044798,0.0018562923719983408,0.005684024046531424,0.0019958608916310966,5.855461188015651e-06,0.0893970893970894,0.5020746887966805,0.49686649935830934,0.4778301560090941,0.003679566045602799,0.9557353229704245,0.6022097789279287,0.5518513139502246,0.5328759021068553,hybrid_phi_sign_switch,chapter7_dphi_sign_switch,contrast_switch,primary_interval_only,2.0,27.0,120,269,269,True,evaluated
chapter7_dphi_sign_switch,contrast_switch,240,120,0.08190448595198398,9.828538314238077,-0.00015462558839339534,0.0021561446748497104,0.0006469821657580471,-0.0006715294717053987,8.374313758117329e-05,0.5280665280665281,0.49377593360995853,0.5084199934447847,0.5015729033207291,-0.0012845982528063044,0.9559248675388531,0.5611245331981192,0.5326190076219236,0.5342857258027555,hybrid_phi_sign_switch,chapter7_dphi_sign_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,120,269,120,True,evaluated
chapter7_d2phi_curvature_switch,contrast_switch,240,408,0.06705696929043074,27.359243470495745,0.003267023187589434,0.0019014274720987189,0.0005816516528938317,0.002221273069298865,0.0024477199707674396,0.2390852390852391,0.0912863070539419,0.5152191813049067,0.48365531801834993,0.003988909959312127,0.9540916660295375,0.6131192355226023,0.5051632608161271,0.5373226883411173,hybrid_phi_sign_switch,chapter7_d2phi_curvature_switch,contrast_switch,primary_interval_only,2.0,27.0,120,408,408,True,evaluated
chapter7_d2phi_curvature_switch,contrast_switch,240,120,0.07247670444796062,8.697204533755274,-0.0017236345839529497,0.0019872625708654583,-0.0026866952835652314,-0.0019945532688556314,-0.0033203811877511426,0.817047817047817,0.9585062240663901,0.5048970816772675,0.48600847170608663,-0.00324194775675612,0.9570694031904525,0.5460440234847155,0.6568656672003667,0.5221534697539939,hybrid_phi_sign_switch,chapter7_d2phi_curvature_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,120,408,120,True,evaluated
chapter7_deps_sign_switch,contrast_switch,240,277,0.06224911335754954,17.243004400041222,0.0015315949001210624,0.0017378271916199395,0.004680571022162336,0.0012011243415199263,-0.0004817045131013315,0.13721413721413722,0.6390041493775933,0.5016378017865217,0.48398902867536253,0.0033090911328031575,0.955403204092754,0.5595330518661223,0.41703434498284087,0.5207403232400395,hybrid_phi_sign_switch,chapter7_deps_sign_switch,contrast_switch,primary_interval_only,2.0,27.0,120,277,277,True,evaluated
chapter7_deps_sign_switch,contrast_switch,240,120,0.06339363506062828,7.607236207275394,0.0001920776620286513,0.002137843232668607,-0.0033696711419533873,0.0003651703979690808,-0.0001462400526282695,0.6943866943866944,0.5560165975103735,0.5198350496495917,0.49937024157353876,0.0001811397520515661,0.9564004448442279,0.5120569234256346,0.5940753689375491,0.5519481121633317,hybrid_phi_sign_switch,chapter7_deps_sign_switch,contrast_switch,primary_interval_count_matched,2.0,27.0,120,277,120,True,evaluated
chapter7_phi_clean_sign_switch,secondary_phi_reference,240,102,0.08289626487894085,8.455419017651966,0.0021324132544103644,0.002857610277246122,0.004423468709936416,0.0007814913666835564,-0.0014490060582104383,0.24740124740124741,0.7053941908713693,0.5106235195795268,0.487547307305886,0.004206541612984767,0.9639428872366231,0.7006159338442823,0.5775005090267589,0.534906757890328,hybrid_fes_phase_transition,chapter7_phi_clean_sign_switch,secondary_phi_reference,primary_interval_only,2.0,27.0,192,102,102,False,evaluated
chapter7_phi_clean_sign_switch,secondary_phi_reference,240,102,0.08289626487894085,8.455419017651966,0.0020829072140387973,0.0027998949251520047,0.0038603686851981494,0.000882919433478242,-0.0009438524132023406,0.2681912681912682,0.6431535269709544,0.5109717630399023,0.48832592918542084,0.004080670806117907,0.963942946602226,0.699745115330947,0.5833672656637435,0.5362598733888054,hybrid_fes_phase_transition,chapter7_phi_clean_sign_switch,secondary_phi_reference,primary_interval_count_matched,2.0,27.0,192,102,102,False,evaluated
chapter7_h_zero_crossing,secondary_phi_reference,240,68,0.07430320703194146,5.052618078172019,0.0007436701518594049,0.0029077607887259644,-0.0011102296240555413,-0.0006385908335340086,-0.0004492863478275247,0.6153846153846154,0.5311203319502075,0.5290879364476401,0.4970104854484958,0.0006331271751639983,0.962427644903883,0.6759605102750363,0.7428567258552472,0.5470119189650998,hybrid_fes_phase_transition,chapter7_h_zero_crossing,secondary_phi_reference,primary_interval_only,2.0,27.0,192,68,68,False,evaluated
chapter7_h_zero_crossing,secondary_phi_reference,240,68,0.07430320703194146,5.052618078172019,0.0003693610348760276,0.003075312482309128,-0.0016266582124704594,-0.0013026052845688735,-0.0006501677742600197,0.6964656964656964,0.5767634854771784,0.5281808858600835,0.4973462942877433,0.00017750157168401325,0.9624443240144704,0.6781894252079781,0.744968069340933,0.546364114650992,hybrid_fes_phase_transition,chapter7_h_zero_crossing,secondary_phi_reference,primary_interval_count_matched,2.0,27.0,192,68,68,False,evaluated
