family,family_n,event_class,event_role,p_vs_time_shifted_and_random,family_q_value,passes_family_fdr,primary_interpretation_boundary
all_endogenous_c12,8,hybrid_phi_sign_switch,primary_phi_fes,0.009987515605493134,0.06491885143570537,False,B5.1 primary interpretation remains all_endogenous_c12
all_endogenous_c12,8,hybrid_fes_phase_transition,primary_phi_fes,0.018726591760299626,0.06491885143570537,False,B5.1 primary interpretation remains all_endogenous_c12
all_endogenous_c12,8,hybrid_cluster_transition,primary_phi_fes,0.03245942571785269,0.06491885143570537,False,B5.1 primary interpretation remains all_endogenous_c12
all_endogenous_c12,8,chapter7_phi_clean_sign_switch,secondary_phi_reference,0.031210986267166042,0.06491885143570537,False,B5.1 primary interpretation remains all_endogenous_c12
all_endogenous_c12,8,chapter7_h_zero_crossing,secondary_phi_reference,0.1797752808988764,0.2876404494382022,False,B5.1 primary interpretation remains all_endogenous_c12
all_endogenous_c12,8,chapter7_dphi_sign_switch,contrast_switch,0.2671660424469413,0.3053326199393615,False,B5.1 primary interpretation remains all_endogenous_c12
all_endogenous_c12,8,chapter7_d2phi_curvature_switch,contrast_switch,0.2184769038701623,0.29130253849354976,False,B5.1 primary interpretation remains all_endogenous_c12
all_endogenous_c12,8,chapter7_deps_sign_switch,contrast_switch,0.7815230961298377,0.7815230961298377,False,B5.1 primary interpretation remains all_endogenous_c12
primary_phi_fes_only,3,hybrid_phi_sign_switch,primary_phi_fes,0.009987515605493134,0.028089887640449437,True,B5.1 primary interpretation remains all_endogenous_c12
primary_phi_fes_only,3,hybrid_fes_phase_transition,primary_phi_fes,0.018726591760299626,0.028089887640449437,True,B5.1 primary interpretation remains all_endogenous_c12
primary_phi_fes_only,3,hybrid_cluster_transition,primary_phi_fes,0.03245942571785269,0.03245942571785269,True,B5.1 primary interpretation remains all_endogenous_c12
primary_plus_secondary_phi_reference,5,hybrid_phi_sign_switch,primary_phi_fes,0.009987515605493134,0.04057428214731586,True,B5.1 primary interpretation remains all_endogenous_c12
primary_plus_secondary_phi_reference,5,hybrid_fes_phase_transition,primary_phi_fes,0.018726591760299626,0.04057428214731586,True,B5.1 primary interpretation remains all_endogenous_c12
primary_plus_secondary_phi_reference,5,hybrid_cluster_transition,primary_phi_fes,0.03245942571785269,0.04057428214731586,True,B5.1 primary interpretation remains all_endogenous_c12
primary_plus_secondary_phi_reference,5,chapter7_phi_clean_sign_switch,secondary_phi_reference,0.031210986267166042,0.04057428214731586,True,B5.1 primary interpretation remains all_endogenous_c12
primary_plus_secondary_phi_reference,5,chapter7_h_zero_crossing,secondary_phi_reference,0.1797752808988764,0.1797752808988764,False,B5.1 primary interpretation remains all_endogenous_c12
contrast_switch_only,3,chapter7_dphi_sign_switch,contrast_switch,0.2671660424469413,0.40074906367041196,False,B5.1 primary interpretation remains all_endogenous_c12
contrast_switch_only,3,chapter7_d2phi_curvature_switch,contrast_switch,0.2184769038701623,0.40074906367041196,False,B5.1 primary interpretation remains all_endogenous_c12
contrast_switch_only,3,chapter7_deps_sign_switch,contrast_switch,0.7815230961298377,0.7815230961298377,False,B5.1 primary interpretation remains all_endogenous_c12
