event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,topology_class,n_runs,steps,topology_name,topology_role,condition,n_nodes,n_directed_edges,edge_convention,topology_notes,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_C8,p_vs_degree_null,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,max_contrast_effect_vs_time_shifted,passes_effect_controls,passes_stability_gates,passes_contrast_switch_gate,positive_candidate,interpretation
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0062574391213239865,0.002480199338199005,0.005819192608421964,0.006097744551974409,0.00512505539969366,0.004380811315347746,0.009987515605493134,0.007481296758104738,0.09163612129290237,0.009259969233559633,0.004232304700085918,0.4971442192233134,0.00830928004963619,0.5023799423301429,0.009391085962605124,0.9547517175367066,0.0014149249449941677,0.0062574391213239865,0.002480199338199005,0.5567097642080949,0.015252410004335411,0.5387032999657594,0.018529397405300473,23.0,0.0,0.6504231287635546,0.00929546023845152,0.5364783160615915,0.007223895956605053,0.06491885143570537,0.0026307002808203073,True,False,True,False,primary_phi_fes_negative_or_incomplete_gate
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0004382465129020229,0.0024286831648293854,,,,,,,,0.0007073208328210408,0.004356349580941018,0.4980034588387251,0.0060400063549697625,0.4884088450935872,0.01059997322484443,0.9556550495072219,0.0013468867988344411,0.0004382465129020229,0.0024286831648293854,0.5750347472489274,0.057758750126924746,0.514655122896511,0.008264443868093647,24.0,0.0,0.6624771847423682,0.006217754917260455,0.5294597847347796,0.006209528109851176,,0.0026307002808203073,False,False,False,False,control_or_reference_condition
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.00015969456934957727,0.002722074139716269,,,,,,,,-4.3409473296087513e-05,0.004550785054455348,0.4992685421106795,0.014087432803177605,0.5003897303711012,0.010341854515805672,0.9527109753735796,0.0017378976862947437,0.00015969456934957727,0.002722074139716269,0.5933298386258922,0.08127445083157751,0.5931741628007495,0.018437793424775827,119.0375,0.6827105902210687,0.6247391540354231,0.011120133270225402,0.5229535366483237,0.009649512520221198,,0.0026307002808203073,False,False,False,False,control_or_reference_condition
hybrid_phi_sign_switch,primary_phi_fes,120,0.09634522940915351,11.56142752909842,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,0.001132383721630327,0.0022076118859808286,,,,,,,,0.0012799686153401957,0.004580047262314728,0.47011521246411064,0.01117898767564195,0.5094871104709451,0.008520822008075619,0.8767095866370345,0.0025957050380593172,0.001132383721630327,0.0022076118859808286,0.6469078973498299,0.03212871664134143,0.576400280945444,0.02235575759877999,23.0,0.0,0.569774858759115,0.0077423999016445495,0.5449489464793471,0.0070382188083962256,,0.0026307002808203073,False,False,False,False,control_or_reference_condition
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.005163098897424614,0.002438149062231792,0.008667056800141078,0.004495612540330075,0.005378140650276475,0.003746751310779596,0.018726591760299626,0.004987531172069825,0.08297234255248251,0.00988029545940255,0.003771007219323345,0.5028451441742529,0.006205838582868,0.4842297015198224,0.006242890321910652,0.957037838853705,0.0012737266983700575,0.005163098897424614,0.002438149062231792,0.4013955203880782,0.02444947222545362,0.4484956017117759,0.01034798736682369,24.0,0.0,0.6916527654249391,0.005562410980626764,0.5358229254398383,0.0050654433760605275,0.06491885143570537,0.0026307002808203073,True,False,True,False,primary_phi_fes_negative_or_incomplete_gate
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.0035039579027164626,0.0026149134656124995,,,,,,,,-0.0038349841205362056,0.004519556026175578,0.5159306330635444,0.005375423575597087,0.4869460268943539,0.006040379190444778,0.957367181975174,0.0013354061595740895,-0.0035039579027164626,0.0026149134656124995,0.7642856194619694,0.02238972555007884,0.4144587188132175,0.008014520996192688,25.0,0.0,0.7076384748854582,0.005391005965433669,0.5394595087227543,0.004020789285184577,,0.0026307002808203073,False,True,False,False,control_or_reference_condition
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,random_event,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.0006674863570945392,0.0024960467762279235,,,,,,,,0.0009233012028197103,0.003781059687309206,0.48022236805023555,0.0182379255035606,0.5007773166817892,0.008762098109626656,0.9557129321062799,0.001437426110334415,0.0006674863570945392,0.0024960467762279235,0.47493657065468964,0.07941529765562268,0.466838841496966,0.009661243015265868,190.4075,0.5885947247470028,0.6907957095285824,0.006494127916303419,0.5200994426276845,0.009586236049844394,,0.0026307002808203073,False,False,False,False,control_or_reference_condition
hybrid_fes_phase_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,C8(1),contrast,c8_same_schedule,8,8,directed clockwise 1-jump,primary non-D12 contrast,-0.00021504175285186062,0.0020958135673177316,,,,,,,,-0.0015448616862361114,0.0042013459971401825,0.5013458772907287,0.006766410266779963,0.5042234321516328,0.00738700284691746,0.8781185352003668,0.001908565674146538,-0.00021504175285186062,0.0020958135673177316,0.5213880572366412,0.024290084092039702,0.4293781074290494,0.01373674337092093,24.0,0.0,0.5914826835859893,0.003893536069476844,0.5290823341567581,0.005198610694711835,,0.0026307002808203073,False,False,False,False,control_or_reference_condition
hybrid_cluster_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,endogenous,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,0.005020307041338237,0.002314272058669743,0.008576034848099368,0.0043722073318215975,0.005181009609258384,0.0034347194713853723,0.03245942571785269,0.0024937655860349127,0.10763078973675441,0.009603060170221828,0.0037234442238198028,0.5020993663531093,0.006064637433687898,0.4845693218998821,0.005903651415894623,0.9571053475190517,0.0013445402603976966,0.005020307041338237,0.002314272058669743,0.4007668553973798,0.025050312196033483,0.4481792359034402,0.01051265733224932,24.0,0.0,0.6912504845017062,0.005976332956238134,0.5355036364664069,0.004986481765949355,0.06491885143570537,0.0026307002808203073,True,False,True,False,primary_phi_fes_negative_or_incomplete_gate
hybrid_cluster_transition,primary_phi_fes,192,0.09999999999999999,19.2,bounded_differentiated_recovery,standalone Cn(k) directed rings,400,240,"C12(1,2)",primary,time_shifted,12,48,bidirectional 1-jump and 2-jump; 48 directed arrows,primary Luke/D12RG normalized readout candidate,-0.003555727806761131,0.002508165508835544,,,,,,,,-0.003965749592936909,0.004276148403660543,0.5154157235396792,0.005188338283119682,0.48722408759621394,0.005299780852066052,0.9573663806644417,0.0012622879746217513,-0.003555727806761131,0.002508165508835544,0.7630954353754846,0.02060684859921398,0.41425931898619495,0.008478064490494432,25.0,0.0,0.7079620603901895,0.00511665341635007,0.5387804759782846,0.003980327427963697,,0.0026307002808203073,False,True,False,False,control_or_reference_condition
