source_file,condition,n_rows,numeric_columns,kuramoto_r2_mean,kuramoto_r2_median,kuramoto_r2_sd,Delta_omega_mean,Delta_omega_median,Delta_omega_sd,K_est_mean,K_est_median,K_est_sd,n_mean,n_median,n_sd
IDPC_Reproduction/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,observed,26,kuramoto_r2; Delta_omega; K_est; n,0.021051242117588163,0.0103734713649552,0.04230350783229725,-0.0024750479665054145,0.00213625894214325,0.022445240946479584,-0.003435706496896063,-0.0041382494804884755,0.0723586324168111,27.0,27.0,1.9595917942265424
IDPC_Reproduction/Chapter3/oscillator_test_per_session_latest_riccisync.csv,observed,52,n; pearson; spearman; omega2; r2,,,,,,,,,,26.48076923076923,28.0,2.033931618332902
IDPC_Reproduction_mm_derangement/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.021051242117588163,0.0103734713649552,0.04230350783229725,-0.0024750479665054145,0.00213625894214325,0.022445240946479584,-0.003435706496896063,-0.0041382494804884755,0.0723586324168111,27.0,27.0,1.9595917942265424
IDPC_Reproduction_mm_derangement/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,26.48076923076923,28.0,2.033931618332902
IDPC_Reproduction_mm_random/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.021051242117588163,0.0103734713649552,0.04230350783229725,-0.0024750479665054145,0.00213625894214325,0.022445240946479584,-0.003435706496896063,-0.0041382494804884755,0.0723586324168111,27.0,27.0,1.9595917942265424
IDPC_Reproduction_mm_random/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,26.48076923076923,28.0,2.033931618332902
IDPC_Reproduction_mm_reverse/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.021051242117588163,0.0103734713649552,0.04230350783229725,-0.0024750479665054145,0.00213625894214325,0.022445240946479584,-0.003435706496896063,-0.0041382494804884755,0.0723586324168111,27.0,27.0,1.9595917942265424
IDPC_Reproduction_mm_reverse/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,26.48076923076923,28.0,2.033931618332902
IDPC_Reproduction_mm_shift1/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.021051242117588163,0.0103734713649552,0.04230350783229725,-0.0024750479665054145,0.00213625894214325,0.022445240946479584,-0.003435706496896063,-0.0041382494804884755,0.0723586324168111,27.0,27.0,1.9595917942265424
IDPC_Reproduction_mm_shift1/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,26.48076923076923,28.0,2.033931618332902
IDPC_Reproduction_random/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.029276961858843896,0.00363818863115235,0.07130467231567952,-0.0030639320123257573,-0.00224025938066295,0.018492119638476256,-0.010077871147096738,-0.0129239544873044,0.07082591653021166,25.96153846153846,26.0,1.777206104665843
IDPC_Reproduction_random/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,25.96153846153846,27.5,2.37603672696856
IDPC_Reproduction_surrogate/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.04401154627756132,0.0028988999923254,0.0909740674661305,-0.007017004025617345,-0.0023508294352241003,0.014690991040095353,0.024474928549631937,0.0053149998677307995,0.09103706828471482,26.0,26.0,0.0
IDPC_Reproduction_surrogate/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,24.0,24.0,0.0
IDPC_Reproduction_surrogate_btc/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.09109095026797377,0.01848198221704585,0.1390067498430903,-0.008501718520410458,-0.00125355446174275,0.015770788976074562,0.04055740191511533,0.021555392569360197,0.1405580496075173,26.0,26.0,0.0
IDPC_Reproduction_surrogate_btc/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,24.0,24.0,0.0
IDPC_Reproduction_surrogate_spx/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,control,26,kuramoto_r2; Delta_omega; K_est; n,0.05712105544985418,0.0065498750571329,0.12303351677206327,-0.003471029897617331,0.0007042384366826499,0.02261127729550164,0.05102974797170347,0.01647797190468445,0.08983822212314221,26.0,26.0,0.0
IDPC_Reproduction_surrogate_spx/Chapter3/oscillator_test_per_session_latest_riccisync.csv,control,52,n; pearson; spearman; omega2; r2,,,,,,,,,,24.0,24.0,0.0
backups/mm_original_state/Chapter3/kuramoto_test_per_session_latest_riccisync.csv,other,26,kuramoto_r2; Delta_omega; K_est; n,0.021051242117588163,0.0103734713649552,0.04230350783229725,-0.0024750479665054145,0.00213625894214325,0.022445240946479584,-0.003435706496896063,-0.0041382494804884755,0.0723586324168111,27.0,27.0,1.9595917942265424
backups/mm_original_state/Chapter3/oscillator_test_per_session_latest_riccisync.csv,other,52,n; pearson; spearman; omega2; r2,,,,,,,,,,26.48076923076923,28.0,2.033931618332902
