state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold
side=B_side|tfc=high|dphi=low|str=high,11,O1_lag0_AB,0.6436744142981708,O1_lag0_AB,0.6436744142981708,0.6436744142981708,0.16418693929197506,0.5756621255968617,0.17891619380328605,0.2675031932308929,0.5747590587143147,0.0,0
side=A_side|tfc=low|dphi=mid|str=low,10,O3_A_C_boundary,0.5750214869607791,O1_lag0_AB,-0.8112868403608055,-0.8112868403608055,-0.03678192261582376,0.5750214869607791,-0.5221251686031477,-0.2566702066272197,-0.40238633687973885,0.0,0
side=B_side|tfc=high|dphi=mid|str=mid,9,O4_B_C_boundary,0.46219117654363145,O1_lag0_AB,0.12396808685094808,0.12396808685094808,-0.37028086147491246,-0.2641104573107497,0.46219117654363145,-0.17887961065137223,-0.18243903763329541,0.0,0
side=B_side|tfc=low|dphi=low|str=mid,12,O6_phase_only,0.5004199983501023,O1_lag0_AB,-0.7906736834238061,-0.7906736834238061,-0.20947554117140124,-0.6390558215596395,0.13542222255836037,-0.5161089003276619,0.5004199983501023,0.0,0
side=A_side|tfc=mid|dphi=low|str=high,8,O6_phase_only,0.5862255058742961,O1_lag0_AB,0.26836222744450877,0.26836222744450877,-0.15005687152861685,-0.07289689610761474,0.5856338576338534,-0.005925510866057054,0.5862255058742961,0.0,0
side=B_side|tfc=mid|dphi=low|str=low,9,O1_lag0_AB,0.24395358191714342,O1_lag0_AB,0.24395358191714342,0.24395358191714342,-0.2233580199457062,-0.44771836663262393,-0.39840547753402433,-0.45389308649558807,0.19739218512842407,0.0,0
side=B_side|tfc=low|dphi=high|str=high,10,O3_A_C_boundary,0.3368018621653008,O1_lag0_AB,-0.18802299014067367,-0.18802299014067367,-0.4902525500490221,0.3368018621653008,0.14726071251402198,-0.09838516938053529,0.33432591335325346,0.0,0
side=A_side|tfc=high|dphi=high|str=low,10,O1_lag0_AB,0.4095801382331482,O1_lag0_AB,0.4095801382331482,0.4095801382331482,0.3567836450136562,0.04971935030902746,0.09777982894834647,0.061071225122201235,-0.037450824118766456,0.0,0
side=B_side|tfc=high|dphi=high|str=low,9,O5_full_TFC,0.6189154499153101,O1_lag0_AB,0.4806906534311226,0.4806906534311226,0.3138027839843681,-0.07756425558479298,-0.15659101436605324,0.6189154499153101,-0.5062717275630942,0.0,0
side=A_side|tfc=low|dphi=high|str=high,11,O3_A_C_boundary,1.061419209141764,O1_lag0_AB,-0.21078443598637298,-0.21078443598637298,0.2208109746356617,1.061419209141764,0.43760242479058875,0.36608260965453615,-0.28473624494475896,0.0,0
side=B_side|tfc=low|dphi=mid|str=low,8,O2_lag5_AB,0.31193708131767767,O1_lag0_AB,-0.7853007161426236,-0.7853007161426236,0.31193708131767767,-0.30209687089012777,0.17303362489224464,-0.09219832279703108,-0.30988189329542104,0.0,0
side=B_side|tfc=mid|dphi=low|str=mid,12,O6_phase_only,0.40335355555512525,O1_lag0_AB,-0.6049600975587661,-0.6049600975587661,-0.5830796553054324,-0.0029524018159700813,0.12410221867788833,-0.022593021214834197,0.40335355555512525,0.0,0
side=B_side|tfc=low|dphi=high|str=low,10,O4_B_C_boundary,0.4243201394769136,O1_lag0_AB,0.1320774477006183,0.1320774477006183,0.255753406514015,-0.28482970452385215,0.4243201394769136,0.024490598949737197,-0.4378610464318841,0.0,0
side=B_side|tfc=low|dphi=low|str=low,8,O7_suppress_event,0.0,O1_lag0_AB,-0.24258386013624583,-0.24258386013624583,-0.014881714332587836,-0.6484270832137979,-0.13582787085743922,-0.34212226337967533,-0.1895138030428094,0.0,0
side=B_side|tfc=mid|dphi=mid|str=low,8,O2_lag5_AB,0.24469900444289855,O1_lag0_AB,0.21807884370503866,0.21807884370503866,0.24469900444289855,-0.4789963816655859,-0.14374553264704956,-0.14263632996991515,-0.17013243162373787,0.0,0
