true_policy_operator,true_policy_source,n_events,mean_reward_z,oracle_hit_rate
O1_lag0_AB,global_fallback,97,-0.18073496195756195,0.13402061855670103
O1_lag0_AB,state_mapping,52,0.21807360036359916,0.19230769230769232
O2_lag5_AB,global_fallback,47,-0.14695587388800632,0.10638297872340426
O2_lag5_AB,state_mapping,32,0.05055683532763762,0.15625
O3_A_C_boundary,state_mapping,58,0.5153926421552076,0.25862068965517243
O4_B_C_boundary,global_fallback,54,-0.2271690622137822,0.14814814814814814
O4_B_C_boundary,state_mapping,51,-0.11557530628893618,0.0784313725490196
O5_full_TFC,global_fallback,36,-0.20548952210345628,0.1111111111111111
O5_full_TFC,state_mapping,14,0.33492571533903986,0.21428571428571427
O6_phase_only,state_mapping,48,-0.012380615693531565,0.2708333333333333
O7_suppress_event,state_mapping,13,0.0,0.0
