true_policy_operator,true_policy_source,true_operator_performance_stratum,n_events,mean_reward_z,oracle_hit_rate
O1_lag0_AB,global_fallback,high,44,-0.4201712686453015,0.06818181818181818
O1_lag0_AB,state_mapping,high,25,0.07921345055303859,0.16
O1_lag0_AB,state_mapping,low,35,0.6154177267766441,0.2857142857142857
O2_lag5_AB,state_mapping,high,7,0.032126211060722096,0.2857142857142857
O2_lag5_AB,state_mapping,low,21,-0.1366091029431941,0.09523809523809523
O2_lag5_AB,state_mapping,mid,5,-0.18909943940744117,0.2
O3_A_C_boundary,global_fallback,high,112,-0.041527017450261064,0.13392857142857142
O3_A_C_boundary,state_mapping,high,37,0.2173468055315916,0.24324324324324326
O3_A_C_boundary,state_mapping,low,17,0.6454573613996264,0.35294117647058826
O4_B_C_boundary,global_fallback,high,72,-0.14037936988911756,0.1527777777777778
O4_B_C_boundary,state_mapping,high,14,-0.18052599567262242,0.2857142857142857
O4_B_C_boundary,state_mapping,low,30,-0.11884490455620432,0.06666666666666667
O4_B_C_boundary,state_mapping,mid,9,0.04321403360115957,0.2222222222222222
O5_full_TFC,state_mapping,high,8,-0.4886503856844942,0.0
O5_full_TFC,state_mapping,low,4,0.3236580489983155,0.25
O6_phase_only,state_mapping,high,7,0.9177112719278703,0.2857142857142857
O6_phase_only,state_mapping,low,16,0.07714130709147747,0.3125
O6_phase_only,state_mapping,mid,29,0.09018510805071686,0.3103448275862069
O7_suppress_event,state_mapping,high,4,0.0,0.0
O7_suppress_event,state_mapping,mid,6,0.0,0.0
