fold,selected_performance_stratum,selected_operator,n_state_mappings,mean_selected_train_reward
0,high,O4_B_C_boundary,5,0.4418181780980528
0,high,O6_phase_only,4,0.34882636624777735
0,low,O1_lag0_AB,4,0.4795603246834457
0,low,O2_lag5_AB,1,0.48430815278471123
0,low,O3_A_C_boundary,5,0.6881644014907204
0,mid,O7_suppress_event,1,0.0
1,high,O3_A_C_boundary,7,0.6737891080979433
1,high,O7_suppress_event,2,0.0
1,low,O1_lag0_AB,6,0.6482884848523377
1,low,O4_B_C_boundary,5,0.3821576554124424
1,low,O5_full_TFC,1,0.6034159778349985
1,mid,O2_lag5_AB,3,0.37277735482532215
1,mid,O6_phase_only,2,0.5581148246885645
2,high,O3_A_C_boundary,7,0.5514426301607421
2,high,O5_full_TFC,2,0.9649679570440843
2,low,O1_lag0_AB,4,0.7512709210125723
2,low,O2_lag5_AB,3,0.5659818451622605
2,low,O6_phase_only,4,0.42552606399109105
2,mid,O4_B_C_boundary,4,0.2988255827380213
2,mid,O7_suppress_event,1,0.0
3,high,O1_lag0_AB,7,0.5793329793103
3,high,O2_lag5_AB,3,0.357929977010151
3,low,O3_A_C_boundary,5,0.561251740252702
3,low,O4_B_C_boundary,5,0.2761225551509633
3,low,O5_full_TFC,1,0.7153191493696716
3,mid,O6_phase_only,4,0.5116784232721657
3,mid,O7_suppress_event,1,0.0
4,high,O1_lag0_AB,6,0.6355105330433242
4,high,O3_A_C_boundary,5,0.7479698820367214
4,low,O2_lag5_AB,6,0.29420013322119626
4,low,O4_B_C_boundary,2,0.19694550870477992
4,mid,O6_phase_only,7,0.5988377886546228
