state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold,condition_id
side=B_side|tfc=low,73,O4_B_C_boundary,0.18717909500619548,O5_full_TFC,-0.2802696443940495,-0.2138556981188662,-0.0032191516571303614,-0.4076668294775759,0.18717909500619548,-0.2802696443940495,0.0073816623404056115,0.0,0,b6e_robust_013
side=A_side|tfc=low,48,O3_A_C_boundary,0.21874805484162613,O5_full_TFC,-0.02317080311840278,-0.6724966374729635,0.09300120754242258,0.21874805484162613,-0.031736292948031264,-0.02317080311840278,0.15191924447654062,0.0,0,b6e_robust_013
side=A_side|tfc=high,56,O3_A_C_boundary,0.6738120134888432,O5_full_TFC,0.4905716532838883,0.4265752089395801,0.12287732879205064,0.6738120134888432,0.058812479179805824,0.4905716532838883,-0.17208072358996154,0.0,0,b6e_robust_013
side=B_side|tfc=high,76,O1_lag0_AB,0.5436912119698313,O5_full_TFC,0.27101343554428486,0.5436912119698313,0.07279472052065747,0.13496251185867938,-0.009903655820433713,0.27101343554428486,0.03176814183922005,0.0,0,b6e_robust_013
side=B_side|tfc=mid,83,O6_phase_only,0.146203345700708,O5_full_TFC,-0.04779611601739428,-0.042545423164541976,0.029516566380307384,-0.10047026615194145,-0.14226816882918578,-0.04779611601739428,0.146203345700708,0.0,0,b6e_robust_013
side=A_side|tfc=mid,43,O6_phase_only,0.045895167906852954,O5_full_TFC,-0.07545355291882165,-0.2726732080185583,-0.03837013541322349,0.03354771227032777,-0.24881926958088552,-0.07545355291882165,0.045895167906852954,0.0,0,b6e_robust_013
side=B_side|tfc=high,86,O1_lag0_AB,0.5505674211598787,O4_B_C_boundary,-0.04161176286966584,0.5505674211598787,0.17374113588245224,0.16210833169698366,-0.04161176286966584,0.2674667321593586,0.0542767322586364,0.0,1,b6e_robust_013
side=A_side|tfc=high,55,O3_A_C_boundary,0.5286693451108164,O4_B_C_boundary,0.2394399249509453,0.4726998225888086,0.02654851074780829,0.5286693451108164,0.2394399249509453,0.44243219666036254,-0.10217371068057557,0.0,1,b6e_robust_013
side=A_side|tfc=low,51,O3_A_C_boundary,0.45398925629976583,O4_B_C_boundary,0.15913881581657066,-0.4760897068152623,-0.03697290359145347,0.45398925629976583,0.15913881581657066,0.11431739807535632,-0.04445914888598779,0.0,1,b6e_robust_013
side=B_side|tfc=low,75,O4_B_C_boundary,0.3039983713421869,O4_B_C_boundary,0.3039983713421869,-0.3218583189468216,-0.06007521290280065,-0.36190112323225226,0.3039983713421869,-0.29539589784801085,-0.003265826368785548,0.0,1,b6e_robust_013
side=A_side|tfc=mid,45,O6_phase_only,0.044788475914772856,O4_B_C_boundary,-0.03721065896292854,-0.12356107002423386,-0.2128462836298901,0.02041854586329826,-0.03721065896292854,-0.1204291423223987,0.044788475914772856,0.0,1,b6e_robust_013
side=B_side|tfc=mid,85,O6_phase_only,0.06734737738655178,O4_B_C_boundary,-0.19390134892981606,-0.0499447143297537,-0.09587746135874634,-0.17618061476802196,-0.19390134892981606,-0.10609432399751802,0.06734737738655178,0.0,1,b6e_robust_013
side=B_side|tfc=low,88,O4_B_C_boundary,0.21276948590267528,O1_lag0_AB,-0.2475970178821734,-0.2475970178821734,-0.1028683149688545,-0.41277369406931314,0.21276948590267528,-0.37765406497044274,-0.0041352996228128484,0.0,2,b6e_robust_013
side=A_side|tfc=low,53,O2_lag5_AB,0.1582129523752633,O1_lag0_AB,-0.3250019700399922,-0.3250019700399922,0.1582129523752633,0.1147969220200428,-0.06074683871128861,-0.0144354576812643,0.05532538740651475,0.0,2,b6e_robust_013
side=A_side|tfc=high,51,O3_A_C_boundary,0.519214451952442,O1_lag0_AB,0.48773377010612895,0.48773377010612895,0.12656497133965278,0.519214451952442,0.06305637221805536,0.32058876641302864,-0.35882924178042575,0.0,2,b6e_robust_013
side=B_side|tfc=high,79,O1_lag0_AB,0.5264031498158933,O1_lag0_AB,0.5264031498158933,0.5264031498158933,0.1955868902161213,0.057876016205624846,-0.15895236243575556,0.15981655592901825,-0.01665394278476522,0.0,2,b6e_robust_013
side=B_side|tfc=mid,93,O6_phase_only,0.1514019044699646,O1_lag0_AB,-0.0014823375502774428,-0.0014823375502774428,-0.06712407154958645,-0.26804622103991915,-0.10345511233960676,-0.15181232172583214,0.1514019044699646,0.0,2,b6e_robust_013
side=A_side|tfc=mid,41,O7_suppress_event,0.0,O1_lag0_AB,-0.12733919214737577,-0.12733919214737577,-0.10417586970917844,-0.13914534918049384,-0.049327824182544514,-0.07274127534824948,-0.0972920399063282,0.0,2,b6e_robust_013
side=B_side|tfc=low,78,O4_B_C_boundary,0.17114951271221765,O2_lag5_AB,-0.07986605517534008,-0.3990657043570471,-0.07986605517534008,-0.3833136753850417,0.17114951271221765,-0.26441050804780264,0.06809786301945629,0.0,3,b6e_robust_013
side=A_side|tfc=low,53,O3_A_C_boundary,0.2819646883631695,O2_lag5_AB,-0.0017519321813274447,-0.5233512125803034,-0.0017519321813274447,0.2819646883631695,-0.0014523200679392946,0.026064020813393603,-0.06443625072644206,0.0,3,b6e_robust_013
side=A_side|tfc=high,52,O3_A_C_boundary,0.6475047333953774,O2_lag5_AB,0.23727360879815257,0.5117309902857038,0.23727360879815257,0.6475047333953774,0.07100159403572412,0.4968383281106194,-0.25839505335445867,0.0,3,b6e_robust_013
side=B_side|tfc=high,81,O1_lag0_AB,0.5257678030600781,O2_lag5_AB,0.16343151149433902,0.5257678030600781,0.16343151149433902,0.026801505649846603,-0.0584251132415882,0.2265085075053257,-0.09218615702365475,0.0,3,b6e_robust_013
side=B_side|tfc=mid,86,O6_phase_only,0.2047380185348264,O2_lag5_AB,0.0191020154654576,0.04989829281497277,0.0191020154654576,-0.27559478327649595,-0.1529092382056911,-0.16754642645947937,0.2047380185348264,0.0,3,b6e_robust_013
side=A_side|tfc=mid,50,O3_A_C_boundary,0.04477998334157829,O2_lag5_AB,-0.22684556939883585,-0.3358064681205337,-0.22684556939883585,0.04477998334157829,-0.25127860275475605,-0.1333221446180908,-0.09293608752315365,0.0,3,b6e_robust_013
side=B_side|tfc=low,86,O4_B_C_boundary,0.20119352981178756,O4_B_C_boundary,0.20119352981178756,-0.32657438936848926,-0.09693383003278788,-0.37316652784648574,0.20119352981178756,-0.27450760382311457,-0.05313749050208334,0.0,4,b6e_robust_013
side=A_side|tfc=low,55,O3_A_C_boundary,0.28160515417335363,O4_B_C_boundary,0.04647424217405442,-0.4567610658244274,-0.012207169408913775,0.28160515417335363,0.04647424217405442,0.05139168747233898,0.003435479686644446,0.0,4,b6e_robust_013
side=A_side|tfc=high,50,O3_A_C_boundary,0.5618620551348974,O4_B_C_boundary,-0.07799470800754915,0.35192517859031924,0.08031660202716717,0.5618620551348974,-0.07799470800754915,0.3298341686194634,-0.32821555006294467,0.0,4,b6e_robust_013
side=B_side|tfc=high,74,O1_lag0_AB,0.4491166038547722,O4_B_C_boundary,-0.030525326427967903,0.4491166038547722,0.04367124132003498,0.0629382880672327,-0.030525326427967903,0.1479672063497241,-0.0012294134013768122,0.0,4,b6e_robust_013
side=B_side|tfc=mid,89,O6_phase_only,0.1714165686344887,O4_B_C_boundary,-0.05276603667890961,-0.12816646630691456,-0.10673612745183386,-0.19121542042580603,-0.05276603667890961,-0.14168134390870432,0.1714165686344887,0.0,4,b6e_robust_013
side=A_side|tfc=mid,45,O3_A_C_boundary,0.0449787845994765,O4_B_C_boundary,-0.24706260302812086,-0.3596860391868828,-0.3298244424928498,0.0449787845994765,-0.24706260302812086,-0.23597814946571966,-0.008086808151278425,0.0,4,b6e_robust_013
