condition_id,seed,n_folds,state_variant,endpoint_mode,operator_pool,operators,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6e_robust_001,60310,5,coarse,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,0.024274535000525815,0.02335145841477697,0.02168425603819922,0.16873250699720113,453,0.5338645418326693
b6e_robust_001,60310,5,coarse,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_frequency_matched_random,0.024274535000525815,-0.06904077256340167,0.0802830807066791,0.011995201919232307,453,0.5338645418326693
b6e_robust_001,60310,5,coarse,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_performance_matched_random,0.024274535000525815,0.011092583593881763,0.035154898499719076,0.11875249900039984,453,0.5338645418326693
b6e_robust_001,60310,5,coarse,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_within_state_shuffle,0.024274535000525815,-0.05970568095342921,0.08443022057240335,0.003998400639744102,453,0.5338645418326693
b6e_robust_001,60310,5,coarse,z_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_oracle,0.024274535000525815,1.2239410650761156,-1.2268488159331694,1.0,453,0.5338645418326693
b6e_robust_002,60310,5,coarse,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_balanced_pool_shuffle,0.029344776593792133,0.011217188343545343,0.02724211025771152,0.11195521791283487,452,0.5338645418326693
b6e_robust_002,60310,5,coarse,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_frequency_matched_random,0.029344776593792133,-0.07061781227929696,0.08370100320173987,0.010795681727309077,452,0.5338645418326693
b6e_robust_002,60310,5,coarse,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_performance_matched_random,0.029344776593792133,-0.013272517331340536,0.05276125046317887,0.026789284286285485,452,0.5338645418326693
b6e_robust_002,60310,5,coarse,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_within_state_shuffle,0.029344776593792133,-0.05683575967335946,0.08647492086282792,0.0023990403838464614,452,0.5338645418326693
b6e_robust_002,60310,5,coarse,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_oracle,0.029344776593792133,1.2219141327632141,-1.2108884761402852,1.0,452,0.5338645418326693
b6e_robust_003,60310,5,coarse,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,0.0043614355168425335,0.018303947449567478,-0.000797672169443846,0.516593362654938,450,0.5338645418326693
b6e_robust_003,60310,5,coarse,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_frequency_matched_random,0.0043614355168425335,-0.05256791232213509,0.0553235366533377,0.04958016793282687,450,0.5338645418326693
b6e_robust_003,60310,5,coarse,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_performance_matched_random,0.0043614355168425335,0.001995655272071691,0.017414340838498233,0.25309876049580166,450,0.5338645418326693
b6e_robust_003,60310,5,coarse,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_within_state_shuffle,0.0043614355168425335,-0.05700018581643428,0.06641110163417517,0.011995201919232307,450,0.5338645418326693
b6e_robust_003,60310,5,coarse,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_oracle,0.0043614355168425335,1.067896279433008,-1.0801069342445606,1.0,450,0.5338645418326693
b6e_robust_004,60310,5,coarse,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_balanced_pool_shuffle,0.010156046551470775,0.018772963466428982,-0.0017204374135572048,0.5565773690523791,449,0.5338645418326693
b6e_robust_004,60310,5,coarse,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_frequency_matched_random,0.010156046551470775,-0.0489273181599656,0.05754375667954102,0.05437824870051979,449,0.5338645418326693
b6e_robust_004,60310,5,coarse,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_performance_matched_random,0.010156046551470775,-0.007333342813986214,0.025900862781610936,0.07796881247501,449,0.5338645418326693
b6e_robust_004,60310,5,coarse,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_within_state_shuffle,0.010156046551470775,-0.050118430109112835,0.06397066424381809,0.015593762495002,449,0.5338645418326693
b6e_robust_004,60310,5,coarse,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_oracle,0.010156046551470775,1.057888739467889,-1.0478023483130527,1.0,449,0.5338645418326693
b6e_robust_005,60310,5,coarse,rank_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,-0.012262328643852608,-0.0027006805476982396,-0.004609394900748777,0.6001599360255898,463,0.5338645418326693
