endpoint,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate,oracle_hit_rate
future_C_quality,true_recursive_C_policy_vs_balanced_pool_shuffle,-0.003208632059438121,-0.00435615611894888,0.0011564506089348457,0.4401119776044791,488,0.5756972111553785,0.3784860557768924
future_C_quality,true_recursive_C_policy_vs_frequency_matched_random,-0.003208632059438121,-0.004266678851904889,0.002309709814816263,0.4537092581483703,488,0.5756972111553785,0.3784860557768924
future_C_quality,true_recursive_C_policy_vs_performance_matched_random,-0.003208632059438121,-0.003995073223288239,0.0007946277893076825,0.47570485902819437,488,0.5756972111553785,0.3784860557768924
future_C_quality,true_recursive_C_policy_vs_within_state_shuffle,-0.003208632059438121,-0.001688860568638941,-0.0015024675915303325,0.5476904619076185,488,0.5756972111553785,0.3784860557768924
future_C_quality,true_recursive_C_policy_vs_oracle,-0.003208632059438121,0.37161893270721574,-0.3780356588679526,1.0,488,0.5756972111553785,0.3784860557768924
future_policy_score,true_recursive_C_policy_vs_balanced_pool_shuffle,-0.0202245940101931,-0.015348561749617984,-0.004844580289776708,0.7400519896020796,488,0.5756972111553785,0.3784860557768924
future_policy_score,true_recursive_C_policy_vs_frequency_matched_random,-0.0202245940101931,-0.013168637689316011,-0.007063677582636619,0.6274745050989802,488,0.5756972111553785,0.3784860557768924
future_policy_score,true_recursive_C_policy_vs_performance_matched_random,-0.0202245940101931,-0.00898083584590847,-0.011225354812141363,0.7416516696660668,488,0.5756972111553785,0.3784860557768924
future_policy_score,true_recursive_C_policy_vs_within_state_shuffle,-0.0202245940101931,-0.017797610665384562,-0.0022446307765156513,0.5604879024195161,488,0.5756972111553785,0.3784860557768924
future_policy_score,true_recursive_C_policy_vs_oracle,-0.0202245940101931,0.39492156784485166,-0.4264758789653479,1.0,488,0.5756972111553785,0.3784860557768924
future_ABC_consistency,true_recursive_C_policy_vs_balanced_pool_shuffle,-0.011119050948033055,-0.010416545424054452,-0.0006593728307112928,0.5320935812837433,483,0.5756972111553785,0.3784860557768924
future_ABC_consistency,true_recursive_C_policy_vs_frequency_matched_random,-0.011119050948033055,-0.007704280401191513,-0.0031117036159458086,0.5614877024595081,483,0.5756972111553785,0.3784860557768924
future_ABC_consistency,true_recursive_C_policy_vs_performance_matched_random,-0.011119050948033055,-0.0052295797616228636,-0.005867816611827905,0.6400719856028795,483,0.5756972111553785,0.3784860557768924
future_ABC_consistency,true_recursive_C_policy_vs_within_state_shuffle,-0.011119050948033055,0.0013034995265787425,-0.012446839285666053,0.740251949610078,483,0.5756972111553785,0.3784860557768924
future_ABC_consistency,true_recursive_C_policy_vs_oracle,-0.011119050948033055,0.35888461781123054,-0.3841212831245087,1.0,483,0.5756972111553785,0.3784860557768924
future_operator_advantage,true_recursive_C_policy_vs_balanced_pool_shuffle,-0.012503729046825746,-0.0061598156563502544,-0.006331290817409197,0.7456508698260348,488,0.5756972111553785,0.3784860557768924
future_operator_advantage,true_recursive_C_policy_vs_frequency_matched_random,-0.012503729046825746,-0.007951698671800459,-0.0048640033372400505,0.585882823435313,488,0.5756972111553785,0.3784860557768924
future_operator_advantage,true_recursive_C_policy_vs_performance_matched_random,-0.012503729046825746,-0.005603260618063834,-0.006888986337331456,0.645870825834833,488,0.5756972111553785,0.3784860557768924
future_operator_advantage,true_recursive_C_policy_vs_within_state_shuffle,-0.012503729046825746,-0.009600377047961763,-0.0028049874799299544,0.5652869426114777,488,0.5756972111553785,0.3784860557768924
future_operator_advantage,true_recursive_C_policy_vs_oracle,-0.012503729046825746,0.3981574039639765,-0.4220836814851786,1.0,488,0.5756972111553785,0.3784860557768924
recursive_composite,true_recursive_C_policy_vs_balanced_pool_shuffle,-0.014031537900380942,-0.011263359803098462,-0.0027450974419482585,0.7034593081383723,488,0.5756972111553785,0.3784860557768924
recursive_composite,true_recursive_C_policy_vs_frequency_matched_random,-0.014031537900380942,-0.00942041239984494,-0.004272983505031713,0.609878024395121,488,0.5756972111553785,0.3784860557768924
recursive_composite,true_recursive_C_policy_vs_performance_matched_random,-0.014031537900380942,-0.008405622598273757,-0.00560869066563532,0.6862627474505099,488,0.5756972111553785,0.3784860557768924
recursive_composite,true_recursive_C_policy_vs_within_state_shuffle,-0.014031537900380942,-0.009272760399801523,-0.004663769709597839,0.6384723055388922,488,0.5756972111553785,0.3784860557768924
recursive_composite,true_recursive_C_policy_vs_oracle,-0.014031537900380942,0.27967024162344845,-0.3012770699938166,1.0,488,0.5756972111553785,0.3784860557768924
