state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold
side=A_side|tfc=high|dphi=mid|str=mid,9,O2_lag5_AB,0.11319932857894956,O7_suppress_event,0.0,0.10764170832465746,0.11319932857894956,0.11319932857894956,0.11319932857894956,0.11319932857894956,0.10764170832465746,0.0,0
side=B_side|tfc=high|dphi=high|str=low,12,O2_lag5_AB,0.2565993447444904,O7_suppress_event,0.0,0.1950279972015296,0.2565993447444904,0.2565993447444904,0.2565993447444904,0.2565993447444904,0.1950279972015296,0.0,0
side=B_side|tfc=low|dphi=low|str=mid,17,O1_lag0_AB,0.027374240860654236,O7_suppress_event,0.0,0.027374240860654236,0.023133968038050904,0.023133968038050904,0.023133968038050904,0.023133968038050904,0.027374240860654236,0.0,0
side=B_side|tfc=mid|dphi=low|str=mid,12,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.0989363615647378,-0.10155966280446904,-0.10155966280446904,-0.10155966280446904,-0.10155966280446904,-0.0989363615647378,0.0,0
side=B_side|tfc=mid|dphi=mid|str=mid,10,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.15561128712211253,-0.1561887101362015,-0.1561887101362015,-0.1561887101362015,-0.1561887101362015,-0.15561128712211253,0.0,0
side=B_side|tfc=mid|dphi=high|str=low,11,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.36528355132889273,-0.30082654985325624,-0.30082654985325624,-0.30082654985325624,-0.30082654985325624,-0.36528355132889273,0.0,0
side=B_side|tfc=low|dphi=mid|str=high,13,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.06435723336426323,-0.0648677009537194,-0.0648677009537194,-0.0648677009537194,-0.0648677009537194,-0.06435723336426323,0.0,0
side=B_side|tfc=high|dphi=mid|str=mid,8,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.07476895194793791,-0.07156145804453022,-0.07156145804453022,-0.07156145804453022,-0.07156145804453022,-0.07476895194793791,0.0,0
side=B_side|tfc=mid|dphi=high|str=high,8,O1_lag0_AB,0.01653688639214266,O7_suppress_event,0.0,0.01653688639214266,0.014265041117420624,0.014265041117420624,0.014265041117420624,0.014265041117420624,0.01653688639214266,0.0,0
side=B_side|tfc=high|dphi=low|str=high,10,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.054253499763939526,-0.05046932895811277,-0.05046932895811277,-0.05046932895811277,-0.05046932895811277,-0.054253499763939526,0.0,0
