state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold
side=A_side|tfc=high|dphi=mid|str=mid,9,O1_lag0_AB,0.18006316743798295,O3_A_C_boundary,0.05692747491238862,0.18006316743798295,0.09499904838255538,0.05692747491238862,0.03250841336250398,-0.014778474634730301,0.09275708332817943,0.13335550520488637,0
side=B_side|tfc=high|dphi=high|str=low,10,O6_phase_only,0.17402655698153416,O3_A_C_boundary,-0.15141604994938923,-0.17927189020141576,-0.27655902766043283,-0.15141604994938923,-0.11180967095435794,-0.3171774843139621,0.17402655698153416,-0.19686313287298535,0
side=B_side|tfc=low|dphi=low|str=mid,16,O2_lag5_AB,0.3019368863962491,O3_A_C_boundary,0.26900300509153746,0.2745009030469526,0.3019368863962491,0.26900300509153746,0.17430356355634505,0.21136788050879188,0.1384451583310796,0.19095827816466276,0
side=B_side|tfc=mid|dphi=low|str=high,9,O4_B_C_boundary,0.10459330585618046,O3_A_C_boundary,0.01833445706647722,0.05479377530800004,0.03448640752004802,0.01833445706647722,0.10459330585618046,0.04465761863452934,-0.10823084984607254,-0.03531927049695225,0
side=B_side|tfc=mid|dphi=low|str=mid,15,O1_lag0_AB,-0.221809472028154,O3_A_C_boundary,-0.33123462450127833,-0.221809472028154,-0.28822037154788094,-0.33123462450127833,-0.3838467814103273,-0.27665703280599413,-0.29902845527613675,-0.29935990767214105,0
side=B_side|tfc=mid|dphi=mid|str=mid,13,O3_A_C_boundary,0.20593966418147025,O3_A_C_boundary,0.20593966418147025,0.06651183718804744,0.1485394801795057,0.20593966418147025,0.14193859839271655,0.1189380000712077,0.14254290179878784,0.18324081785437704,0
side=B_side|tfc=low|dphi=mid|str=high,10,O2_lag5_AB,0.1738415581679279,O3_A_C_boundary,0.037363945602640974,0.03411279183818089,0.1738415581679279,0.037363945602640974,0.04061513950290227,0.0050345180665233025,0.0007333464299362699,-0.017733397203625642,0
side=B_side|tfc=high|dphi=mid|str=mid,9,O2_lag5_AB,0.12999012386450237,O3_A_C_boundary,0.017046939325411476,0.054787805064564064,0.12999012386450237,0.017046939325411476,-0.021350151509689615,-0.009095015081898132,0.08939818743128225,0.10746720993525061,0
side=B_side|tfc=mid|dphi=mid|str=high,8,O6_phase_only,0.12253271079846736,O3_A_C_boundary,0.10849510307121013,0.03321420082853979,0.040624947944228995,0.10849510307121013,0.07754897548154864,0.11499230878677968,0.12253271079846736,0.10131571416899522,0
side=A_side|tfc=low|dphi=high|str=high,15,O1_lag0_AB,0.42498956798725146,O3_A_C_boundary,0.2377752049362455,0.42498956798725146,0.27789019294234707,0.2377752049362455,0.33152435550408393,0.21572547326071756,0.4140190771847674,0.290074342379049,0
side=B_side|tfc=high|dphi=low|str=high,11,O7_suppress_event,0.01948561584845695,O3_A_C_boundary,-0.07240070088702887,-0.12473205345399428,0.01144823015576757,-0.07240070088702887,-0.007603041021270318,-0.006925152151916622,-0.05946062675075356,0.01948561584845695,0
side=B_side|tfc=mid|dphi=low|str=low,9,O4_B_C_boundary,-0.020246723799629367,O3_A_C_boundary,-0.2134814243662727,-0.3462280043780488,-0.16690093153639035,-0.2134814243662727,-0.020246723799629367,-0.21107158629977768,-0.32596665423177074,-0.2397305503077254,0
side=B_side|tfc=low|dphi=mid|str=low,9,O1_lag0_AB,0.24632101588188232,O3_A_C_boundary,0.1477521555650984,0.24632101588188232,0.02029904690963541,0.1477521555650984,0.060550865501409035,0.07897602966763234,-0.05330691625557166,-0.02450017226798834,0
side=B_side|tfc=low|dphi=high|str=low,9,O6_phase_only,0.21961569426735703,O3_A_C_boundary,-0.06470294378350115,-0.008329360171099816,-0.04721440780243092,-0.06470294378350115,-0.09878273361772039,-0.04657385624277989,0.21961569426735703,-0.0638221499283072,0
side=B_side|tfc=low|dphi=low|str=low,9,O3_A_C_boundary,-0.16259145338929792,O3_A_C_boundary,-0.16259145338929792,-0.33340453181734,-0.30474380012986857,-0.16259145338929792,-0.2821454738335546,-0.18608283130672346,-0.31453411100880946,-0.2802304419923601,0
side=B_side|tfc=mid|dphi=mid|str=low,8,O3_A_C_boundary,0.18185106481272073,O3_A_C_boundary,0.18185106481272073,0.015834959469638366,-0.041267524994560545,0.18185106481272073,-0.02999579151137456,-0.004043431124341398,0.057418337078426224,0.050498343212771496,0
side=B_side|tfc=high|dphi=high|str=high,14,O3_A_C_boundary,-0.0005989608026442106,O3_A_C_boundary,-0.0005989608026442106,-0.12335663465650881,-0.06782949031377598,-0.0005989608026442106,-0.07079439911398074,-0.06093045510850603,-0.08334732472543689,-0.04015421822695692,0
side=B_side|tfc=low|dphi=high|str=high,8,O2_lag5_AB,0.3631930859417207,O3_A_C_boundary,0.20138662352666803,0.34575402762273766,0.3631930859417207,0.20138662352666803,0.23044963736371277,0.2116895661440306,0.2860884031083696,0.35941941637874375,0
side=A_side|tfc=mid|dphi=mid|str=mid,10,O5_full_TFC,-0.19237937220895981,O3_A_C_boundary,-0.20165931575116525,-0.2892474632155173,-0.26672917303380994,-0.20165931575116525,-0.198928274474832,-0.19237937220895981,-0.295034501240856,-0.2684951367303205,0
side=B_side|tfc=high|dphi=mid|str=high,9,O7_suppress_event,-0.06845399784505915,O3_A_C_boundary,-0.1822376197140015,-0.22360181862180153,-0.29045699961556704,-0.1822376197140015,-0.11995630065696246,-0.29884424422963235,-0.12819965544313897,-0.06845399784505915,0
side=B_side|tfc=mid|dphi=high|str=mid,15,O2_lag5_AB,-0.1028066621450044,O3_A_C_boundary,-0.18412905799633264,-0.10937967713712689,-0.1028066621450044,-0.18412905799633264,-0.1992616749542536,-0.1969628345689121,-0.12713297714831606,-0.138156840250249,0
side=A_side|tfc=mid|dphi=low|str=mid,8,O1_lag0_AB,0.031691701396901244,O3_A_C_boundary,0.006972414197856325,0.031691701396901244,-0.05127919443294797,0.006972414197856325,-0.051842502482398425,-0.055694150312388065,-0.07088474708032878,-0.0022430483849416732,0
side=B_side|tfc=high|dphi=high|str=mid,9,O4_B_C_boundary,-0.030250229487770158,O3_A_C_boundary,-0.15965119315996765,-0.22509851047985016,-0.06209521596761876,-0.15965119315996765,-0.030250229487770158,-0.12051246111584764,-0.15402595492659563,-0.06275023603293894,0
side=A_side|tfc=high|dphi=low|str=low,9,O5_full_TFC,0.29479332231903554,O3_A_C_boundary,0.13395267219268406,0.15408617600087715,0.2325461999761724,0.13395267219268406,0.22211750983522752,0.29479332231903554,0.15024454757182637,0.19359265008574444,0
