state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold
side=B_side|tfc=low|dphi=low,31,O3_A_C_boundary,0.01718711478239828,O3_A_C_boundary,0.01718711478239828,-0.058438107552867435,-0.004989005681035903,0.01718711478239828,-0.08182174884483671,-0.02727994247591717,-0.12007915774447324,-0.07438254655000243,0
side=A_side|tfc=low|dphi=high,21,O6_phase_only,0.315473951030752,O3_A_C_boundary,0.20702748882791874,0.2941645403640737,0.21785638722171718,0.20702748882791874,0.2430461219915537,0.20397424761013902,0.315473951030752,0.23800322263092796,0
side=A_side|tfc=high|dphi=mid,17,O7_suppress_event,0.06140456212141886,O3_A_C_boundary,-0.017698064239447385,-0.03183871938711964,-0.026988906727102177,-0.017698064239447385,-0.028438315610727165,-0.061431441589196153,-0.009916250328233185,0.06140456212141886,0
side=B_side|tfc=high|dphi=high,33,O6_phase_only,-0.011658069357795552,O3_A_C_boundary,-0.09099677176708264,-0.16719614107762806,-0.13842105766010251,-0.09099677176708264,-0.07515107259743928,-0.16367336318112508,-0.011658069357795552,-0.09964598619599686,0
side=B_side|tfc=mid|dphi=low,33,O4_B_C_boundary,-0.15147219644381668,O3_A_C_boundary,-0.203783093127798,-0.18030454975917418,-0.16712231179894826,-0.203783093127798,-0.15147219644381668,-0.17113882427506505,-0.25433952623765577,-0.21108627279770345,0
side=B_side|tfc=mid|dphi=mid,29,O3_A_C_boundary,0.17121590404461032,O3_A_C_boundary,0.17121590404461032,0.04251911888007122,0.06347618377683628,0.17121590404461032,0.07441745187407113,0.08267310793407136,0.11250440016430721,0.12190722404666636,0
side=B_side|tfc=mid|dphi=high,25,O7_suppress_event,-0.08393715785727034,O3_A_C_boundary,-0.09061926016754394,-0.11545867817190358,-0.14347178748144382,-0.09061926016754394,-0.16584575599264048,-0.11094797933314259,-0.12729710167949743,-0.08393715785727034,0
side=B_side|tfc=low|dphi=mid,24,O1_lag0_AB,0.09884644376002052,O3_A_C_boundary,0.04394841312381473,0.09884644376002052,0.05459351342195377,0.04394841312381473,0.024365164228477808,0.039293776289264365,0.008680093012489868,-0.016325169717348337,0
side=B_side|tfc=high|dphi=mid,22,O7_suppress_event,-0.0336462178458297,O3_A_C_boundary,-0.09898250465350511,-0.13157003549073637,-0.10859578039242382,-0.09898250465350511,-0.09635302259447072,-0.16799179577567566,-0.05836035341620249,-0.0336462178458297,0
side=A_side|tfc=mid|dphi=high,10,O2_lag5_AB,0.018728415917112357,O3_A_C_boundary,-0.0823034433623663,-0.15863934557051532,0.018728415917112357,-0.0823034433623663,0.01317926023300181,0.0012432128113034485,-0.03939258457171731,-0.009104757720732742,0
side=B_side|tfc=high|dphi=low,20,O4_B_C_boundary,0.03354504790428865,O3_A_C_boundary,-0.010668130885258587,-0.052162996289225105,0.008111598192609771,-0.010668130885258587,0.03354504790428865,-0.024287824012543775,-0.054389502304319506,-0.003365565657860009,0
side=B_side|tfc=low|dphi=high,22,O6_phase_only,0.30514682280902794,O3_A_C_boundary,0.1651564104928235,0.2577502006031332,0.2485750731510354,0.1651564104928235,0.11995101089887802,0.16158619209656433,0.30514682280902794,0.20330678715084627,0
side=A_side|tfc=mid|dphi=mid,18,O4_B_C_boundary,-0.020616671145649135,O3_A_C_boundary,-0.07364575570882938,-0.18278859207513243,-0.14350235331035416,-0.07364575570882938,-0.020616671145649135,-0.07999120453978663,-0.1917055904762717,-0.2032014652338729,0
side=A_side|tfc=low|dphi=mid,16,O4_B_C_boundary,0.10328278860240855,O3_A_C_boundary,-0.018045891329397455,-0.0005681414888006713,0.005200387204066043,-0.018045891329397455,0.10328278860240855,0.0496606567264013,-0.08663792215092225,-0.036166330244830264,0
side=A_side|tfc=high|dphi=low,15,O5_full_TFC,0.24877860593054443,O3_A_C_boundary,0.08131792113723108,0.11391012696634199,0.17907847728203624,0.08131792113723108,0.13700381994426464,0.24877860593054443,0.07456118515068107,0.1487026391022163,0
side=A_side|tfc=high|dphi=high,14,O6_phase_only,0.18146282880819303,O3_A_C_boundary,0.10460227367939214,0.11011741007100077,-0.028074852900248613,0.10460227367939214,0.04667954141855468,0.07148531118776091,0.18146282880819303,0.06101887554543184,0
side=A_side|tfc=low|dphi=low,14,O1_lag0_AB,0.42900408044177063,O3_A_C_boundary,0.3592131853197403,0.42900408044177063,0.2887666418791189,0.3592131853197403,0.35865316621019866,0.37798810000143007,0.37988352950894344,0.39112628243785946,0
