state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold
side=B_side|tfc=low,77,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.192748056833476,-0.2776993086046011,-0.2797678852974408,-0.2720067682827924,-0.2797678852974408,-0.06373789061764064,0.0,0
side=A_side|tfc=low,53,O6_phase_only,0.016107501788331452,O7_suppress_event,0.0,-0.12980710830629452,-0.17442701813796924,-0.28992934515688396,-0.2989304383658633,-0.28992934515688396,0.016107501788331452,0.0,0
side=A_side|tfc=high,49,O6_phase_only,0.10012850857387778,O7_suppress_event,0.0,-0.2515914865388242,-0.08061202817277396,-0.042730375593814825,-0.03989556580213328,-0.042730375593814825,0.10012850857387778,0.0,0
side=B_side|tfc=high,77,O4_B_C_boundary,0.013707640291841704,O7_suppress_event,0.0,-0.24770923059377126,-0.01859643187213811,0.009011877733097005,0.013707640291841704,0.009011877733097005,-0.061868495151004226,0.0,0
side=B_side|tfc=mid,88,O7_suppress_event,0.0,O7_suppress_event,0.0,-0.08268087361038358,-0.14633536738011274,-0.2422707155953362,-0.24318000845764112,-0.2422707155953362,-0.358924773776598,0.0,0
side=A_side|tfc=mid,43,O3_A_C_boundary,0.07379654017761125,O7_suppress_event,0.0,-0.11329531089043798,-0.036477604599801206,0.07379654017761125,0.03960546700642451,0.07379654017761125,0.059336497394446935,0.0,0
side=B_side|tfc=low,80,O6_phase_only,0.1278648394881064,O6_phase_only,0.1278648394881064,-0.11721906495298823,-0.18976709091170527,-0.17596641357203668,-0.16263098404387755,-0.17596641357203668,0.1278648394881064,0.0,1
side=A_side|tfc=low,57,O1_lag0_AB,0.26515678752198907,O6_phase_only,-0.017395688812601,0.26515678752198907,0.20316245534389768,0.07202185371623421,0.07524692775528413,0.07202185371623421,-0.017395688812601,0.0,1
side=A_side|tfc=high,54,O6_phase_only,0.27282721220750733,O6_phase_only,0.27282721220750733,-0.18798137959224898,-0.06526290693678173,-0.059049854419459265,-0.05732399489829552,-0.059049854419459265,0.27282721220750733,0.0,1
side=B_side|tfc=high,82,O3_A_C_boundary,0.12664049652201548,O6_phase_only,0.10297634762855203,0.06696566401345853,0.08656817648972503,0.12664049652201548,0.12536804709431643,0.12664049652201548,0.10297634762855203,0.0,1
side=B_side|tfc=mid,85,O1_lag0_AB,0.17203997332461093,O6_phase_only,-0.08923905515454379,0.17203997332461093,0.05296019711868315,-0.02979322843238067,-0.03393274771092527,-0.02979322843238067,-0.08923905515454379,0.0,1
side=A_side|tfc=mid,48,O3_A_C_boundary,0.4271319910605848,O6_phase_only,0.26036428236305786,0.010513474001148486,0.3241363546423596,0.4271319910605848,0.40351703832357877,0.4271319910605848,0.26036428236305786,0.0,1
