state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,fold,condition_id
side=B_side,240,O4_B_C_boundary,0.03847977465721789,O4_B_C_boundary,0.03847977465721789,0.0011186091542988745,0.003021823851224583,-0.19871842404078122,0.03847977465721789,-0.07041864241930502,0,b6i_006
side=A_side,138,O3_A_C_boundary,0.31332529669875403,O4_B_C_boundary,0.0064185023723280785,-0.14364627560792928,-0.055669428703040716,0.31332529669875403,0.0064185023723280785,0.11011104445078632,0,b6i_006
side=B_side,238,O1_lag0_AB,0.07800740447028497,O2_lag5_AB,0.021273545184600513,0.07800740447028497,0.021273545184600513,-0.18642639462323898,-0.05552748081745832,-0.0865830434997638,1,b6i_006
side=A_side,153,O3_A_C_boundary,0.27210107415567747,O2_lag5_AB,0.06475233549143163,-0.09068045320764329,0.06475233549143163,0.27210107415567747,-0.06984564285414024,0.16335025533003536,1,b6i_006
side=B_side,258,O1_lag0_AB,0.08967827934391702,O1_lag0_AB,0.08967827934391702,0.08967827934391702,-0.010231904281238722,-0.21764993195615917,-0.008493241039513802,-0.12496518534872479,2,b6i_006
side=A_side,154,O3_A_C_boundary,0.22162517154540196,O1_lag0_AB,-0.047283754226131194,-0.047283754226131194,0.015130806987112461,0.22162517154540196,-0.03166313038744413,0.04186039706393525,2,b6i_006
side=B_side,238,O1_lag0_AB,0.0791765962105744,O3_A_C_boundary,-0.09686081544276562,0.0791765962105744,0.027920653435281495,-0.09686081544276562,-0.005879826907181408,-0.009303538891859217,3,b6i_006
side=A_side,153,O3_A_C_boundary,0.3897466596375955,O3_A_C_boundary,0.3897466596375955,-0.037820102395136855,-0.09578508474832823,0.3897466596375955,0.02640142295636398,0.12103105652854655,3,b6i_006
side=B_side,258,O4_B_C_boundary,0.07522384672825673,O4_B_C_boundary,0.07522384672825673,0.013443391968687707,-0.03266765603453486,-0.19609980532115387,0.07522384672825673,-0.07557271683984056,4,b6i_006
side=A_side,150,O3_A_C_boundary,0.3242581858627402,O4_B_C_boundary,-0.01493166569850002,-0.10929616836091478,0.057571367649992794,0.3242581858627402,-0.01493166569850002,0.1637364064438257,4,b6i_006
