state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O6_phase_only,train_mean_O7_suppress_event,fold,condition_id
tfc=low,136,O4_B_C_boundary,0.038729185438268275,O4_B_C_boundary,0.038729185438268275,-0.3486697037493289,-0.0252375778260899,-0.09446184291758804,0.038729185438268275,-0.11790747748100967,0.0029206318397614534,0.0,0,b6i_009
tfc=high,113,O1_lag0_AB,0.411829942536796,O4_B_C_boundary,0.1031121964139366,0.411829942536796,0.10141923206602696,0.16053568213591224,0.1031121964139366,0.3471352632807933,-0.0989570183572512,0.0,0,b6i_009
tfc=mid,129,O6_phase_only,0.09333612137732107,O4_B_C_boundary,-0.07719709370500986,-0.13971688574677626,-0.11381301130851923,-0.06666992683105771,-0.07719709370500986,-0.1504115127271669,0.09333612137732107,0.0,0,b6i_009
tfc=low,133,O4_B_C_boundary,0.10038758513428941,O2_lag5_AB,-0.006263566266512119,-0.3229988441421763,-0.006263566266512119,-0.07899017422793768,0.10038758513428941,-0.11742398543976142,0.063053513015161,0.0,1,b6i_009
tfc=high,130,O1_lag0_AB,0.47968941825668676,O2_lag5_AB,0.15581085623007476,0.47968941825668676,0.15581085623007476,0.2839918747164914,-0.037296529025522905,0.3178281590623138,-0.07397649560600962,0.0,1,b6i_009
tfc=mid,128,O6_phase_only,0.013608513981765866,O2_lag5_AB,-0.06454026458623613,-0.11393656559404258,-0.06454026458623613,-0.196971835985369,-0.2403166629348866,-0.14373495411628678,0.013608513981765866,0.0,1,b6i_009
tfc=low,139,O4_B_C_boundary,0.06185862981770054,O1_lag0_AB,-0.29285534772280025,-0.29285534772280025,0.011311446226044386,-0.18302991195839832,0.06185862981770054,-0.18979841522842517,0.008119383169176236,0.0,2,b6i_009
tfc=high,135,O1_lag0_AB,0.4400124026563885,O1_lag0_AB,0.4400124026563885,0.4400124026563885,0.10417504566490363,0.2267551318806474,-0.016719262719935478,0.1751564042160516,-0.07192740161412835,0.0,2,b6i_009
tfc=mid,138,O6_phase_only,0.0792565980999322,O1_lag0_AB,-0.012704652530915185,-0.012704652530915185,-0.08149707639407343,-0.18158886742828254,-0.07434740504717958,-0.13847508239895479,0.0792565980999322,0.0,2,b6i_009
tfc=high,143,O1_lag0_AB,0.47924396935010644,O3_A_C_boundary,0.2795478036218322,0.47924396935010644,0.1706908003918,0.2795478036218322,0.021926968546790042,0.3354421754649884,-0.0062393173090648435,0.0,3,b6i_009
tfc=low,120,O4_B_C_boundary,0.1650017398900434,O3_A_C_boundary,0.08934825335035623,-0.3365540879829042,-0.0911118451614916,0.08934825335035623,0.1650017398900434,-0.07720684230038483,-0.032661655953799475,0.0,3,b6i_009
tfc=mid,128,O7_suppress_event,0.0,O3_A_C_boundary,-0.13139593134326064,-0.1109033980240372,-0.11610384082667238,-0.13139593134326064,-0.15258182082153354,-0.16234797361742173,-0.03355038353173082,0.0,3,b6i_009
tfc=low,132,O4_B_C_boundary,0.13945698934623674,O4_B_C_boundary,0.13945698934623674,-0.3972483765952178,0.0379316956425875,-0.12508161754764344,0.13945698934623674,-0.16305328292023002,0.01726433616344486,0.0,4,b6i_009
tfc=high,139,O1_lag0_AB,0.42293403509208,O4_B_C_boundary,0.09256841234314458,0.42293403509208,0.05839741100041907,0.2803832934382721,0.09256841234314458,0.3130209788546128,-0.05218596745805178,0.0,4,b6i_009
tfc=mid,137,O6_phase_only,0.07269150802186766,O4_B_C_boundary,-0.1279195061023319,-0.1266451443526199,-0.12386109473582242,-0.15279934253055397,-0.1279195061023319,-0.18640114604053093,0.07269150802186766,0.0,4,b6i_009
