condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6i_085,0,P10,56.0,side=B_side|lag=missing,O4_B_C_boundary,state_mapping,-0.11518713538842819,-0.11518713538842819,0.47311123523623927,-0.057593567694214094,0.590235894302769,1.1688710872468095
b6i_085,0,P10,64.0,side=A_side|lag=short,O4_B_C_boundary,state_mapping,,,0.3895273467919806,0.0,0.2629285645378544,0.9492650041883183
b6i_085,0,P10,101.0,side=B_side|lag=long,O4_B_C_boundary,state_mapping,-0.3626261669635698,-0.3626261669635703,0.20287441172014328,-0.1813130834817849,-0.3264824728555488,0.8913751401012282
b6i_085,0,P10,106.0,side=A_side|lag=short,O4_B_C_boundary,state_mapping,-1.3097203912684225,-1.3097203912684257,-0.4759201649752155,-0.6548601956342113,-0.20974370022124358,1.4070710696338369
b6i_085,0,P10,132.0,side=A_side|lag=long,O3_A_C_boundary,state_mapping,0.933620407404604,1.127626470422215,0.9446799313692366,0.5435442980647023,0.44984047089373397,1.3255518478442119
b6i_085,0,P10,137.0,side=B_side|lag=short,O1_lag0_AB,state_mapping,-0.6539389116031444,-0.6539389116031433,-0.8370040459769325,-1.1304998889681035,-0.962505700773233,0.0
b6i_085,0,P10,175.0,side=B_side|lag=long,O4_B_C_boundary,state_mapping,0.5802018671417117,0.5802018671417105,0.8241208591021086,0.29010093357085587,0.09871899068558727,1.3043430182787044
b6i_085,0,P10,191.0,side=A_side|lag=mid,O3_A_C_boundary,state_mapping,,0.26511036956884215,0.15337381011765924,0.39682741613696926,0.4030810652465376,1.5159903798231351
b6i_085,0,P10,228.0,side=B_side|lag=long,O4_B_C_boundary,state_mapping,-0.7892451869207108,-0.7892451869207097,-0.40829426661082047,-0.3946225934603554,-0.09070123390528283,0.9999489834961277
b6i_085,0,P10,252.0,side=B_side|lag=mid,O6_phase_only,state_mapping,0.43388836042436196,0.43388836042436196,0.028473369996475532,-0.590639480067433,-0.1584754905236115,0.959892794903567
b6i_085,0,P10,268.0,side=A_side|lag=mid,O3_A_C_boundary,state_mapping,0.04646979403371336,-0.16979304012890992,-0.5307260734822418,0.0966203945832942,-0.19773553681742798,0.6428243465332251
b6i_085,0,P10,289.0,side=A_side|lag=mid,O3_A_C_boundary,state_mapping,-0.426677199764095,0.566085886650349,1.0132113534601586,0.41072222388343693,0.6607851905498247,1.7005624448890309
b6i_085,0,P10,299.0,side=B_side|lag=short,O1_lag0_AB,state_mapping,-1.4033175562510722,-0.1964778892545427,-0.48113693146593517,-0.74643115441434,-0.5450452192142556,1.427632669783384
b6i_085,0,P10,310.0,side=A_side|lag=mid,O3_A_C_boundary,state_mapping,-0.37598287900004407,0.06408497680178746,0.3262220721212703,0.42635704741488356,0.4408819440200393,1.1142288673242566
b6i_085,0,P10,314.0,side=B_side|lag=short,O1_lag0_AB,state_mapping,1.0074194043616007,0.32154210598065375,-0.1796982751738715,0.4633114996337998,0.00408913655509497,1.2736722838263526
b6i_085,0,P10,321.0,side=B_side|lag=short,O1_lag0_AB,state_mapping,-0.3216672484101954,-0.2129643041414489,0.13527702933549204,-0.1318292117121985,0.046300815020031756,1.2158642068778514
b6i_085,0,P10,350.0,side=A_side|lag=long,O3_A_C_boundary,state_mapping,,-1.643684291326821,-0.8861342914956193,-0.26829895837091206,0.5300974085506607,1.6293354549500985
b6i_085,0,P10,391.0,side=B_side|lag=long,O4_B_C_boundary,state_mapping,,,0.5524344101472578,0.0,0.6283448305157555,1.544326648604876
b6i_085,0,P14,16.0,side=B_side|lag=missing,O4_B_C_boundary,state_mapping,,,-0.4931129209152471,0.0,-0.9704313209191381,0.0
