state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,fold,condition_id
side=B_side|strength=high,86,O1_lag0_AB,0.09195643148640054,O4_B_C_boundary,-0.07122349882339778,0.09195643148640054,-0.029371249558872697,-0.1534519860227111,-0.07122349882339778,-0.019117447627320823,0,b6i_090
side=A_side|strength=mid,44,O3_A_C_boundary,0.26700571622626196,O4_B_C_boundary,0.0966774991093954,-0.03012078296995522,0.09145133556643853,0.26700571622626196,0.0966774991093954,0.018285517435191447,0,b6i_090
side=B_side|strength=low,71,O2_lag5_AB,0.03608181902614306,O4_B_C_boundary,-0.02376782139180439,0.03344086612543279,0.03608181902614306,-0.20554587844261613,-0.02376782139180439,-0.07786769220270835,0,b6i_090
side=B_side|strength=mid,83,O4_B_C_boundary,0.14233226331919355,O4_B_C_boundary,0.14233226331919355,-0.14030302981589143,-0.03112825953485726,-0.2384541151541034,0.14233226331919355,-0.016021883718088152,0,b6i_090
side=A_side|strength=low,55,O3_A_C_boundary,0.4294876861036548,O4_B_C_boundary,-0.1800229690257397,-0.2685645449586866,-0.2358527780944118,0.4294876861036548,-0.1800229690257397,0.0024291548070133197,0,b6i_090
side=A_side|strength=high,39,O5_full_TFC,0.26662569720879353,O4_B_C_boundary,0.16972693043992038,-0.05411417894015264,0.09477437978344264,0.23845301629434493,0.16972693043992038,0.26662569720879353,0,b6i_090
side=B_side|strength=high,84,O1_lag0_AB,0.06465697871854581,O2_lag5_AB,-0.04873970883479128,0.06465697871854581,-0.04873970883479128,-0.00213557688995967,-0.12922523360129498,-0.002344914076797696,1,b6i_090
side=A_side|strength=mid,45,O2_lag5_AB,0.09803522491216715,O2_lag5_AB,0.09803522491216715,0.005018813395305352,0.09803522491216715,0.09570389096402929,0.006824790620256789,0.07105307822094772,1,b6i_090
side=B_side|strength=low,74,O1_lag0_AB,0.25958244335746944,O2_lag5_AB,0.20610115648163518,0.25958244335746944,0.20610115648163518,-0.31941406159253793,-0.10140836564834739,-0.10265109219276436,1,b6i_090
side=B_side|strength=mid,80,O4_B_C_boundary,0.0675850049251295,O2_lag5_AB,-0.12056443057144099,-0.11233448551993587,-0.12056443057144099,-0.2262893363925511,0.0675850049251295,-0.06335246558292615,1,b6i_090
side=A_side|strength=low,59,O3_A_C_boundary,0.40473310907302323,O2_lag5_AB,-8.356931231213754e-05,-0.1448161183055473,-8.356931231213754e-05,0.40473310907302323,-0.23092453256046624,0.02895049577760944,1,b6i_090
side=A_side|strength=high,49,O5_full_TFC,0.29164539422835195,O2_lag5_AB,0.07766847851747088,-0.07611735754664184,0.07766847851747088,0.2685692555303503,0.10804500152255588,0.29164539422835195,1,b6i_090
side=B_side|strength=high,82,O1_lag0_AB,0.17171680386290786,O1_lag0_AB,0.17171680386290786,0.17171680386290786,-0.011341300105149226,-0.1579724511637571,-0.06646001303637328,-0.03784648250942507,2,b6i_090
side=A_side|strength=mid,45,O2_lag5_AB,0.1640805743174174,O1_lag0_AB,0.09729000831663903,0.09729000831663903,0.1640805743174174,0.11201623708136588,0.002277431869115957,0.024070191503101784,2,b6i_090
side=B_side|strength=low,82,O1_lag0_AB,0.19514317408337079,O1_lag0_AB,0.19514317408337079,0.19514317408337079,0.12639349557978102,-0.3174213425594726,-0.09533631364253094,-0.1932096255920839,2,b6i_090
side=B_side|strength=mid,94,O4_B_C_boundary,0.13145475050920286,O1_lag0_AB,-0.09705546656123466,-0.09705546656123466,-0.1297288573366769,-0.19904687069639523,0.13145475050920286,-0.09701377796196844,2,b6i_090
side=A_side|strength=low,65,O3_A_C_boundary,0.393859084013234,O1_lag0_AB,-0.10895959481302041,-0.10895959481302041,-0.03794829522033561,0.393859084013234,-0.1608683345921508,-0.03124034187694228,2,b6i_090
side=A_side|strength=high,44,O4_B_C_boundary,0.1979160890068561,O1_lag0_AB,-0.07256684720024212,-0.07256684720024212,0.025696875468279333,0.12446482913964588,0.1979160890068561,0.13943200988289436,2,b6i_090
side=B_side|strength=high,83,O1_lag0_AB,0.16032285186331668,O3_A_C_boundary,-0.04609203355291377,0.16032285186331668,-0.004735727613165366,-0.04609203355291377,-0.04764640744943106,0.05095582746524429,3,b6i_090
