condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6i_001,side_only,z_reward,full,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.0455739649175085,0.04557396491750835,1.4759637770824938e-16,0.14994002399040385,449,0.9860557768924303
b6i_001,side_only,z_reward,full,60810,5,8,200,true_policy_vs_frequency_matched_random,0.0455739649175085,-0.05933980640331888,0.09760716574477196,0.001999200319872051,449,0.9860557768924303
b6i_001,side_only,z_reward,full,60810,5,8,200,true_policy_vs_performance_matched_random,0.0455739649175085,0.04033025768308291,0.02122736960966411,0.23590563774490203,449,0.9860557768924303
b6i_001,side_only,z_reward,full,60810,5,8,200,true_policy_vs_within_state_shuffle,0.0455739649175085,0.008037471953668785,0.04812535000693546,0.149140343862455,449,0.9860557768924303
b6i_001,side_only,z_reward,full,60810,5,8,200,true_policy_vs_oracle,0.0455739649175085,1.2239410650761156,-1.1972074545507236,1.0,449,0.9860557768924303
b6i_002,side_only,z_reward,core_5,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.05174900671027406,0.051749006710273986,6.778842627082117e-17,0.327469012395042,433,0.9860557768924303
b6i_002,side_only,z_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,0.05174900671027406,-0.05989428186634232,0.10745844847414743,0.0027988804478208716,433,0.9860557768924303
b6i_002,side_only,z_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,0.05174900671027406,0.02352735609229155,0.08261778824452047,0.0007996801279488205,433,0.9860557768924303
b6i_002,side_only,z_reward,core_5,60810,5,8,200,true_policy_vs_within_state_shuffle,0.05174900671027406,0.02097233856500296,0.056202656164869934,0.10555777688924431,433,0.9860557768924303
b6i_002,side_only,z_reward,core_5,60810,5,8,200,true_policy_vs_oracle,0.05174900671027406,1.0578887394678889,-1.0063074325568222,1.0,433,0.9860557768924303
b6i_003,side_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.05174900671027406,0.051749006710273986,6.778842627082117e-17,0.327469012395042,433,0.9860557768924303
b6i_003,side_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,0.05174900671027406,-0.05989428186634232,0.10745844847414743,0.0027988804478208716,433,0.9860557768924303
b6i_003,side_only,z_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,0.05174900671027406,0.06252417951354802,0.03717463879516418,0.09116353458616554,433,0.9860557768924303
