factor,present,n_conditions,success_rate,mean_effect_vs_balanced,mean_effect_vs_frequency,mean_effect_vs_performance,mean_effect_vs_within
side,True,88,0.5454545454545454,0.04803795860558498,0.1380246360160384,0.07868651040010446,0.12769725292697504
side,False,80,0.375,0.029757329065032357,0.09541668959536216,0.05158642813660981,0.0612331076882879
tfc,True,88,0.7045454545454546,0.0579500078397537,0.16037036462527893,0.0938781072767588,0.15498274836357406
tfc,False,80,0.2,0.018854074907446762,0.07083638812519759,0.03487567157229003,0.031219062708028978
dphi,True,40,0.525,0.048120556443644706,0.13866435870000998,0.07031871374724005,0.12595950763106006
dphi,False,128,0.4453125,0.036586753318345926,0.11119475616437464,0.06436389543944043,0.08670020755776901
phase,True,40,0.5,0.04234529811214953,0.1185644726242369,0.062274488459744634,0.08612696329079536
phase,False,128,0.453125,0.038391521546938166,0.11747597056305371,0.06687771584178276,0.09914787766410174
lag,True,32,0.3125,0.02411174211180203,0.07505178510300954,0.043339305369717626,0.05008359879911078
lag,False,136,0.5,0.042914345109679425,0.1277782795128239,0.07106227495813981,0.10686273316959773
strength,True,32,0.4375,0.040033594320102776,0.10794780433018387,0.06731731068232029,0.09026037060960224
strength,False,136,0.47058823529411764,0.03916802694302043,0.12003803969466521,0.06542039135517447,0.09740937509654092
