state_representation,n_conditions,n_success,success_rate,mean_effect_vs_balanced,mean_effect_vs_frequency,mean_effect_vs_performance,mean_effect_vs_within
side_tfc_phase,8,8,1.0,0.06645559818543154,0.15520223681463055,0.09422522558452588,0.14794548404467267
side_tfc,8,7,0.875,0.08089291705944776,0.2037301452934441,0.12927322304383845,0.21087704197390425
tfc_dphi,8,7,0.875,0.06972272655473714,0.1768678931263535,0.09552121829186688,0.1647094617493905
side_tfc_dphi,8,6,0.75,0.07561859210330779,0.1915729869682327,0.10553456268013381,0.19095279091707335
side_tfc_strength,8,6,0.75,0.074378436795669,0.19131904681303352,0.11277385213650436,0.19517698700304836
tfc_phase,8,6,0.75,0.060131135410867204,0.16672049232192954,0.09006129763148202,0.1379075480153021
side_tfc_lag,8,6,0.75,0.05614287409056104,0.16443025122520982,0.09980223351939996,0.16604730699176862
side_strength,8,5,0.625,0.048178261998705924,0.1246971873262746,0.07016290890172203,0.12022944763716664
tfc_only,8,5,0.625,0.04423027495233228,0.17561938729819004,0.11197161529765899,0.17705923099268617
coarse,8,5,0.625,0.03550666858934576,0.10586401799504666,0.05802104633610166,0.09775361744325942
side_tfc_dphi_phase,8,4,0.5,0.04981180979036684,0.13961263594485868,0.06638049532605524,0.14384433583520662
side_dphi,8,4,0.5,0.04022599616742758,0.1206135628264107,0.07699448120076997,0.11789033731389759
tfc_lag,8,4,0.5,0.03353340575152224,0.09639093414275604,0.06112611911427411,0.08627649622891742
tfc_strength,8,3,0.375,0.026532315543047844,0.10260800092942972,0.06598933741860709,0.08401354824734478
side_phase,8,2,0.25,0.02781167778181002,0.11497927243097354,0.05661789992139056,0.08595226602371868
strength_bin_only,8,0,0.0,0.011045362942988364,0.013166982251997639,0.02034314427244765,-0.038378500449150824
phase_quadrant_only,8,0,0.0,0.0075162693922720255,0.016307725608792262,0.004087523835269478,-0.08501481746492323
side_only,8,0,0.0,0.006262165994408972,0.10869446313421381,0.04293803117262817,0.053347072260832094
dphi_only,8,0,0.0,0.005223657602384163,0.06465471463419428,0.00716281123737437,0.012400612339732359
lag_class_only,8,0,0.0,0.004131473910826507,0.03596674764493178,0.0015801679310157532,-0.02439612021967962
side_lag,8,0,0.0,0.0026392146942983263,0.003419207399140541,0.010848700914180687,-0.027593287804563323
