state_representation,n_conditions,n_success,success_rate,mean_effect_vs_balanced,mean_effect_vs_frequency,mean_effect_vs_performance,mean_effect_vs_within,n_components
tfc_only,8,5,0.625,0.04423027495233228,0.17561938729819004,0.11197161529765899,0.17705923099268617,1
side_tfc,8,7,0.875,0.08089291705944776,0.2037301452934441,0.12927322304383845,0.21087704197390425,2
tfc_dphi,8,7,0.875,0.06972272655473714,0.1768678931263535,0.09552121829186688,0.1647094617493905,2
tfc_phase,8,6,0.75,0.060131135410867204,0.16672049232192954,0.09006129763148202,0.1379075480153021,2
side_strength,8,5,0.625,0.048178261998705924,0.1246971873262746,0.07016290890172203,0.12022944763716664,2
side_dphi,8,4,0.5,0.04022599616742758,0.1206135628264107,0.07699448120076997,0.11789033731389759,2
tfc_lag,8,4,0.5,0.03353340575152224,0.09639093414275604,0.06112611911427411,0.08627649622891742,2
tfc_strength,8,3,0.375,0.026532315543047844,0.10260800092942972,0.06598933741860709,0.08401354824734478,2
side_phase,8,2,0.25,0.02781167778181002,0.11497927243097354,0.05661789992139056,0.08595226602371868,2
side_tfc_phase,8,8,1.0,0.06645559818543154,0.15520223681463055,0.09422522558452588,0.14794548404467267,3
