condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6j_039,0,P10,56.0,fes=Surprise|side=B_side|phase=q1,O4_B_C_boundary,state_mapping,-0.11518713538842819,-0.10078874346487467,0.4084941141155505,-0.057593567694214094,0.46252749084440986,1.1688710872468095
b6j_039,0,P10,64.0,fes=Surprise|side=A_side|phase=q4,O3_A_C_boundary,state_mapping,,0.9492650041883188,0.598216533037954,0.9492650041883183,0.3825709791796481,0.9492650041883183
b6j_039,0,P10,101.0,fes=Surprise|side=B_side|phase=q1,O4_B_C_boundary,state_mapping,-0.3626261669635698,-0.3172978960931246,-0.018054045841556832,-0.1813130834817849,-0.38879086720265266,0.8913751401012282
b6j_039,0,P10,106.0,fes=Surprise|side=A_side|phase=q4,O3_A_C_boundary,state_mapping,1.2969297062136353,0.8871708035115685,-0.5555792053879883,0.3863543668757148,-0.18930309378242727,1.4070710696338369
b6j_039,0,P10,132.0,fes=Surprise|side=A_side|phase=q1,O3_A_C_boundary,state_mapping,0.933620407404604,0.8555924635018305,0.8974047950408152,0.7041264547493814,0.5028125297235141,1.3255518478442119
b6j_039,0,P10,137.0,fes=Surprise|side=B_side|phase=q4,O7_suppress_event,state_mapping,0.0,0.0,-0.7527053126988403,0.0,-0.952117797788227,0.0
b6j_039,0,P10,175.0,fes=Surprise|side=B_side|phase=q1,O4_B_C_boundary,state_mapping,0.5802018671417117,0.49897360574187105,0.5927528166538605,0.29010093357085587,0.019031488543374237,1.3043430182787044
b6j_039,0,P10,191.0,fes=Surprise|side=A_side|phase=q4,O3_A_C_boundary,state_mapping,,1.5159903798231364,0.4609971811439499,1.5159903798231351,0.6084540090776236,1.5159903798231351
b6j_039,0,P10,228.0,fes=Surprise|side=B_side|phase=q1,O4_B_C_boundary,state_mapping,-0.7892451869207108,-0.6708584088826032,-0.45616643186535827,-0.3946225934603554,-0.16751231001157105,0.9999489834961277
b6j_039,0,P10,252.0,fes=Surprise|side=B_side|phase=q4,O7_suppress_event,state_mapping,0.0,0.8255078036170677,-0.01709863891612858,0.4799463974517835,-0.23097405257641782,0.959892794903567
b6j_039,0,P10,268.0,fes=CoCreation|side=A_side|phase=q1,O3_A_C_boundary,state_mapping,0.04646979403371336,-0.08531615372737165,-0.5718565339710782,-0.25304372360511657,-0.3134465315762589,0.6428243465332251
b6j_039,0,P10,289.0,fes=Activation|side=A_side|phase=q4,O1_lag0_AB,state_mapping,1.558848973064793,1.3764922137253945,0.8975944469277068,0.8294219357072029,0.5316239182893362,1.6936775092298493
b6j_039,0,P10,299.0,fes=Activation|side=B_side|phase=q1,O4_B_C_boundary,state_mapping,-1.4377060972555649,-1.2723698960711727,-0.7977789022161158,-0.7188530486277824,-0.8144900914535786,0.71394501742705
b6j_039,0,P10,310.0,fes=Surprise|side=A_side|phase=q4,O3_A_C_boundary,state_mapping,-0.37598287900004407,-0.17907790029528725,0.2948857051308636,-0.017973826809576987,0.3464837804014212,1.1142288673242566
