state_label,n_train_events,selected_operator,selected_train_reward,global_best_operator,global_best_train_reward,train_mean_O1_lag0_AB,train_mean_O2_lag5_AB,train_mean_O3_A_C_boundary,train_mean_O4_B_C_boundary,train_mean_O5_full_TFC,train_mean_O7_suppress_event,fold,condition_id
fes=Activation|side=B_side|tfc=low,16,O4_B_C_boundary,0.12798570598714218,O4_B_C_boundary,0.12798570598714218,-0.008395161703013396,0.11761304710644932,-0.7567937885490454,0.12798570598714218,-0.3154771257700482,0.0,0,b6j_055
fes=Activation|side=A_side|tfc=high,12,O3_A_C_boundary,0.49426962744949615,O4_B_C_boundary,-0.18344617858157064,0.4129830423727967,0.13440872700240158,0.49426962744949615,-0.18344617858157064,0.3825396285535014,0.0,0,b6j_055
fes=Surprise|side=B_side|tfc=high,21,O1_lag0_AB,0.42804804432607374,O4_B_C_boundary,-0.09972219591498174,0.42804804432607374,0.0017856231848145721,-0.12002625945606166,-0.09972219591498174,0.1136824116600792,0.0,0,b6j_055
fes=Surprise|side=B_side|tfc=low,30,O4_B_C_boundary,0.19470892070843904,O4_B_C_boundary,0.19470892070843904,-0.5790010471383518,-0.3102222679751082,-0.5071121887097224,0.19470892070843904,-0.5126503293763283,0.0,0,b6j_055
fes=Surprise|side=B_side|tfc=mid,30,O4_B_C_boundary,0.04463091285705467,O4_B_C_boundary,0.04463091285705467,-0.47012905536874705,-0.029760386413575243,-0.2593209485237988,0.04463091285705467,-0.14120907276234196,0.0,0,b6j_055
fes=CoCreation|side=B_side|tfc=low,13,O5_full_TFC,0.1738321104110639,O4_B_C_boundary,0.16703775473706511,-0.5527891090599555,-0.1313119818986673,0.15175799869751133,0.16703775473706511,0.1738321104110639,0.0,0,b6j_055
fes=CoCreation|side=B_side|tfc=mid,12,O1_lag0_AB,0.23565366183897093,O4_B_C_boundary,0.15707336643876546,0.23565366183897093,0.09285240561035474,-0.23004468286110977,0.15707336643876546,0.22078676092439728,0.0,0,b6j_055
fes=SelfGrowth|side=B_side|tfc=mid,20,O1_lag0_AB,0.016613583159647404,O4_B_C_boundary,-0.2512033170453519,0.016613583159647404,-0.21463190681470454,-0.39138997648715756,-0.2512033170453519,-0.49623890704023654,0.0,0,b6j_055
fes=SelfGrowth|side=A_side|tfc=low,15,O7_suppress_event,0.0,O4_B_C_boundary,-0.265214824073356,-0.3075280286998572,-0.13427886349805146,-0.10983769498877693,-0.265214824073356,-0.10153829646790481,0.0,0,b6j_055
fes=SelfGrowth|side=A_side|tfc=mid,9,O3_A_C_boundary,0.28304329093261743,O4_B_C_boundary,-0.2858347433712845,-0.44106510374194074,-0.11824793534993895,0.28304329093261743,-0.2858347433712845,-0.006296948618164729,0.0,0,b6j_055
fes=SelfGrowth|side=B_side|tfc=low,18,O2_lag5_AB,0.2474663660837055,O4_B_C_boundary,-0.03748152818194892,-0.2193658352118657,0.2474663660837055,-0.2389875121733828,-0.03748152818194892,-0.05375556871830264,0.0,0,b6j_055
fes=SelfGrowth|side=B_side|tfc=high,13,O1_lag0_AB,0.5772608354816946,O4_B_C_boundary,0.08425725644153524,0.5772608354816946,0.3049294977144786,-0.13096032864046483,0.08425725644153524,-0.027246412290135538,0.0,0,b6j_055
fes=Activation|side=B_side|tfc=mid,18,O1_lag0_AB,0.38529373710671755,O4_B_C_boundary,-0.1466502881102672,0.38529373710671755,0.13451694658936006,0.17109333257867176,-0.1466502881102672,0.048801351790775806,0.0,0,b6j_055
fes=Activation|side=B_side|tfc=high,14,O1_lag0_AB,0.5261809620775881,O4_B_C_boundary,-0.1955337174803563,0.5261809620775881,-0.03673281980189854,-0.11194995835394572,-0.1955337174803563,0.15028342550316115,0.0,0,b6j_055
fes=CoCreation|side=A_side|tfc=mid,8,O4_B_C_boundary,0.8692362531626745,O4_B_C_boundary,0.8692362531626745,-0.7714711754453312,-0.5383653902215759,0.5703111085955725,0.8692362531626745,0.2771641290214024,0.0,0,b6j_055
fes=Surprise|side=A_side|tfc=low,15,O3_A_C_boundary,0.32138899510029695,O4_B_C_boundary,-0.26844181409610873,-0.49133788493425457,0.024760641496094613,0.32138899510029695,-0.26844181409610873,-0.13695863244508086,0.0,0,b6j_055
fes=Surprise|side=A_side|tfc=high,11,O3_A_C_boundary,0.6745161012772327,O4_B_C_boundary,0.48587166161785483,0.3274514746553337,-0.19674320909047188,0.6745161012772327,0.48587166161785483,0.3194270299032603,0.0,0,b6j_055
fes=CoCreation|side=B_side|tfc=high,13,O3_A_C_boundary,0.8181500101087101,O4_B_C_boundary,-0.019908887598000007,0.1976277300422279,0.24498750095655134,0.8181500101087101,-0.019908887598000007,0.7650792571070026,0.0,0,b6j_055
fes=Challenge|side=A_side|tfc=low,8,O3_A_C_boundary,0.6389596679635581,O4_B_C_boundary,0.30289950416957,-0.6839847534876133,0.6151471871686001,0.6389596679635581,0.30289950416957,0.20897998226533862,0.0,0,b6j_055
fes=Activation|side=A_side|tfc=mid,12,O7_suppress_event,0.0,O4_B_C_boundary,-0.4944040420169978,-0.16083362420509778,-0.3404588205713006,-0.5656171900063085,-0.4944040420169978,-0.8152580664080022,0.0,0,b6j_055
fes=CoCreation|side=A_side|tfc=high,9,O5_full_TFC,0.9634331385791884,O4_B_C_boundary,-0.2047771295794277,0.8094703284168654,0.8329932157159707,0.9203433233949715,-0.2047771295794277,0.9634331385791884,0.0,0,b6j_055
fes=Surprise|side=A_side|tfc=mid,8,O3_A_C_boundary,0.5449639482135471,O4_B_C_boundary,0.2613041497237487,0.3923633469618867,-0.0473190143975846,0.5449639482135471,0.2613041497237487,-0.02922177718117036,0.0,0,b6j_055
