state_representation,n_conditions,n_success,success_rate,mean_effect_vs_balanced,mean_effect_vs_frequency,mean_effect_vs_performance,mean_effect_vs_within
side_tfc_phase,8,8,1.0,0.06645559818543154,0.15520223681463055,0.09422522558452588,0.14794548404467267
tfc_only,8,5,0.625,0.04423027495233228,0.17561938729819004,0.11197161529765899,0.17705923099268617
fes_tfc,8,3,0.375,0.03185174819970137,0.10498438789530273,0.05930335473337668,0.10132369814862778
fes_side_tfc,8,3,0.375,0.019570690738993052,0.0764134711153438,0.04189995327989246,0.06865994029856731
fes_tfc_phase,8,2,0.25,0.027345038388589468,0.07508091019673598,0.030453520567772768,0.07536462209573902
fes_side_tfc_phase,8,0,0.0,0.014923569349167689,0.06394206536956756,0.013863046238841829,0.06548318789741635
fes_side_phase,8,0,0.0,0.008144733884192677,0.0020208977790744194,0.004380365219185947,-0.009699356102584976
fes_phase,8,0,0.0,0.00796840059005406,0.015809855314153045,0.005300515352684862,-0.005635238885115299
phase_only,8,0,0.0,0.0075162693922720255,0.016307725608792262,0.004087523835269478,-0.08501481746492323
fes_only,8,0,0.0,0.006619098039823915,0.03727286695691808,0.010001352848080871,-0.01129711982090159
side_only,8,0,0.0,0.006262165994408972,0.10869446313421381,0.04293803117262817,0.053347072260832094
fes_side,8,0,0.0,-0.013562055132716922,-0.005164373681918525,-0.006042719011882956,-0.003382727676684034
coarse,8,0,0.0,,,,
