state_variant,endpoint,success,mean_true_reward,n_events,state_mapping_rate,effect_vs_balanced,effect_vs_frequency,effect_vs_performance,effect_vs_within,effect_vs_oracle
side_tfc_phase,gmr72_bridge_composite,True,0.07584517939531772,502,0.9860557768924303,0.03676331197104889,0.0701201589853299,0.04448285788905381,0.06926754292596997,-0.46787791465253736
tfc_phase_fes_string,gmr72_bridge_composite,True,0.038020401311665654,502,0.852589641434263,0.023338204029932037,0.03052910630483484,0.029694423791449154,0.0363178743284523,-0.5029717242240878
side_tfc_phase,gmr72_policy_readiness,False,0.028198674983294703,502,0.9860557768924303,0.016142290767006257,0.03403913801845444,0.015711177656090154,0.026403692014629335,-0.37909863363342505
fes_string_only,gmr72_bridge_composite,False,0.018400157569748526,502,1.0,0.014824062287138317,0.021357478054698016,0.0030796010282968856,0.01515271949691988,-0.5198571142223379
side_tfc_phase_fes_string,gmr72_bridge_composite,False,0.056103024493011196,502,0.43824701195219123,0.013902000844770947,0.03757909829909302,0.04741498742105156,0.02904837623757706,-0.48995005786558565
side_tfc_phase,gmr72_composite,False,0.015120023773652732,502,0.9860557768924303,0.010920634385777133,0.02048468081929068,0.0126718000681714,0.014139710191555457,-0.2923676586830952
fes_string_only,gmr72_composite,False,-0.009259390331797592,502,1.0,0.002046261076104767,0.0034765135179256946,-0.0010163704181531228,-0.00837573631982561,-0.3154816913792586
fes_string_only,gmr72_policy_readiness,False,-0.000985661951245497,502,1.0,0.0014266507522736587,0.01273727171973148,0.002767218237578597,0.00012029413849101172,-0.4074414472030546
tfc_phase_fes_string,gmr72_policy_readiness,False,-0.008587561815498473,502,0.852589641434263,-0.003542882083123989,-0.0014018003809366665,-0.006535295736316074,-0.009074822024417234,-0.4076232617381671
tfc_phase_fes_string,gmr72_composite,False,0.0027394658212666766,502,0.852589641434263,-0.004820498999541802,0.008109891007467025,-0.0023850991316568836,0.0016662865333383209,-0.2991348512356624
side_tfc_phase_fes_string,gmr72_composite,False,-0.03202269334430996,502,0.43824701195219123,-0.005979711255930005,-0.012760609570864717,-0.014530569633461759,-0.01932281506356221,-0.33824499439177097
side_tfc_phase_fes_string,gmr72_policy_readiness,False,-0.05011034120852691,502,0.43824701195219123,-0.014148961553377786,-0.02436431041015131,-0.02554601351239546,-0.03323188423286937,-0.4548934689078595
