mode,endpoint,minimum_success,strong_success,very_strong_success,mean_generated,effect_vs_random,p_vs_random,effect_vs_balanced,p_vs_balanced,effect_vs_selected,p_vs_selected,effect_vs_fixed,p_vs_fixed,effect_vs_oracle,state_generation_rate
combined_c_fes_gmr72,z_reward,True,False,False,0.030651524293047377,0.024162758318574857,0.015596880623875225,0.02494927870245991,0.01199760047990402,0.014057189281110594,0.35432913417316536,0.13493578986014299,0.0005998800239952009,-1.1932895407830684,0.39641434262948205
combined_c_fes_gmr72,rank_reward,True,False,False,0.03941132336781335,0.034881011722732815,0.0013997200559888023,0.03570274642878626,0.0009998000399920016,-0.002233663732578272,0.5212957408518296,0.14829837344683078,0.0001999600079984003,-1.0723707305073904,0.39641434262948205
fes_string_conditioned,rank_reward,True,False,False,0.015108741485083389,0.01057842984000285,0.03699260147970406,0.011400164546056286,0.02559488102379524,-0.020064822457657613,0.7304539092181563,0.12605010569735775,0.0013997200559888023,-1.0966733123901202,1.0
linear_c_state,gmr72_bridge_composite,True,False,False,0.011884152725722323,0.007649243056949662,0.0001999600079984003,0.008041052726992416,0.0001999600079984003,-0.03159548689510039,0.9766046790641871,-0.015654281288335386,0.8550289942011597,-0.5217598850903931,0.9860557768924303
gmr72_phase_conditioned,gmr72_bridge_composite,True,False,False,0.010726744197889394,0.006491834529116738,0.002599480103979204,0.006883644199159493,0.001799640071985603,-0.032693338170484594,0.9808038392321535,-0.016852430778083856,0.874625074985003,-0.5229172936182259,0.9860557768924303
linear_c_state,z_reward,True,False,False,0.05520298184618016,0.04871421587170764,0.0001999600079984003,0.049500736255592696,0.0001999600079984003,-0.04168879194491708,0.8980203959208158,0.16359481256984942,0.0003999200159968006,-1.1687380832299357,0.9860557768924303
gmr72_phase_conditioned,z_reward,True,False,False,0.054753961913641826,0.04826519593916931,0.0001999600079984003,0.049051716323054356,0.0001999600079984003,-0.04366779961601294,0.9040191961607679,0.16142990957308667,0.0003999200159968006,-1.1691871031624739,0.9860557768924303
linear_c_state,rank_reward,True,False,False,0.06539914712994307,0.060868835484862535,0.0001999600079984003,0.06169057019091598,0.0001999600079984003,-0.09535902986754466,0.9982003599280144,0.17754384279526322,0.0001999600079984003,-1.0463829067452606,0.9860557768924303
gmr72_phase_conditioned,rank_reward,True,False,False,0.06532135349624969,0.06079104185116916,0.0001999600079984003,0.06161277655722258,0.0001999600079984003,-0.09634425960697668,0.9984003199360127,0.17635799735147847,0.0001999600079984003,-1.046460700378954,0.9860557768924303
fes_string_conditioned,gmr72_bridge_composite,False,False,False,0.00577009533364736,0.0015351856648747008,0.09818036392721456,0.0019269953349174548,0.05538892221555689,-0.03137265241544715,0.9714057188562287,-0.021750278847936195,0.9216156768646271,-0.527873942482468,1.0
fes_string_conditioned,z_reward,False,False,False,0.010747672870304722,0.004258906895832209,0.23295340931813638,0.005045427279717258,0.17776444711057787,-0.03572901525391194,0.877624475104979,0.11962420581087742,0.0023995200959808036,-1.213193392205811,1.0
combined_c_fes_gmr72,gmr72_bridge_composite,False,False,False,0.004476758354240942,0.0002418486854682938,0.4823035392921416,0.0006336583555110468,0.4331133773245351,-0.05163963000381131,0.9978004399120176,-0.02294003295822228,0.9280143971205759,-0.5291672794618745,0.39641434262948205
