mode,endpoint,selection_rule,minimum_success,strong_success,very_strong_success,mean_true_generated_pool,mean_existing_selected,effect_vs_existing,p_vs_existing,effect_vs_random_generated,p_vs_random_generated,effect_vs_balanced_generated,p_vs_balanced_generated,effect_vs_performance_generated,p_vs_performance_generated,effect_vs_shuffled_generated,p_vs_shuffled_generated,effect_vs_oracle,generated_selection_rate
combined_c_fes_gmr72,z_reward,stability_adjusted,False,False,False,0.008384409556582557,0.007611352072511018,0.002018731596655487,0.1975604879024195,0.0032962710056529836,0.03119376124775045,-0.0012311201018786473,0.6462707458508299,0.007068908525797433,0.21935612877424515,0.0037470540715953105,0.02519496100779844,-1.2297969137002687,0.0199203187250996
fes_string_conditioned,gmr72_bridge_composite,stability_adjusted,False,False,False,-0.019182928667875614,-0.021154862624465545,0.0019719339565899296,0.15196960607878424,0.0015856356724607047,0.038592281543691265,-9.733307273435584e-06,0.5436912617476505,0.000263257061354982,0.3021395720855829,2.2744621846586517e-05,0.4631073785242951,-0.5564640739604709,0.017928286852589643
combined_c_fes_gmr72,rank_reward,stability_adjusted,False,False,False,0.015692634324161698,0.015333946263368701,0.0003586880607930005,0.45710857828434315,0.0002286001980602983,0.47890421915616876,0.0003586880607930005,0.4667066586682663,0.008342341521513865,0.19696060787842432,0.0003586880607930005,0.46890621875624877,-1.11008990047456,0.021912350597609563
linear_c_state,z_reward,mean,False,False,False,0.1696525118267676,0.1696525118267676,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0845400298455765,0.0
linear_c_state,rank_reward,mean,False,False,False,0.24187446155474063,0.24187446155474063,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.9013112185947294,0.0
linear_c_state,rank_reward,stability_adjusted,False,False,False,0.1865854415103426,0.1865854415103426,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.9387580537869981,0.0
linear_c_state,gmr72_bridge_composite,mean,False,False,False,0.06338906345259576,0.06338906345259576,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.47182480117580283,0.0
linear_c_state,gmr72_bridge_composite,stability_adjusted,False,False,False,0.0397506316727902,0.0397506316727902,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.4965298278145335,0.0
gmr72_phase_conditioned,z_reward,mean,False,False,False,0.1696525118267676,0.1696525118267676,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0845400298455765,0.0
gmr72_phase_conditioned,rank_reward,mean,False,False,False,0.24187446155474063,0.24187446155474063,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.9013112185947294,0.0
gmr72_phase_conditioned,rank_reward,stability_adjusted,False,False,False,0.1865854415103426,0.1865854415103426,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.9387580537869981,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,mean,False,False,False,0.06338906345259576,0.06338906345259576,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.47182480117580283,0.0
gmr72_phase_conditioned,gmr72_bridge_composite,stability_adjusted,False,False,False,0.0397506316727902,0.0397506316727902,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.4965298278145335,0.0
fes_string_conditioned,z_reward,mean,False,False,False,0.02998243779351871,0.02998243779351871,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.2098212996065207,0.0
fes_string_conditioned,z_reward,stability_adjusted,False,False,False,0.028380384890814396,0.028380384890814396,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.2123399404562514,0.0
fes_string_conditioned,rank_reward,mean,False,False,False,0.03239547861776131,0.03239547861776131,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.1141026885121657,0.0
fes_string_conditioned,rank_reward,stability_adjusted,False,False,False,0.049012751976414096,0.049012751976414096,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0799632712618925,0.0
fes_string_conditioned,gmr72_bridge_composite,mean,False,False,False,0.03442923938004626,0.03442923938004626,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.49846603774880593,0.0
combined_c_fes_gmr72,z_reward,mean,False,False,False,-0.043998048141814135,-0.043998048141814135,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.2929765343992965,0.0
combined_c_fes_gmr72,rank_reward,mean,False,False,False,-0.041658991195037375,-0.041658991195037375,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.1906195617057111,0.0
combined_c_fes_gmr72,gmr72_bridge_composite,mean,False,False,False,0.017793780193153343,0.017793780193153343,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.5241729284052659,0.0
combined_c_fes_gmr72,gmr72_bridge_composite,stability_adjusted,False,False,False,-0.005038742249633263,-0.005038742249633263,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.5437208041292741,0.0
