control_kind,state_label,fes_string,phase_bin,n_train_events,selected_operator,selected_train_reward,generated_train_reward,w_O1_lag0_AB,w_O2_lag5_AB,w_O3_A_C_boundary,w_O4_B_C_boundary,w_O5_full_TFC,w_O6_phase_only,w_O7_suppress_event,fold,mode,endpoint,novelty_cosine_distance,novelty_euclidean_distance,nearest_primitive_operator,distance_to_best_selected_cosine,distance_to_best_selected_euclidean,operator_entropy,selection_collapse_rate,non_collapse,within_state_coherence,state_specificity,z_novelty_cosine_distance,z_within_state_coherence,z_state_specificity,z_non_collapse,z_distance_to_best_selected_cosine,subject_position_score
true_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.19157761802656662,0.48191125805587964,0.011948819560179732,0.010667922260587173,0.009094919678908867,0.20162237503017713,0.09317708738770064,0,combined_c_fes_gmr72,z_reward,0.14624133041035836,0.5956431619711959,O2_lag5_AB,0.14624133041035836,0.5956431619711959,0.6970792307890075,0.0,1.0,0.9638662656228577,0.3920329922077881,-0.8574789128696695,0.9164685869936052,1.2771483149669804,0.0,-1.90587725053501,-0.5697392614440937
random_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.11303051626607259,0.14804799632187446,0.1457631835680739,0.12525417144327775,0.11507772058753588,0.3470148634356862,0.005811548377479208,0,combined_c_fes_gmr72,z_reward,0.23418029655668482,0.7150495538172309,O6_phase_only,0.673276033435358,0.9535353158860159,0.8819220847416788,0.0,1.0,0.5278423924368832,0.18633231576220927,-0.3632598408439366,-1.29793993956993,-0.11340485576227972,0.0,0.09297592898535517,-1.6816287071907914
balanced_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,combined_c_fes_gmr72,z_reward,0.6220355269907728,0.9258200997725514,O1_lag0_AB,0.6220355269907728,0.9258200997725515,1.0000000000000004,0.0,1.0,0.9999999999999998,7.343435057440257e-17,1.8164957381164284,1.0999788359087996,-1.3730263454418032,0.0,-0.10136089293381657,1.4420873356496084
frequency_matched_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.25,0.15,0.0,0.2,0.1,0.3,0.0,0,combined_c_fes_gmr72,z_reward,0.3675444679663241,0.7905694150420949,O6_phase_only,0.683772233983162,0.9617692030835672,0.7937054657157029,0.0,1.0,0.8774157221966684,0.046486269352650426,0.38624996037296194,0.4774173508991255,-1.0587754136476908,0.0,0.1327842446758424,-0.06232385769976098
performance_matched_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.17857142857142858,0.25,0.03571428571428571,0.07142857142857142,0.21428571428571425,0.14285714285714285,0.10714285714285712,0,combined_c_fes_gmr72,z_reward,0.4083920216900383,0.823754471047914,O2_lag5_AB,0.4083920216900383,0.823754471047914,0.9297026714680033,0.0,1.0,0.7557142857142857,0.053022240998121424,0.6158141795185904,-0.14066050037181196,-1.014591717937722,0.0,-0.9116339117752202,-1.4510719505661638
shuffled_c_state_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.005428442243679586,0.015527822884625219,0.08743373353502772,0.7594767408872399,0.06222650904638403,0.03031392383756887,0.03959282756547461,0,combined_c_fes_gmr72,z_reward,0.012148239893217672,0.26856161602877365,O4_B_C_boundary,0.97980295334748,1.2490088781146498,0.47362923505623,0.0,1.0,0.5961344796343993,0.23263390139520132,-1.6110852567306075,-0.9511089757467676,0.19959759918484057,0.0,1.2555223513712566,-1.1070742819212778
shuffled_fes_string_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.5467322765098361,0.15515680190401096,0.0952918030407072,0.004876017918191742,0.0285828672202948,0.08688687448297527,0.08247335892398411,0,combined_c_fes_gmr72,z_reward,0.07221807914165701,0.5037834155673261,O1_lag0_AB,0.7367053640518864,1.0183067705816022,0.7137399606558383,0.0,1.0,0.7442240504501152,0.3223231421458353,-1.27349133777664,-0.19901527520394055,0.8059041036706922,0.0,0.3335405795671634,-0.3330619297427248
shuffled_gmr72_phase_generated,side=B_side|tfc=low|phase=q4|fes=Activation,Activation,q4,12,O2_lag5_AB,0.42678559916807424,0.2677886564534544,0.009094919678908868,0.19157761802656667,0.48191125805587975,0.011948819560179735,0.010667922260587175,0.2016223750301772,0.09317708738770066,0,combined_c_fes_gmr72,z_reward,0.14624133041035836,0.5956431619711959,O3_A_C_boundary,0.6605992295150979,0.9671908066465844,0.6970792307890075,0.0,1.0,0.9638662656228577,0.3920329922077881,-0.8574789128696695,0.9164685869936052,1.2771483149669804,0.0,0.044897368547625695,1.381035357638542
true_generated,side=A_side|tfc=high|phase=q4|fes=Activation,Activation,q4,8,O4_B_C_boundary,0.3245003410075621,0.009033473176742132,0.22347760922497406,0.0864465824636844,0.2541279101045941,0.06532898377902997,0.027268405819310837,0.16617527515762595,0.17717523345078073,0,combined_c_fes_gmr72,z_reward,0.4107755701617207,0.8232600776359071,O3_A_C_boundary,0.848527329393808,1.0273047299025777,0.912664401864472,0.0,1.0,0.8590718900904728,0.3920329922077881,0.6292097783688557,0.38425562117777196,1.2771483149669804,0.0,0.75764109833948,3.048254812853088
random_generated,side=A_side|tfc=high|phase=q4|fes=Activation,Activation,q4,8,O4_B_C_boundary,0.3245003410075621,0.009033473176742132,0.16805076523030138,0.4242400048962401,0.03129452096323253,0.017250024469899452,0.10481209760082745,0.21852186785864836,0.035830718980850884,0,combined_c_fes_gmr72,z_reward,0.1828211698519724,0.6488749995195565,O2_lag5_AB,0.9667726884460485,1.1113139636728162,0.7862472279301527,0.0,1.0,0.6094823678300563,0.18633231576220927,-0.6518993490435147,-0.8833198493943382,-0.11340485576227972,0.0,1.2061032404878056,-0.4425208137123271
