mode,endpoint,minimum_success,strong_success,mean_true_sps,mean_novelty,mean_distance_to_selected,mean_coherence,mean_state_specificity,mean_non_collapse,collapse_rate,n_subject_positions,effect_vs_random,p_vs_random,effect_vs_balanced,p_vs_balanced,effect_vs_shuffled_c,p_vs_shuffled_c,effect_vs_performance,p_vs_performance,effect_vs_fes_shuffle,p_vs_fes_shuffle,effect_vs_gmr72_shuffle,p_vs_gmr72_shuffle
fes_string_conditioned,rank_reward,False,False,1.5477496475391304,0.4526410775887353,0.4526410775887353,0.9831058748023291,0.11552346202563595,1.0,0.0,25,1.940318152270121,0.0001999600079984003,-0.16620049796317896,0.7738452309538092,0.9242024781204762,0.005398920215956809,3.181807597004274,0.0001999600079984003,0.9242024781204762,0.00639872025594881,-1.0108325039479873,1.0
combined_c_fes_gmr72,gmr72_bridge_composite,False,False,1.1132542378215589,0.29096700603882236,0.5494834779383491,0.9784651919556354,0.2969581579031343,1.0,0.0,105,2.9733574297283996,0.0001999600079984003,-0.08103397423342237,0.6694661067786443,2.755319700327358,0.0001999600079984003,1.719014884738557,0.0001999600079984003,-0.20757680572989207,0.9294141171765646,-0.6462538045242223,1.0
fes_string_conditioned,z_reward,False,False,1.0758451894829002,0.4474241338422441,0.4474241338422441,0.9795395298678945,0.10770087879856809,1.0,0.0,25,1.8383252283488651,0.0001999600079984003,-0.5135756560529738,0.968006398720256,0.6328842728993745,0.01899620075984803,2.8362841566558386,0.0001999600079984003,0.6328842728993745,0.020795840831833633,-1.2993465976020673,1.0
fes_string_conditioned,gmr72_bridge_composite,False,False,1.0549289289349462,0.5379780273018996,0.5379780273018996,0.9957739999537499,0.0431592150793799,1.0,0.0,25,0.9565320141143897,0.0001999600079984003,-0.14178019390170504,0.7816436712657469,0.08267162491643414,0.33193361327734455,2.2724594892687437,0.0001999600079984003,0.08267162491643414,0.33413317336532694,-0.5801616169176464,1.0
gmr72_phase_conditioned,gmr72_bridge_composite,False,False,0.9254935646843931,0.47663370796815563,0.5175675740986251,0.9887415102936203,0.08422240587584102,1.0,0.0,60,2.5117964575844973,0.0001999600079984003,-0.23136199760617998,0.9144171165766847,0.3534846103895179,0.03099380123975205,2.422879819181203,0.0001999600079984003,0.5945063643797235,0.00639872025594881,-0.8485682297232897,1.0
gmr72_phase_conditioned,z_reward,False,False,0.8249638009732363,0.3269976336720239,0.35101119466434866,0.9613899754724634,0.2018495489771299,1.0,0.0,60,2.408894247242761,0.0001999600079984003,-1.214491329310466,1.0,1.2096277247202785,0.0001999600079984003,2.165042634674932,0.0001999600079984003,1.370831848627083,0.0001999600079984003,-1.762183766409731,1.0
linear_c_state,gmr72_bridge_composite,False,False,0.7537259751624631,0.4911663081392275,0.4911663081392275,0.9927093585919071,0.08016465849496006,1.0,0.0,60,2.2820188075313057,0.0001999600079984003,-0.31755998010048614,0.981003799240152,0.02982956960787587,0.4485102979404119,2.295252667036873,0.0001999600079984003,0.13801031513145648,0.2471505698860228,-0.8863722437110295,1.0
linear_c_state,z_reward,False,False,0.7118566629465916,0.3276495595888261,0.3276495595888261,0.9618066348704647,0.20231236916082757,1.0,0.0,60,2.3062191433128927,0.0001999600079984003,-1.3113559250193632,1.0,1.019612718639829,0.0001999600079984003,2.059555602893058,0.0001999600079984003,1.0860503519237894,0.0007998400319936012,-1.7809333518841106,1.0
gmr72_phase_conditioned,rank_reward,False,False,0.7042319366554673,0.31996876388344186,0.3357305227034229,0.9647598924284179,0.21138310716432865,1.0,0.0,60,2.319633244500779,0.0001999600079984003,-1.1761843031993195,1.0,0.9418642100699094,0.0003999200159968006,2.0522147677637013,0.0001999600079984003,1.2807956034279222,0.0001999600079984003,-1.6263191093505316,1.0
linear_c_state,rank_reward,False,False,0.6290187263096364,0.32304303906977766,0.32304303906977766,0.9663089934175517,0.20912516526509425,1.0,0.0,60,2.284810133195303,0.0001999600079984003,-1.324022148001172,1.0,0.8052017867253259,0.0003999200159968006,1.9815987294195252,0.0001999600079984003,1.1268337899687686,0.0001999600079984003,-1.6313948659581532,1.0
combined_c_fes_gmr72,z_reward,False,False,0.5983357094982137,0.18223732912131727,0.42695229376943405,0.9454648934371294,0.3920329922077882,1.0,0.0,105,1.7422010036884659,0.0001999600079984003,-0.8437516261513947,1.0,2.2931506582588566,0.0001999600079984003,1.2007068402807977,0.0001999600079984003,0.4650298917585527,0.0033993201359728054,-1.2011779236414155,1.0
combined_c_fes_gmr72,rank_reward,False,False,0.5428374017413932,0.18980448388859938,0.3877171328931748,0.9553407199543099,0.40083536918190293,1.0,0.0,105,1.7437181822439671,0.0001999600079984003,-0.9094287785886691,1.0,2.199394242768528,0.0001999600079984003,1.151490151803582,0.0001999600079984003,0.3814267917565243,0.017996400719856028,-1.3006947824013029,1.0
