mode,endpoint,direction,minimum_success,strong_success,mean_access_readout,mean_intersection_access_effect,mean_opposite_access_effect,mean_own_access_effect,n_events,effect_vs_random,p_vs_random,effect_vs_balanced,p_vs_balanced,effect_vs_shuffled_c,p_vs_shuffled_c,effect_vs_performance,p_vs_performance,effect_vs_phase_rotated,p_vs_phase_rotated
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,True,True,0.015412429637521236,-0.2691760877559681,0.004570101661336446,0.006295997457962884,502,0.012931707614822457,0.014597080583883223,0.008173227730710086,0.0001999600079984003,0.0078587294852661,0.0005998800239952009,0.010960393582264619,0.0005998800239952009,0.006694528686902364,0.005398920215956809
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,True,True,0.014387962923567777,-0.27020055446992153,0.0026277797155189065,0.0009018839188924788,502,0.014785541629027217,0.01199760047990402,0.0066727744360010315,0.0001999600079984003,0.00795237982754778,0.0001999600079984003,0.006084006340056603,0.03939212157568486,0.007928573549765209,0.001799640071985603
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,True,True,0.013854175776232883,-0.2707343416172564,0.0032429555771991215,0.004968851373825552,502,0.011373453753534104,0.030393921215756847,0.006614973869421734,0.0007998400319936012,0.005130267575957413,0.015396920615876825,0.009402139720976265,0.0023995200959808036,0.006751209168504102,0.011397720455908818
linear_c_state,rank_reward,B_to_C_to_A,True,True,0.07697327124553013,-0.6494824221711216,0.05609202125250261,0.048569898924943906,502,0.09112007458962172,0.0001999600079984003,0.06786549669619944,0.0001999600079984003,0.0848149132884534,0.0001999600079984003,0.09835976567845334,0.0001999600079984003,0.06561654888609145,0.0001999600079984003
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,True,True,0.07398489923597949,-0.6524707941806721,0.049528774023858343,0.04229830127162177,502,0.08813170258007108,0.0001999600079984003,0.0648771246866488,0.0001999600079984003,0.07844241376808167,0.0001999600079984003,0.0953713936689027,0.0001999600079984003,0.06527307203461112,0.0001999600079984003
linear_c_state,z_reward,B_to_C_to_A,True,True,0.0734377764157419,-0.6564866992734577,0.033488665032672234,0.023984755433839287,502,0.07823475008257746,0.0001999600079984003,0.061430673557592706,0.0001999600079984003,0.07035809868692083,0.0001999600079984003,0.08901025001821386,0.0001999600079984003,0.054268308517024515,0.0001999600079984003
gmr72_phase_conditioned,z_reward,B_to_C_to_A,True,True,0.0696451046897932,-0.6602793709994064,0.025820412696435337,0.016741051049320232,502,0.07444207835662879,0.0001999600079984003,0.05763800183164404,0.0001999600079984003,0.06405225389498005,0.0001999600079984003,0.08521757829226517,0.0001999600079984003,0.054595959482010716,0.0001999600079984003
linear_c_state,rank_reward,A_to_C_to_B,True,True,0.06188802855648592,-0.6645676648601656,0.029017167680498366,0.0381081850433702,502,0.052932140871857804,0.0011997600479904018,0.049764849196313556,0.0001999600079984003,0.07549841048503916,0.0001999600079984003,0.0715243053751441,0.0001999600079984003,0.05701651760764967,0.0001999600079984003
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,True,True,0.06187058606176389,-0.6645851073548878,0.026291597132833695,0.03503454358122187,502,0.05291469837713579,0.0009998000399920016,0.04974740670159154,0.0001999600079984003,0.06988460087323575,0.0001999600079984003,0.0715068628804221,0.0001999600079984003,0.057548239433361445,0.0001999600079984003
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,True,True,0.052481810205853484,-0.6739738832107982,0.0218182067116129,0.026681393170944784,502,0.03905517400434251,0.02399520095980804,0.040358630845681136,0.0011997600479904018,0.04625733429157289,0.00599880023995201,0.062118087024511694,0.0003999200159968006,0.039142634009669205,0.008798240351929614
