mode,endpoint,operator_pool,direction,robust_success,strong_success,intersection_core_pass_count,intersection_stress_pass_count,object_pass_count,objectification_gap,pass_balanced,pass_shuffled_c,pass_phase_rotated,pass_random,pass_performance,mean_intersection_effect,mean_true_intersection,mean_object_effect,mean_true_object
linear_c_state,gmr72_bridge_composite,no_phase_only,A_to_C_to_B,True,True,3,2,2,3,True,True,True,True,True,0.009959071932315298,-0.26352713792217003,1.1445353105387102,0.9537794254489267
linear_c_state,gmr72_bridge_composite,no_suppress,A_to_C_to_B,True,True,3,2,2,3,True,True,True,True,True,0.009887294949597461,-0.2643590252865723,1.206702599580374,1.005585499650313
linear_c_state,gmr72_bridge_composite,full,A_to_C_to_B,True,True,3,2,2,3,True,True,True,True,True,0.009884182070612884,-0.2690900415896471,1.0695214491992298,0.8912678743326922
linear_c_state,gmr72_bridge_composite,core_5,A_to_C_to_B,True,True,3,2,2,3,True,True,True,True,True,0.009806593087262954,-0.25550083656548234,1.2395967409893722,1.032997284157811
linear_c_state,gmr72_bridge_composite,full,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.010276160395604656,-0.2687170541485487,1.0695214491992298,0.8912678743326922
linear_c_state,gmr72_bridge_composite,no_suppress,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.010068139175830737,-0.264075768583187,1.206702599580374,1.005585499650313
linear_c_state,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.00955015855744174,-0.2649102613640166,1.1445353105387102,0.9537794254489267
linear_c_state,gmr72_bridge_composite,core_5,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.009250723347437295,-0.25670635618404913,1.2395967409893722,1.032997284157811
gmr72_phase_conditioned,gmr72_bridge_composite,full,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.00910382105152369,-0.27005429408742393,1.1492347477697429,0.957695623141454
gmr72_phase_conditioned,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.008851850770037731,-0.2656263819418666,1.2152250622822955,1.012687551901915
gmr72_phase_conditioned,gmr72_bridge_composite,no_suppress,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.00884606641400999,-0.26546168289507605,1.27974497319584,1.0664541443298663
gmr72_phase_conditioned,gmr72_bridge_composite,core_5,B_to_C_to_A,True,True,3,1,2,2,True,True,True,False,True,0.008525047694357907,-0.2574508671325531,1.2870350310305063,1.072529192525423
linear_c_state,rank_reward,full,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06833318362644088,-0.6570881690186011,0.6612670472717079,0.5510558727264255
linear_c_state,rank_reward,no_suppress,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06771314108478929,-0.6521568670518206,0.7558487034985838,0.6298739195821528
linear_c_state,z_reward,full,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06694615348268576,-0.6602210510932952,0.5703234462910152,0.47526953857584414
linear_c_state,z_reward,no_suppress,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06640606307681717,-0.6598827587159943,0.6725301910389826,0.5604418258658176
gmr72_phase_conditioned,rank_reward,full,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06577971767437821,-0.6597156539112999,0.6298281306033368,0.5248567755027801
gmr72_phase_conditioned,rank_reward,no_suppress,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06504194065809554,-0.6548790984093678,0.7254857614060944,0.6045714678384125
gmr72_phase_conditioned,z_reward,full,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06435362561954922,-0.6633959756237472,0.6005563862961998,0.5004636552468312
linear_c_state,rank_reward,no_phase_only,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06380514773333232,-0.6483856722460374,0.938573784708171,0.7821448205901425
gmr72_phase_conditioned,z_reward,no_suppress,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06366304736061489,-0.6631896762138235,0.7081148914348173,0.590095742862347
gmr72_phase_conditioned,rank_reward,no_phase_only,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06316062933234132,-0.6489040671458072,0.8549182826989158,0.7124319022490951
linear_c_state,rank_reward,core_5,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.0626207655844337,-0.6397439621542383,1.0432755151891697,0.8693962626576417
linear_c_state,z_reward,no_phase_only,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.0624620124843128,-0.6452676334315228,0.7527659630027616,0.6273049691689675
gmr72_phase_conditioned,z_reward,no_phase_only,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06211282408029921,-0.6458531041673347,0.7265430027670726,0.6054525023058958
gmr72_phase_conditioned,rank_reward,core_5,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.0619800801633858,-0.6402451081607086,0.9643538064804826,0.8036281720670694
linear_c_state,z_reward,core_5,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06129051641947923,-0.6430818625147938,0.858115879037691,0.7150965658647429
gmr72_phase_conditioned,z_reward,core_5,B_to_C_to_A,False,False,3,2,3,2,True,True,True,True,True,0.06093702823312819,-0.6436617639513554,0.8480354904259062,0.7066962420215883
linear_c_state,rank_reward,no_suppress,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05681396568828514,-0.6625671702565867,0.7558487034985838,0.6298739195821528
linear_c_state,rank_reward,full,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05628668779703864,-0.6686005937902414,0.6612670472717079,0.5510558727264255
gmr72_phase_conditioned,rank_reward,core_5,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.056046333544490456,-0.6349409479471203,0.9643538064804826,0.8036281720670694
gmr72_phase_conditioned,rank_reward,no_phase_only,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.055827318650387855,-0.6451955309494392,0.8549182826989158,0.7124319022490951
linear_c_state,rank_reward,core_5,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05575475141497127,-0.6371583532902109,1.0432755151891697,0.8693962626576417
gmr72_phase_conditioned,rank_reward,no_suppress,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05569595198203668,-0.6618674003169291,0.7254857614060944,0.6045714678384125
linear_c_state,rank_reward,no_phase_only,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05550625533545987,-0.647444554530824,0.938573784708171,0.7821448205901425
gmr72_phase_conditioned,rank_reward,full,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.05525600716411285,-0.6678307077125156,0.6298281306033368,0.5248567755027801
gmr72_phase_conditioned,z_reward,no_phase_only,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.04928173252368455,-0.645162939468008,0.7265430027670726,0.6054525023058958
gmr72_phase_conditioned,z_reward,core_5,A_to_C_to_B,False,False,3,2,3,2,True,True,True,True,True,0.04900356486309896,-0.641631278726884,0.8480354904259062,0.7066962420215883
