bridge_variant,conditions,robust_accesses,strong_accesses,mean_core_pass,mean_stress_pass,mean_true_intersection,mean_control_effect,phase_structure,cyclic_order,fixed_angular_step,fes_five_string_order,forward_orientation,ablation
permuted_fes_order,8,8,8,3.0,1.875,-0.2642600342546783,0.008642290540997834,True,True,True,False,True,remove_fes_five_string_order
true72_forward,8,8,8,3.0,1.625,-0.26437507747399036,0.008537403053581333,True,True,True,True,True,none
variable_step_structured,8,8,8,3.0,1.5,-0.26461527345654334,0.008404797253956297,True,True,False,True,False,remove_fixed_step
half36_fixed,8,8,8,3.0,1.5,-0.264817854317667,0.008392296197278352,True,True,True,True,True,alter_step_to_36
quadrature90_fixed,8,8,8,3.0,1.75,-0.26517781961598325,0.008523747700250203,True,True,True,True,True,alter_step_to_90
linear_noncyclic,8,8,8,3.0,1.25,-0.2653737977805045,0.008302156049719067,True,False,True,True,True,remove_cyclic_wrap
reversed72_no_forward,8,8,8,3.0,2.0,-0.2667391445705633,0.008870419221595345,True,True,True,True,False,remove_forward_orientation
skip144_fixed,8,8,8,3.0,1.75,-0.26700964463565346,0.008659150720644753,True,True,True,True,True,alter_step_to_144
no_bridge,8,8,8,3.0,2.0,-0.6636221643031903,0.050409012622382114,False,False,False,False,False,remove_bridge
random_phase,8,0,0,0.0,1.125,-0.4579201774173933,0.006783190999872333,False,False,False,False,False,remove_structured_phase
