bridge_variant,operator_pool,direction,comparison,mean_true,mean_control,effect,p_greater,n_pairs
true72_forward,full,A_to_C_to_B,true_vs_balanced,-0.27012490011590085,-0.27687332890592253,0.006748428790021737,0.0003999200159968006,502
true72_forward,full,A_to_C_to_B,true_vs_shuffled_c,-0.27012490011590085,-0.2778807606246479,0.007755860508747044,0.0005998800239952009,502
true72_forward,full,A_to_C_to_B,true_vs_phase_rotated,-0.27012490011590085,-0.27809287128541976,0.007967971169518886,0.0013997200559888023,502
true72_forward,full,A_to_C_to_B,true_vs_random,-0.27012490011590085,-0.2872448719078572,0.017119971791956366,0.0009998000399920016,502
true72_forward,full,A_to_C_to_B,true_vs_performance_matched,-0.27012490011590085,-0.27622435913351745,0.006099459017616626,0.041591681663667265,502
true72_forward,full,B_to_C_to_A,true_vs_balanced,-0.2701683875755294,-0.2773493154866781,0.007180927911148755,0.0001999600079984003,502
true72_forward,full,B_to_C_to_A,true_vs_shuffled_c,-0.2701683875755294,-0.2791890364805497,0.009020648905020297,0.0003999200159968006,502
true72_forward,full,B_to_C_to_A,true_vs_phase_rotated,-0.2701683875755294,-0.27587034889743495,0.005701961321905481,0.01879624075184963,502
true72_forward,full,B_to_C_to_A,true_vs_random,-0.2701683875755294,-0.2796173712965125,0.00944898372098307,0.04839032193561288,502
true72_forward,full,B_to_C_to_A,true_vs_performance_matched,-0.2701683875755294,-0.2835315496272053,0.013363162051675856,0.0003999200159968006,502
true72_forward,core_5,A_to_C_to_B,true_vs_balanced,-0.2559570212478117,-0.2625932457024677,0.006636224454656013,0.0001999600079984003,502
true72_forward,core_5,A_to_C_to_B,true_vs_shuffled_c,-0.2559570212478117,-0.2628337981075783,0.0068767768597665525,0.0001999600079984003,502
true72_forward,core_5,A_to_C_to_B,true_vs_phase_rotated,-0.2559570212478117,-0.2651331533782609,0.009176132130449155,0.0007998400319936012,502
true72_forward,core_5,A_to_C_to_B,true_vs_random,-0.2559570212478117,-0.26883354168412416,0.012876520436312438,0.01219756048790242,502
true72_forward,core_5,A_to_C_to_B,true_vs_performance_matched,-0.2559570212478117,-0.2612315434828165,0.0052745222350048405,0.07338532293541292,502
true72_forward,core_5,B_to_C_to_A,true_vs_balanced,-0.2577434894658839,-0.2633174002097872,0.005573910743903341,0.0005998800239952009,502
true72_forward,core_5,B_to_C_to_A,true_vs_shuffled_c,-0.2577434894658839,-0.26374693115065156,0.006003441684767619,0.004799040191961607,502
true72_forward,core_5,B_to_C_to_A,true_vs_phase_rotated,-0.2577434894658839,-0.2638275747702501,0.006084085304366204,0.023595280943811237,502
true72_forward,core_5,B_to_C_to_A,true_vs_random,-0.2577434894658839,-0.2674253324030217,0.00968184293713777,0.038592281543691265,502
true72_forward,core_5,B_to_C_to_A,true_vs_performance_matched,-0.2577434894658839,-0.27057301806571565,0.012829528599831736,0.0001999600079984003,502
true72_forward,no_phase_only,A_to_C_to_B,true_vs_balanced,-0.2640500860639556,-0.27062010108354584,0.006570015019590246,0.0001999600079984003,502
true72_forward,no_phase_only,A_to_C_to_B,true_vs_shuffled_c,-0.2640500860639556,-0.27066000128842116,0.006609915224465526,0.0007998400319936012,502
true72_forward,no_phase_only,A_to_C_to_B,true_vs_phase_rotated,-0.2640500860639556,-0.2730385154915877,0.008988429427632097,0.0001999600079984003,502
true72_forward,no_phase_only,A_to_C_to_B,true_vs_random,-0.2640500860639556,-0.2770817880488737,0.013031701984918062,0.012397520495900819,502
true72_forward,no_phase_only,A_to_C_to_B,true_vs_performance_matched,-0.2640500860639556,-0.2702015896779877,0.006151503614032084,0.03519296140771846,502
true72_forward,no_phase_only,B_to_C_to_A,true_vs_balanced,-0.2659115033962046,-0.27180787423715697,0.005896370840952349,0.0005998800239952009,502
true72_forward,no_phase_only,B_to_C_to_A,true_vs_shuffled_c,-0.2659115033962046,-0.2721480423656076,0.006236538969402938,0.003599280143971206,502
true72_forward,no_phase_only,B_to_C_to_A,true_vs_phase_rotated,-0.2659115033962046,-0.2719906124178177,0.006079109021613085,0.024795040991801638,502
true72_forward,no_phase_only,B_to_C_to_A,true_vs_random,-0.2659115033962046,-0.2748956781738171,0.00898417477761251,0.05058988202359528,502
true72_forward,no_phase_only,B_to_C_to_A,true_vs_performance_matched,-0.2659115033962046,-0.279274072867997,0.013362569471792355,0.0001999600079984003,502
true72_forward,no_suppress,A_to_C_to_B,true_vs_balanced,-0.26543173739648784,-0.2722212807880744,0.006789543391586624,0.0001999600079984003,502
true72_forward,no_suppress,A_to_C_to_B,true_vs_shuffled_c,-0.26543173739648784,-0.2732026781900016,0.0077709407935138124,0.0003999200159968006,502
true72_forward,no_suppress,A_to_C_to_B,true_vs_phase_rotated,-0.26543173739648784,-0.273533307443807,0.008101570047319151,0.0013997200559888023,502
true72_forward,no_suppress,A_to_C_to_B,true_vs_random,-0.26543173739648784,-0.28087945827916805,0.015447720882680248,0.002599480103979204,502
