mode,endpoint,direction,object_control_pass_count,intersection_control_pass_count,objectification_gap,object_fails_core,intersection_survives,b6p_success,mean_object_effect,mean_intersection_effect,mean_true_object_score,mean_true_intersection_effect
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,2,5,3,True,True,True,1.2001658520343943,0.009049762111339048,1.0001382100286604,-0.26934735419918915
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,2,4,2,True,True,True,1.2440786795841778,0.007993475018815515,1.0367322329868145,-0.2705919626904819
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,2,4,2,True,True,True,1.2001658520343943,0.007811367606016339,1.0001382100286604,-0.2695913594405655
linear_c_state,rank_reward,B_to_C_to_A,3,5,2,False,True,False,0.5245890847482624,0.06695864182163246,0.437157570623552,-0.6566775954936314
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,3,5,2,False,True,False,0.5163381591884306,0.06549902809908895,0.43028179932369215,-0.6582992206788193
linear_c_state,z_reward,B_to_C_to_A,3,5,2,False,True,False,0.5278973575798661,0.05864428533911102,0.4399144646498888,-0.6658277490798481
gmr72_phase_conditioned,z_reward,B_to_C_to_A,3,5,2,False,True,False,0.5635043376716489,0.056576504035653306,0.4695869480597078,-0.668304920342612
linear_c_state,rank_reward,A_to_C_to_B,3,5,2,False,True,False,0.5245890847482624,0.055267480900832264,0.437157570623552,-0.6666075597476937
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,3,5,2,False,True,False,0.5163381591884306,0.05371114306957362,0.43028179932369215,-0.6674582503270163
linear_c_state,z_reward,A_to_C_to_B,3,5,2,False,True,False,0.5278973575798661,0.04878972615980835,0.4399144646498888,-0.6742877982119958
gmr72_phase_conditioned,z_reward,A_to_C_to_B,3,5,2,False,True,False,0.5635043376716489,0.048229445301181506,0.4695869480597078,-0.6739772448087511
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,3,5,2,False,True,False,0.7228878634936065,0.04777682057156461,0.5781560119534082,-0.6849767103815771
combined_c_fes_gmr72,z_reward,B_to_C_to_A,3,4,1,False,True,False,0.7929758356538577,0.03911570560687201,0.6370793027665212,-0.6935152501692968
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,3,4,1,False,True,False,0.7228878634936065,0.03420632138413062,0.5781560119534082,-0.6876824578298033
combined_c_fes_gmr72,z_reward,A_to_C_to_B,3,4,1,False,True,False,0.7929758356538577,0.032273566273844444,0.6370793027665212,-0.6899558381502069
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,2,3,1,True,False,False,1.2440786795841778,0.00643574523698545,1.0367322329868145,-0.27133330080880497
fes_string_conditioned,rank_reward,A_to_C_to_B,2,1,-1,True,False,False,1.291842504706993,0.01570290399128089,1.0765354205891615,-0.7053414186423997
fes_string_conditioned,rank_reward,B_to_C_to_A,2,1,-1,True,False,False,1.291842504706993,0.014035310932154262,1.0765354205891615,-0.7125153948576394
fes_string_conditioned,z_reward,A_to_C_to_B,2,1,-1,True,False,False,1.0956100489926563,0.011316222749330274,0.9130083741605445,-0.7121087170300231
fes_string_conditioned,z_reward,B_to_C_to_A,2,1,-1,True,False,False,1.0956100489926563,0.009445364859271554,0.9130083741605445,-0.7193655884422034
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,2,1,-1,True,False,False,1.178793666272764,0.002554613037421146,0.9823280552273015,-0.27487357192543327
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,3,1,-2,False,False,False,1.2663938076121242,0.005149558246793483,1.0435338299908115,-0.2758362859660063
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,3,1,-2,False,False,False,1.2663938076121242,0.004063703191467487,1.0435338299908115,-0.27368334103159825
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,2,0,-2,True,False,False,1.178793666272764,0.0030872760637926404,0.9823280552273015,-0.2764505776897923
