mode,endpoint,minimum_success,strong_success,control_asymmetry_pass_count,true_asymmetry_nonzero,fold_direction_stable,dominant_direction,fold_dominant_direction,fold_direction_stability,mean_relative_to_absolute,mean_absolute_to_relative,mean_projection_asymmetry,mean_abs_projection_asymmetry,p_asymmetry_two_sided,effect_vs_random_abs,p_vs_random_abs,effect_vs_balanced_abs,p_vs_balanced_abs,effect_vs_shuffled_c_abs,p_vs_shuffled_c_abs,effect_vs_phase_rotated_abs,p_vs_phase_rotated_abs
gmr72_phase_conditioned,z_reward,False,False,3,False,False,absolute_to_relative,relative_to_absolute,0.6,-0.6739772448087511,-0.668304920342612,0.005672324466138874,0.33949270009082816,0.7868426314737053,-0.09834241274511636,1.0,0.034591279701354616,0.0001999600079984003,0.0058959798917153985,0.3047390521895621,0.042791104316558616,0.0007998400319936012
combined_c_fes_gmr72,z_reward,False,False,3,False,False,relative_to_absolute,relative_to_absolute,0.6,-0.6899558381502069,-0.6935152501692968,-0.003559412019089944,0.3311702199992321,0.8620275944811038,-0.10085561298153325,1.0,0.026268799609758507,0.0003999200159968006,-0.0036172397152133173,0.6412717456508699,0.03519315601086326,0.0001999600079984003
linear_c_state,z_reward,False,False,3,False,False,absolute_to_relative,relative_to_absolute,0.6,-0.6742877982119958,-0.6658277490798481,0.008460049132147611,0.33087200065688577,0.6720655868826235,-0.10696311217905877,1.0,0.025970580267412207,0.0015996800639872025,0.005930703108485273,0.3225354929014197,0.028662792911825767,0.007998400319936013
combined_c_fes_gmr72,gmr72_bridge_composite,False,False,3,False,True,relative_to_absolute,relative_to_absolute,0.8,-0.27368334103159825,-0.2758362859660063,-0.0021529449344080322,0.11765587742265966,0.7758448310337932,-0.03803013115247564,1.0,0.011802953594903182,0.0001999600079984003,0.0001861410314759646,0.47130573885222954,0.0064649609792507366,0.033993201359728054
gmr72_phase_conditioned,gmr72_bridge_composite,False,False,3,False,False,relative_to_absolute,relative_to_absolute,0.6,-0.2705919626904819,-0.27133330080880497,-0.0007413381183231098,0.1096037547491371,0.910617876424715,-0.046552494020522514,1.0,0.0037508309213806004,0.010197960407918417,0.0033028497144517673,0.0643871225754849,0.004265298166383054,0.01979604079184163
gmr72_phase_conditioned,rank_reward,False,False,2,False,False,absolute_to_relative,relative_to_absolute,0.6,-0.6674582503270163,-0.6582992206788193,0.009159029648197016,0.3454812707425378,0.6432713457308539,-0.10869702787183165,1.0,0.02737025051224358,0.0009998000399920016,-0.006359026171320422,0.7130573885222955,0.03981106021831707,0.0003999200159968006
combined_c_fes_gmr72,rank_reward,False,False,2,False,False,absolute_to_relative,relative_to_absolute,0.6,-0.6876824578298033,-0.6849767103815771,0.0027057474482261997,0.3435775125281842,0.8894221155768847,-0.09952398913649896,1.0,0.025466492297889932,0.0015996800639872025,-0.0025285395349305263,0.5956808638272345,0.032474073650506016,0.004399120175964807
linear_c_state,rank_reward,False,False,2,False,False,absolute_to_relative,relative_to_absolute,0.6,-0.6666075597476937,-0.6566775954936314,0.009929964254062408,0.338564773595235,0.6084783043391322,-0.11561352501913445,1.0,0.02045375336494079,0.008398320335932814,-0.005623047844303362,0.7004599080183963,0.02687962747570199,0.008198360327934412
linear_c_state,gmr72_bridge_composite,False,False,2,False,False,relative_to_absolute,relative_to_absolute,0.6,-0.26934735419918915,-0.2695913594405655,-0.00024400524137630273,0.10667203164141233,0.9698060387922416,-0.04948421712824726,1.0,0.0008191078136558493,0.2461507698460308,0.0031007842374160973,0.03579284143171366,0.00037959944576967486,0.41631673665266944
fes_string_conditioned,rank_reward,False,False,0,False,False,relative_to_absolute,relative_to_absolute,0.6,-0.7053414186423997,-0.7125153948576394,-0.00717397621523969,0.3168976929111858,0.6984603079384123,-0.1330405246279523,1.0,-0.0012133273191084466,0.6076784643071386,-0.009416783058283165,0.9302139572085583,-0.005969777764259603,0.7910417916416717
fes_string_conditioned,z_reward,False,False,0,False,False,relative_to_absolute,relative_to_absolute,0.6,-0.7121087170300231,-0.7193655884422034,-0.007256871412180511,0.3054841842906761,0.6854629074185163,-0.14215072454552105,1.0,0.0005827639012024306,0.44831033793241354,-0.014604059755736557,0.9822035592881424,-0.001281472675145866,0.5684863027394521
fes_string_conditioned,gmr72_bridge_composite,False,False,0,False,False,relative_to_absolute,relative_to_absolute,0.6,-0.27487357192543327,-0.2764505776897923,-0.0015770057643590385,0.10309692654427423,0.793241351729654,-0.05949275339736157,1.0,-0.0027559972834822572,1.0,-0.001150177350015105,0.862627474505099,-0.0038198656311101914,0.9986002799440112
