mode,weight_endpoint,readout,fold_dominant_direction,fold_direction_stability,n_folds,fold_mean_asymmetry_min,fold_mean_asymmetry_max
combined_c_fes_gmr72,z_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.08601139740040271,0.12737568089598372
combined_c_fes_gmr72,rank_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.08347940403320898,0.1350278796414006
combined_c_fes_gmr72,gmr72_bridge_composite,q_residual,Relative_to_Qresidual,0.6,5,-0.09850673397896606,0.11795138530556243
gmr72_phase_conditioned,z_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.0584452813246174,0.185589409468771
gmr72_phase_conditioned,rank_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.054944164558474805,0.17830281519833005
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,Relative_to_Qresidual,0.6,5,-0.07462755115636986,0.14182558043852486
fes_string_conditioned,z_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.1050504840740469,0.12019119775479487
fes_string_conditioned,rank_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.10215126250355396,0.11432003769768044
fes_string_conditioned,gmr72_bridge_composite,q_residual,Relative_to_Qresidual,0.6,5,-0.08637482528966513,0.11968729498033492
linear_c_state,z_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.058253910079909786,0.18464014261486314
linear_c_state,rank_reward,q_residual,Relative_to_Qresidual,0.6,5,-0.05486641791352044,0.17816703417772384
linear_c_state,gmr72_bridge_composite,q_residual,Relative_to_Qresidual,0.6,5,-0.07362126934885119,0.14295681664710286
combined_c_fes_gmr72,z_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.07914363419510004,0.1276307568489248
combined_c_fes_gmr72,rank_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.0773361836726385,0.12702432922254486
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,Relative_to_Qresidual,0.6,5,-0.09198953426809418,0.11002190905250865
gmr72_phase_conditioned,z_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.05654547851166873,0.17123509588413363
gmr72_phase_conditioned,rank_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.05282762114780031,0.1617325445476571
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered,Relative_to_Qresidual,0.6,5,-0.06696617265720803,0.12529012507611037
fes_string_conditioned,z_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.0991301066851621,0.10186153894271793
fes_string_conditioned,rank_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.09637857244097572,0.09545810166107378
fes_string_conditioned,gmr72_bridge_composite,mq_decohered,Relative_to_Qresidual,0.6,5,-0.0802173545867506,0.10141453882214538
linear_c_state,z_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.05614298257865606,0.16962940895597853
linear_c_state,rank_reward,mq_decohered,Relative_to_Qresidual,0.6,5,-0.0523943829179663,0.1606801178645401
linear_c_state,gmr72_bridge_composite,mq_decohered,Relative_to_Qresidual,0.6,5,-0.06706151077369257,0.12551437114883005
