mode,weight_endpoint,readout,direction,minimum_access_success,strong_access_success,mean_intersection_access_effect,mean_access_readout,n_events,effect_vs_random,p_vs_random,effect_vs_balanced,p_vs_balanced,effect_vs_shuffled_c,p_vs_shuffled_c,effect_vs_performance,p_vs_performance,effect_vs_phase_rotated,p_vs_phase_rotated
linear_c_state,rank_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.21787696610123045,-0.00654031181071824,101,-0.005607609426493834,0.6064787042591482,0.034804513492071025,0.005598880223955209,0.01578159200879583,0.11797640471905618,0.06474003072905679,0.0003999200159968006,0.051961564659498825,0.01859628074385123
linear_c_state,z_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.21913044934902987,-0.007793795058517545,101,-0.006861092674293138,0.619876024795041,0.033551030244271716,0.007198560287942412,0.01177535268626933,0.2543491301739652,0.06282566039687339,0.0001999600079984003,0.04503757999841229,0.04779044191161767
gmr72_phase_conditioned,rank_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.2202173908271108,-0.00888073653659857,101,-0.007948034152374167,0.6396720655868826,0.03246408876619068,0.010197960407918417,0.018632294088864697,0.10557888422315537,0.06239960600317649,0.0001999600079984003,0.04324533709235263,0.059988002399520096
gmr72_phase_conditioned,z_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.22152607342278965,-0.01018941913227735,101,-0.009256716748052958,0.6484703059388123,0.031155406170511896,0.02399520095980804,0.014392001973248131,0.22335532893421317,0.06043003632311358,0.0005998800239952009,0.03649543074782995,0.11257748450309939
linear_c_state,gmr72_bridge_composite,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.24291274232153293,-0.031576088031020674,101,-0.030643385646796282,0.9468106378724255,0.009768737271768574,0.0033993201359728054,0.0017530778134788782,0.393121375724855,0.018740926601314038,0.09758048390321936,0.010789542031512205,0.08658268346330734
gmr72_phase_conditioned,gmr72_bridge_composite,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.2462172445338486,-0.034880590243336417,101,-0.033947887859112014,0.97000599880024,0.006464235059452838,0.07178564287142572,0.004021278935193576,0.23535292941411717,0.015436424388998301,0.16636672665466906,-0.00024193983865774434,0.5036992601479704
fes_string_conditioned,z_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.24689004491241548,-0.03555339062190325,101,-0.0072945453160951955,0.5874825034993001,0.005791434680885995,0.2829434113177364,-0.002297639544348386,0.5616876624675065,0.03506606483348766,0.003199360127974405,0.012319294752752364,0.19616076784643072
fes_string_conditioned,gmr72_bridge_composite,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.2513255973543361,-0.03998894306382395,101,-0.011730097758015883,0.6530693861227754,0.0013558822389652982,0.3509298140371926,-0.000807260831580159,0.5516896620675865,0.010328071568510755,0.1977604479104179,-0.00014921580030363688,0.5000999800039992
fes_string_conditioned,rank_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.2527989032516508,-0.04146224896113855,101,-0.013203403655330482,0.6740651869626075,-0.00011742365834930009,0.499500099980004,-0.005645158634089424,0.7246550689862028,0.0298180935786365,0.011397720455908818,0.005932596412117072,0.2943411317736453
combined_c_fes_gmr72,z_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.26544369497872145,-0.05410704068820925,101,-0.018400657814036214,0.8148370325934813,-0.012762215385420002,0.911617676464707,-0.02337013955912322,0.9448110377924415,0.016512414767181665,0.1993601279744051,-0.03368749281367897,0.992001599680064
combined_c_fes_gmr72,rank_reward,sic_signature_binary,SI_SIC_to_Relative,False,False,-0.266733524870101,-0.055396870579588725,101,-0.019690487705415663,0.8420315936812638,-0.01405204527679946,0.8984203159368126,-0.028168141797742453,0.9650069986002799,0.015883471960186333,0.21735652869426114,-0.035256526158447696,0.9936012797440512
