mode,weight_endpoint,readout,fold_dominant_direction,fold_direction_stability,n_folds,fold_mean_asymmetry_min,fold_mean_asymmetry_max
combined_c_fes_gmr72,z_reward,sic_continuous,Relative_to_SI_SIC,0.6,5,-0.220377758089464,0.07365188101729486
combined_c_fes_gmr72,rank_reward,sic_continuous,Relative_to_SI_SIC,0.6,5,-0.21869173683315907,0.08053009116607895
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,0.8,5,-0.21450368548650117,0.10751974253265321
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,0.8,5,-0.11450765729546115,0.10575442188548338
gmr72_phase_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,0.8,5,-0.12095765048236654,0.10106266116118877
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,0.6,5,-0.1222609656226001,0.09208758863686811
fes_string_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,0.8,5,-0.15399048342230787,0.13484787273075477
fes_string_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,0.8,5,-0.16219695230797274,0.12065718459800001
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,0.8,5,-0.14983977342926805,0.10161039367449222
linear_c_state,z_reward,sic_continuous,SI_SIC_to_Relative,0.8,5,-0.13332917565360627,0.10364565910217312
linear_c_state,rank_reward,sic_continuous,SI_SIC_to_Relative,0.8,5,-0.14025485332143822,0.09862625122970176
linear_c_state,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,0.6,5,-0.13817686038697385,0.09021041950326986
combined_c_fes_gmr72,z_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.2263212614916636,0.1303520695691133
combined_c_fes_gmr72,rank_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.23196479519724597,0.13228527399097864
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.21933658372309395,0.15189526337383819
gmr72_phase_conditioned,z_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.17535080548513512,0.1413049740876957
gmr72_phase_conditioned,rank_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.1810786936064553,0.1305789642138911
gmr72_phase_conditioned,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.17266774036841567,0.14136131573925986
fes_string_conditioned,z_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.18345976783062454,0.1310397396066499
fes_string_conditioned,rank_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.19101242735369406,0.13661148338201573
fes_string_conditioned,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.18188427396568,0.12327763321289072
linear_c_state,z_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.174164658190559,0.12049432507108615
linear_c_state,rank_reward,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.1818754383287786,0.11939366201210988
linear_c_state,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,0.6,5,-0.16858595309719976,0.12616456796948758
combined_c_fes_gmr72,z_reward,sic_signature_binary,SI_SIC_to_Relative,0.8,5,-0.012505279391093282,0.09047221847478873
combined_c_fes_gmr72,rank_reward,sic_signature_binary,SI_SIC_to_Relative,0.6,5,-0.011468493902809957,0.09158568581958859
combined_c_fes_gmr72,gmr72_bridge_composite,sic_signature_binary,SI_SIC_to_Relative,0.6,5,-0.00782641481828759,0.08051044243932763
gmr72_phase_conditioned,z_reward,sic_signature_binary,SI_SIC_to_Relative,1.0,5,0.006247223687220203,0.09629334194032407
gmr72_phase_conditioned,rank_reward,sic_signature_binary,SI_SIC_to_Relative,1.0,5,0.0020467949384053805,0.11197875930937067
gmr72_phase_conditioned,gmr72_bridge_composite,sic_signature_binary,SI_SIC_to_Relative,0.8,5,-0.003938234371382118,0.09122679717939007
fes_string_conditioned,z_reward,sic_signature_binary,SI_SIC_to_Relative,1.0,5,0.0022056202507192892,0.0707684794129534
fes_string_conditioned,rank_reward,sic_signature_binary,SI_SIC_to_Relative,1.0,5,0.0002536924904233077,0.0708860411752035
fes_string_conditioned,gmr72_bridge_composite,sic_signature_binary,SI_SIC_to_Relative,0.8,5,-0.000700499990295516,0.07774365980430493
linear_c_state,z_reward,sic_signature_binary,SI_SIC_to_Relative,1.0,5,0.010211108729542069,0.09436568968209964
linear_c_state,rank_reward,sic_signature_binary,SI_SIC_to_Relative,1.0,5,0.006536071747883925,0.10980543072502111
linear_c_state,gmr72_bridge_composite,sic_signature_binary,SI_SIC_to_Relative,1.0,5,0.0021193517487725416,0.08982716470729175
combined_c_fes_gmr72,z_reward,mq_decohered_reference,Relative_to_SI_SIC,0.6,5,-0.11797387762949552,0.11963507918296423
combined_c_fes_gmr72,rank_reward,mq_decohered_reference,Relative_to_SI_SIC,0.6,5,-0.11722453956229649,0.13186644457629684
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered_reference,Relative_to_SI_SIC,0.6,5,-0.13238611324856717,0.10681277936434896
gmr72_phase_conditioned,z_reward,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.10713378408499542,0.1822756092952926
gmr72_phase_conditioned,rank_reward,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.10111996260895957,0.1761762496368286
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.12150877853201321,0.1475981266488213
fes_string_conditioned,z_reward,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.12706614114174805,0.11116669728533794
fes_string_conditioned,rank_reward,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.12298336752567775,0.10361150187992765
fes_string_conditioned,gmr72_bridge_composite,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.12256513486788997,0.12132140141449943
linear_c_state,z_reward,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.10184709175804005,0.18089845551556785
linear_c_state,rank_reward,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.09705366772016018,0.17566304806574423
linear_c_state,gmr72_bridge_composite,mq_decohered_reference,SI_SIC_to_Relative,0.6,5,-0.11740420339172894,0.149385490754597
