mode,weight_endpoint,readout,minimum_success,strong_success,control_asymmetry_pass_count,true_asymmetry_nonzero,fold_direction_stability,dominant_direction,fold_dominant_direction,mean_relative_to_sisic,mean_sisic_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,effect_vs_random_abs,p_vs_random_abs,effect_vs_balanced_abs,p_vs_balanced_abs,effect_vs_shuffled_c_abs,p_vs_shuffled_c_abs,effect_vs_phase_rotated_abs,p_vs_phase_rotated_abs
gmr72_phase_conditioned,z_reward,mq_decohered_reference,False,False,4,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.6139948531630104,-0.5842110613751539,0.029783791787856454,0.39823625462315615,0.2601479704059188,-0.0025848070239831325,0.5664867026594681,0.057365474781488464,0.0001999600079984003,0.03248674466620468,0.003999200159968006,0.08576694982094657,0.0001999600079984003
gmr72_phase_conditioned,rank_reward,mq_decohered_reference,False,False,4,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.6114801127393004,-0.5807593853653586,0.030720727373941888,0.3939371190570453,0.2349530093981204,-0.006883942590093961,0.6492701459708058,0.05306633921537762,0.0001999600079984003,0.02920923620221709,0.003599280143971206,0.0886052221077626,0.0001999600079984003
linear_c_state,z_reward,mq_decohered_reference,False,False,4,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.6148881943568264,-0.5840328822338879,0.030855312122938326,0.3877244961498023,0.23135372925414918,-0.013096565497337,0.764247150569886,0.04685371630813459,0.0001999600079984003,0.031029490514909247,0.006798640271945611,0.0748985788705175,0.0001999600079984003
linear_c_state,rank_reward,mq_decohered_reference,False,False,4,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.6125917763377053,-0.5808550011321209,0.03173677520558435,0.38392194230533505,0.20535892821435714,-0.016899119341804204,0.828634273145371,0.043051162463667386,0.0001999600079984003,0.026475785661080442,0.012397520495900819,0.07926122749866915,0.0001999600079984003
combined_c_fes_gmr72,z_reward,mq_decohered_reference,False,False,4,False,0.6,SI_SIC_to_Relative,Relative_to_SI_SIC,-0.6001135813926154,-0.588717935500972,0.011395645891643299,0.36288960083289756,0.6486702659468107,-0.05350466276967217,0.9992001599680064,0.022018820991229867,0.010997800439912017,0.017533141552486718,0.04519096180763847,0.032663346774689545,0.007198560287942412
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered_reference,False,False,4,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.607097926897063,-0.597888661270781,0.009209265626282015,0.35724058973231837,0.6940611877624475,-0.04358047191482094,0.99500099980004,0.01636980989065065,0.0001999600079984003,0.013676780468027554,0.005198960207958408,0.017060861656248344,0.0009998000399920016
linear_c_state,gmr72_bridge_composite,mq_decohered_reference,False,False,4,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.606032513010873,-0.595358961934848,0.010673551076025007,0.34704157075730147,0.6312737452509498,-0.053779490889837855,0.999000199960008,0.006170790915633735,0.02979404119176165,0.009382748689749932,0.021995600879824034,0.010523695335600844,0.01259748050389922
fes_string_conditioned,z_reward,mq_decohered_reference,False,False,3,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.590891565363821,-0.5933002125409961,-0.002408647177174986,0.3521155188766441,0.9236152769446111,-0.07876633577771626,1.0,0.01124473903497644,0.010197960407918417,-0.0035961253770737684,0.6918616276744651,0.021630802078599087,0.004599080183963208
combined_c_fes_gmr72,rank_reward,mq_decohered_reference,False,False,2,False,0.6,SI_SIC_to_Relative,Relative_to_SI_SIC,-0.5984259105464843,-0.5859320609101266,0.012493849636357652,0.3638103127979078,0.6240751849630074,-0.05258395080466184,0.9986002799440112,0.0229395329562402,0.013397320535892822,0.015170988847071463,0.07318536292741452,0.0355085949695791,0.0057988402319536095
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered_reference,False,False,2,False,0.6,Relative_to_SI_SIC,Relative_to_SI_SIC,-0.5973632121535859,-0.6011184023315072,-0.00375519017792118,0.3614137760971255,0.8784243151369726,-0.05498048750544428,0.9994001199760048,0.020542996255457757,0.007998400319936013,0.012755326982471173,0.0665866826634673,0.010619128797918796,0.13817236552689463
fes_string_conditioned,rank_reward,mq_decohered_reference,False,False,1,False,0.6,Relative_to_SI_SIC,SI_SIC_to_Relative,-0.5884795695813253,-0.591878698209249,-0.0033991286279235525,0.34673621374005065,0.875624875024995,-0.08414564091430968,1.0,0.005865433898383019,0.09618076384723055,-0.0012848383651486658,0.5852829434113177,0.019847683869618812,0.009398120375924815
fes_string_conditioned,gmr72_bridge_composite,mq_decohered_reference,False,False,1,False,0.6,SI_SIC_to_Relative,SI_SIC_to_Relative,-0.5967213095489785,-0.5960636621072167,0.0006576474417617724,0.33524980032698726,0.9744051189762047,-0.09563205432737315,1.0,-0.005620979514680446,0.9998000399920016,-0.0018726369774226925,0.7668466306738653,-0.0066487990935214306,0.9836032793441312
