mode,endpoint,state_label,n_train_events,selected_operator,selected_train_reward,generated_train_reward,w_O1_lag0_AB,w_O2_lag5_AB,w_O3_A_C_boundary,w_O4_B_C_boundary,w_O5_full_TFC,w_O6_phase_only,w_O7_suppress_event,mean_O1_lag0_AB,mean_O2_lag5_AB,mean_O3_A_C_boundary,mean_O4_B_C_boundary,mean_O5_full_TFC,mean_O6_phase_only,mean_O7_suppress_event,fold
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q1|fes=Surprise,15,O1_lag0_AB,0.26966862985438317,-0.04096736847953133,0.09017587859612589,0.0451557911662514,0.19379014860675142,0.3216303542412265,0.2830739053484509,0.02444142334972554,0.04173249869146826,0.26966862985438317,0.027593428197582585,-0.13627306183696192,-0.10730834229570761,-0.0036468101039382394,-0.18725027973835615,0.0,0
combined_c_fes_gmr72,z_reward,side=A_side|tfc=high|phase=q1|fes=Surprise,8,O1_lag0_AB,0.640105479301394,0.41309305629869175,0.07619638215686839,0.009931720943697446,0.37316245623990874,0.38882217404204067,0.1295343562832829,0.010116191337752338,0.012236718996449597,0.640105479301394,-0.07304759515959475,0.5224538825791636,0.38848701724591106,0.15213018096329717,-0.06660637980771786,0.0,0
combined_c_fes_gmr72,z_reward,side=B_side|tfc=low|phase=q1|fes=Surprise,16,O4_B_C_boundary,0.0906719196332264,-0.03742405632133049,0.010341538357070685,0.023003309693082973,0.1479462973780578,0.6596097593338339,0.07627540207832846,0.03421182277647524,0.048611870383150985,-0.5416946893247399,-0.2618803748309571,-0.28415299343409,0.0906719196332264,-0.5160275910543284,-0.12295376383559325,0.0,0
combined_c_fes_gmr72,z_reward,side=B_side|tfc=mid|phase=q1|fes=Surprise,23,O7_suppress_event,0.0,-0.14236820554106838,0.020267334179021983,0.05490715784680475,0.17009920527245387,0.34397788542485863,0.3219031845203425,0.03347688734864991,0.05536834540786833,-0.3517491640936215,-0.0029275148639005314,-0.2808657323113965,-0.18275204164363715,-0.057611580956339115,-0.17610347198281603,0.0,0
combined_c_fes_gmr72,z_reward,side=B_side|tfc=low|phase=q4|fes=Surprise,12,O4_B_C_boundary,0.17163049654203116,0.04591999000611213,0.018541135258037605,0.0168300084823619,0.04868522661588177,0.7718917256437471,0.07907302130124003,0.01983957520690859,0.045139307491823065,-0.3114165735669861,-0.3453064712036286,-0.6472287853538617,0.17163049654203116,-0.4774801445236156,-0.28772615873551505,0.0,0
combined_c_fes_gmr72,z_reward,side=A_side|tfc=mid|phase=q4|fes=Activation,8,O4_B_C_boundary,0.4983576957302843,0.24486675613675446,0.2583741028778979,0.07457900859637635,0.010959413544751573,0.06788632936546006,0.003580959508199231,0.4725861354236268,0.11203405068368791,0.29246199387108895,-0.290785067490994,-0.8136114271785484,0.4983576957302843,-0.5314136678410966,0.35544126361141526,0.0,0
combined_c_fes_gmr72,z_reward,side=B_side|tfc=low|phase=q1|fes=Activation,9,O4_B_C_boundary,0.8584081155719255,0.709608736471295,0.017859455502532023,0.02294879213923018,0.05597501534471258,0.0775835871456621,0.0029503390963165994,0.7769137385833488,0.04576907218819776,-0.32937642334767986,-0.3899748962411596,0.07045389866811659,0.8584081155719255,-0.2858944099880194,0.8427475109785507,0.0,0
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q4|fes=Activation,10,O5_full_TFC,0.68604551172631,0.17445083121279675,0.3190933180086446,0.15196424454279658,0.07409199966124642,0.014172334197078655,0.1248800179183297,0.19524735250880032,0.12055073316310369,0.3406945172825831,-0.0673036481331857,-0.17036709435823352,-0.07557606628541906,0.68604551172631,0.020414041097443204,0.0,0
combined_c_fes_gmr72,z_reward,side=B_side|tfc=mid|phase=q4|fes=Activation,13,O2_lag5_AB,0.16564500448796796,0.10662840711684543,0.15315571670770756,0.28895003561939014,0.15733335761319447,0.011439987378567133,0.02736522065355055,0.24394114903774017,0.11781453298985013,0.09182023425696992,0.16564500448796796,0.10123932615925511,-0.1425023077531762,0.16275299407859162,0.10638063068218083,0.0,0
combined_c_fes_gmr72,z_reward,side=B_side|tfc=high|phase=q1|fes=Activation,8,O1_lag0_AB,0.3641292954847537,0.09013850848800736,0.43937072590760495,0.1341808178540489,0.12160820379713459,0.006489539073408186,0.011686567661386588,0.13142386430538833,0.15524028140102858,0.3641292954847537,-0.19937979350327836,-0.08545939027132331,-0.43747735912896396,-0.2315903449297798,-0.206645993716686,0.0,0
