mode,endpoint,direction,final_object_core_pass_count,max_object_core_pass_count,object_pressure_slope,objectification_failure,intersection_survives,object_failure_with_intersection_survival,intersection_core_pass_count,intersection_pass_count,mean_final_object_core_effect,mean_intersection_core_effect,object_intersection_effect_gap,mean_true_intersection_effect
linear_c_state,z_reward,B_to_C_to_A,1,1,0.12133268869391842,True,True,True,3,5,-0.32101549256643563,0.056855497846187375,0.377870990412623,-0.6635270324370246
linear_c_state,z_reward,A_to_C_to_B,1,1,0.12133268869391842,True,True,True,3,5,-0.32101549256643563,0.04522077987862599,0.36623627244506163,-0.6717387351761208
gmr72_phase_conditioned,z_reward,B_to_C_to_A,1,1,0.11903696023208514,True,True,True,3,5,-0.31297133459550847,0.05243982645368336,0.3654111610491918,-0.6682112529237566
gmr72_phase_conditioned,z_reward,A_to_C_to_B,1,1,0.11903696023208514,True,True,True,3,5,-0.31297133459550847,0.042560992102503276,0.3555323266980117,-0.6720524574571082
linear_c_state,rank_reward,B_to_C_to_A,1,1,0.1260457243343017,True,True,True,3,5,-0.2891350483697784,0.0652691900689251,0.3544042384387035,-0.6529638728135235
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,1,1,0.1213665016731028,True,True,True,3,5,-0.28291607969217786,0.06215747052965381,0.34507355022183167,-0.6562277343228047
linear_c_state,rank_reward,A_to_C_to_B,1,1,0.1260457243343017,True,True,True,3,5,-0.2891350483697784,0.05207126249801794,0.3412063108677963,-0.6648163302795377
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,1,1,0.1213665016731028,True,True,True,3,5,-0.28291607969217786,0.04948852545053592,0.33240460514271375,-0.6653161252107918
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0,0,0.07572880613274194,True,True,True,3,4,-0.1612835972714539,0.007784191233996701,0.1690677885054506,-0.26907109696367765
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0,0,0.07572880613274194,True,True,True,3,4,-0.1612835972714539,0.007671423199927111,0.168955020471381,-0.2693136391344885
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,0,0,0.08592767124948487,True,True,True,3,4,-0.12584641193464682,0.005769136920222634,0.13161554885486945,-0.2715238748295148
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,1,1,0.09162906298139409,True,True,True,2,4,-0.04556377022786634,0.03289672968674287,0.07846049991460921,-0.6847463500165495
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,1,1,0.09162906298139409,True,True,True,3,4,-0.04556377022786634,0.03062836149283438,0.07619213172070072,-0.694491439775022
fes_string_conditioned,z_reward,B_to_C_to_A,0,0,0.0763142652149724,True,False,False,0,1,-0.3569312781931386,0.0030315337404348396,0.35996281193357343,-0.7163251760529378
fes_string_conditioned,z_reward,A_to_C_to_B,0,0,0.0763142652149724,True,False,False,0,1,-0.3569312781931386,-0.004732081774652727,0.35219919641848585,-0.7187326797015717
fes_string_conditioned,rank_reward,B_to_C_to_A,1,1,0.09390943915822546,True,False,False,2,3,-0.22343014923631932,0.01332273694952678,0.2367528861858461,-0.7033469389055843
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0,0,0.03344794843803715,True,False,False,1,1,-0.2310492021042858,0.0020607092043136064,0.23310991130859943,-0.275308912504157
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,0,0,0.03344794843803715,True,False,False,0,0,-0.2310492021042858,0.0011736530771762883,0.2322228551814621,-0.27519334629495856
fes_string_conditioned,rank_reward,A_to_C_to_B,1,1,0.09390943915822546,True,False,False,0,1,-0.22343014923631932,0.006217934697956913,0.22964808393427624,-0.7058471445937754
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,0,0,0.08592767124948487,True,False,False,2,3,-0.12584641193464682,0.006259001335087336,0.13210541326973416,-0.2702395318155001
combined_c_fes_gmr72,z_reward,B_to_C_to_A,1,1,0.09501084183867241,True,False,False,1,2,-0.001089283298886116,0.018605998781934148,0.019695282080820265,-0.7026416545245964
combined_c_fes_gmr72,z_reward,A_to_C_to_B,1,1,0.09501084183867241,True,False,False,1,3,-0.001089283298886116,0.017384176187207192,0.01847345948609331,-0.6950007559170355
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,1,1,0.0977257368931836,True,False,False,1,2,0.11434008030326552,0.006086557121281564,-0.10825352318198396,-0.271117472060995
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,1,1,0.0977257368931836,True,False,False,0,0,0.11434008030326552,0.002654837246423148,-0.11168524305684237,-0.27669440042249693
