mode,endpoint,path,direction_with_c,arm_type_with_c,pass_count_with_c,core_pass_count_with_c,survives_with_c,fails_with_c,mean_effect_with_c,mean_core_effect_with_c,mean_true_access_effect_with_c,direction_no_c,arm_type_no_c,pass_count_no_c,core_pass_count_no_c,survives_no_c,fails_no_c,mean_effect_no_c,mean_core_effect_no_c,mean_true_access_effect_no_c,c_necessary_pattern,access_effect_gap_with_c_minus_no_c
linear_c_state,rank_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.06808909520533474,0.05684747450858809,-0.6594298734361925,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003984507592199715,-0.0013154531714615711,-0.7243245405813526,True,0.05816292768004966
gmr72_phase_conditioned,rank_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.06499035767755325,0.053579954262603514,-0.6622754368866695,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003984507592199715,-0.0013154531714615711,-0.7243245405813526,True,0.05489540743406508
linear_c_state,rank_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.06343311848619923,0.052551579217571774,-0.6645096745245741,A_to_B_no_C,no_c_direct_ab,1,0,False,True,-3.827124193004593e-05,-0.0013154531714615711,-0.7243245405813526,True,0.05386703238903334
gmr72_phase_conditioned,rank_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.06218150956089621,0.050603465903830504,-0.6647165268672198,A_to_B_no_C,no_c_direct_ab,1,0,False,True,-3.827124193004593e-05,-0.0013154531714615711,-0.7243245405813526,True,0.05191891907529207
linear_c_state,z_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.06089694201119731,0.048047379926954605,-0.6667860859214115,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003968622950746404,-0.0013059481053828215,-0.7290410663847228,True,0.049353328032337426
gmr72_phase_conditioned,z_reward,B_path,B_to_C_to_A,with_c_intersection,5,3,True,False,0.0573503200214344,0.044432703695098684,-0.6702306265480349,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003968622950746404,-0.0013059481053828215,-0.7290410663847228,True,0.045738651800481506
combined_c_fes_gmr72,rank_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.04547100824986631,0.04274388529251002,-0.6821306903104767,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0037031103857541347,-0.0013154531714615711,-0.7243245405813526,True,0.04405933846397159
combined_c_fes_gmr72,rank_reward,B_path,B_to_C_to_A,with_c_intersection,4,3,True,False,0.03774646762470833,0.04013912709523574,-0.6894363253276026,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0042734686726179786,-0.0013154531714615711,-0.7243245405813526,True,0.04145458026669731
linear_c_state,z_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.05201315725762075,0.038585722896762535,-0.6758495687440289,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.001639164059824454,-0.0013059481053828215,-0.7290410663847228,True,0.03989167100214536
gmr72_phase_conditioned,z_reward,A_path,A_to_C_to_B,with_c_intersection,5,3,True,False,0.0509744458540598,0.03663690430623879,-0.6755231193671457,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.001639164059824454,-0.0013059481053828215,-0.7290410663847228,True,0.03794285241162161
