mode,endpoint,direction,arm_type,pass_count,core_pass_count,survives,fails,mean_effect,mean_core_effect,mean_true_access_effect
combined_c_fes_gmr72,z_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0034825897021147274,-0.0013059481053828215,-0.7290410663847228
combined_c_fes_gmr72,z_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.004360448840639584,-0.0013059481053828215,-0.7290410663847228
combined_c_fes_gmr72,rank_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0037031103857541347,-0.0013154531714615711,-0.7243245405813526
combined_c_fes_gmr72,rank_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.0042734686726179786,-0.0013154531714615711,-0.7243245405813526
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0017840799156287734,-0.000176026698372063,-0.2851699656780228
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0018078498206432851,-0.000176026698372063,-0.2851699656780228
gmr72_phase_conditioned,z_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.001639164059824454,-0.0013059481053828215,-0.7290410663847228
gmr72_phase_conditioned,z_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003968622950746404,-0.0013059481053828215,-0.7290410663847228
gmr72_phase_conditioned,rank_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,-3.827124193004593e-05,-0.0013154531714615711,-0.7243245405813526
gmr72_phase_conditioned,rank_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003984507592199715,-0.0013154531714615711,-0.7243245405813526
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0005793757554984486,-0.000176026698372063,-0.2851699656780228
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0022352058398368998,-0.000176026698372063,-0.2851699656780228
fes_string_conditioned,z_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0014592501016784602,-0.0013059481053828215,-0.7290410663847228
fes_string_conditioned,z_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,-0.0012916192397700779,-0.0013059481053828215,-0.7290410663847228
fes_string_conditioned,rank_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.0016450489544063223,-0.0013154531714615711,-0.7243245405813526
fes_string_conditioned,rank_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,-0.0019183127475109491,-0.0013154531714615711,-0.7243245405813526
fes_string_conditioned,gmr72_bridge_composite,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0002454779988263815,-0.000176026698372063,-0.2851699656780228
fes_string_conditioned,gmr72_bridge_composite,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0006298669868323913,-0.000176026698372063,-0.2851699656780228
linear_c_state,z_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,0.001639164059824454,-0.0013059481053828215,-0.7290410663847228
linear_c_state,z_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003968622950746404,-0.0013059481053828215,-0.7290410663847228
linear_c_state,rank_reward,A_to_B_no_C,no_c_direct_ab,1,0,False,True,-3.827124193004593e-05,-0.0013154531714615711,-0.7243245405813526
linear_c_state,rank_reward,B_to_A_no_C,no_c_direct_ab,1,0,False,True,0.003984507592199715,-0.0013154531714615711,-0.7243245405813526
linear_c_state,gmr72_bridge_composite,A_to_B_no_C,no_c_direct_ab,0,0,False,True,0.0005793757554984486,-0.000176026698372063,-0.2851699656780228
linear_c_state,gmr72_bridge_composite,B_to_A_no_C,no_c_direct_ab,0,0,False,True,0.0022352058398368998,-0.000176026698372063,-0.2851699656780228
