mode,endpoint,direction,comparison,control_kind,mean_true,mean_control,effect,p_greater,n_pairs,passes
combined_c_fes_gmr72,z_reward,A_to_C_to_B,true_vs_random,random,-0.6927858882126665,-0.7185301738861943,0.02574428567352786,0.08398320335932813,502,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,true_vs_balanced,balanced,-0.6927858882126665,-0.7140804129272932,0.021294524714626624,0.04239152169566087,502,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,true_vs_performance_matched,performance_matched,-0.6927858882126665,-0.7546880546930745,0.06190216648040788,0.0001999600079984003,502,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,true_vs_shuffled_c,shuffled_c,-0.6927858882126665,-0.7272563105846676,0.034470422372001035,0.022195560887822437,502,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,true_vs_phase_rotated,phase_rotated,-0.6927858882126665,-0.7197354929220224,0.02694960470935579,0.028394321135772844,502,True
combined_c_fes_gmr72,z_reward,B_to_C_to_A,true_vs_random,random,-0.7004897945439573,-0.6896845008324222,-0.010805293711535314,0.7148570285942811,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,true_vs_balanced,balanced,-0.7004897945439573,-0.7179173728310504,0.017427578287093,0.0613877224555089,502,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,true_vs_performance_matched,performance_matched,-0.7004897945439573,-0.7567212958718835,0.05623150132792613,0.0001999600079984003,502,True
combined_c_fes_gmr72,z_reward,B_to_C_to_A,true_vs_shuffled_c,shuffled_c,-0.7004897945439573,-0.7349495901554239,0.034459795611466615,0.017996400719856028,502,True
combined_c_fes_gmr72,z_reward,B_to_C_to_A,true_vs_phase_rotated,phase_rotated,-0.7004897945439573,-0.7277454263169653,0.027255631773007848,0.02399520095980804,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,true_vs_random,random,-0.6821306903104767,-0.7187805358486302,0.03664984553815358,0.027394521095780843,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,true_vs_balanced,balanced,-0.6821306903104767,-0.7143325140564794,0.032201823746002604,0.005398920215956809,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,true_vs_performance_matched,performance_matched,-0.6821306903104767,-0.7446042301441247,0.062473539833647916,0.0001999600079984003,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,true_vs_shuffled_c,shuffled_c,-0.6821306903104767,-0.7344538484874517,0.052323158176974964,0.0011997600479904018,502,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,true_vs_phase_rotated,phase_rotated,-0.6821306903104767,-0.7258373642650291,0.04370667395455247,0.004199160167966407,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,true_vs_random,random,-0.6894363253276026,-0.6969841032943356,0.0075477779667330195,0.34513097380523894,502,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,true_vs_balanced,balanced,-0.6894363253276026,-0.717347918867321,0.027911593539718397,0.0061987602479504095,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,true_vs_performance_matched,performance_matched,-0.6894363253276026,-0.750203504198704,0.06076717887110144,0.0001999600079984003,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,true_vs_shuffled_c,shuffled_c,-0.6894363253276026,-0.7419233812960075,0.052487055968405034,0.0007998400319936012,502,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,true_vs_phase_rotated,phase_rotated,-0.6894363253276026,-0.7294550571051862,0.04001873177758379,0.004599080183963208,502,True
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,true_vs_random,random,-0.27321696314695076,-0.2808437819442903,0.007626818797339566,0.1357728454309138,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,true_vs_balanced,balanced,-0.27321696314695076,-0.27687332890592253,0.0036563657589717756,0.1877624475104979,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,true_vs_performance_matched,performance_matched,-0.27321696314695076,-0.27841245425116584,0.005195491104215085,0.15476904619076184,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,true_vs_shuffled_c,shuffled_c,-0.27321696314695076,-0.27979844578580293,0.006581482638852119,0.15156968606278745,502,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,true_vs_phase_rotated,phase_rotated,-0.27321696314695076,-0.28308706089555613,0.009870097748605295,0.021795640871825634,502,True
