mode,endpoint,direction,substitution_pass_count,true_c_non_substitutable,mean_true_c,mean_fake_c,mean_effect_true_minus_fake,passes_shuffled_c,passes_phase_rotated_c,passes_random_c,passes_balanced_c,passes_foreign_label_c
linear_c_state,rank_reward,B_to_C_to_A,5,True,-0.6527032442454557,-0.7209206179625343,0.0682173737170786,True,True,True,True,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,5,True,-0.6551195617663621,-0.7193258497879945,0.06420628802163235,True,True,True,True,True
linear_c_state,z_reward,B_to_C_to_A,5,True,-0.6595127223063706,-0.7211817553410581,0.06166903303468764,True,True,True,True,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,5,True,-0.6626310745526107,-0.7191828608019935,0.05655178624938258,True,True,True,True,True
linear_c_state,rank_reward,A_to_C_to_B,5,True,-0.6727325402423104,-0.7125135793481754,0.03978103910586502,True,True,True,True,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,5,True,-0.6733668007951611,-0.7106682597665971,0.037301458971436045,True,True,True,True,True
linear_c_state,z_reward,A_to_C_to_B,5,True,-0.6812040662195262,-0.713613321604739,0.03240925538521268,True,True,True,True,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,5,True,-0.6810334129630352,-0.7109185117683008,0.02988509880526554,True,True,True,True,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,5,True,-0.26892912075516967,-0.2773679836191622,0.008438862863992501,True,True,True,True,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,5,True,-0.27011529823572,-0.2763962290283005,0.0062809307925805555,True,True,True,True,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,5,True,-0.270176167168365,-0.2764145135516497,0.006238346383284683,True,True,True,True,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,3,False,-0.6880821651811744,-0.7116272223503529,0.02354505716917845,False,False,True,True,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,3,False,-0.6808451716486503,-0.6988647390731689,0.018019567424518653,False,True,True,True,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,3,False,-0.2708156765701639,-0.2755208613086716,0.004705184738507679,False,True,True,True,False
fes_string_conditioned,rank_reward,A_to_C_to_B,2,False,-0.7021290162555095,-0.7119893240880387,0.009860307832529173,False,False,True,True,False
fes_string_conditioned,rank_reward,B_to_C_to_A,1,False,-0.7049098315238217,-0.7102182772322035,0.005308445708381853,False,False,False,True,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,1,False,-0.2749080172891624,-0.27580770829472234,0.0008996910055599601,False,False,False,True,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0,False,-0.7011236835949192,-0.7134670144406297,0.012343330845710373,False,False,False,False,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0,False,-0.6942901320995857,-0.701525008823895,0.007234876724309422,False,False,False,False,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,0,False,-0.27593435678726713,-0.27759671790927254,0.0016623611220053676,False,False,False,False,False
fes_string_conditioned,z_reward,B_to_C_to_A,0,False,-0.7116069247712359,-0.7129786072223071,0.0013716824510713642,False,False,False,False,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,0,False,-0.2752565363295282,-0.2763195936877162,0.0010630573581880082,False,False,False,False,False
fes_string_conditioned,z_reward,A_to_C_to_B,0,False,-0.7133623127569635,-0.7140327282206412,0.0006704154636776693,False,False,False,False,False
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,0,False,-0.2711947236263213,-0.271786836426276,0.0005921127999546324,False,False,False,False,False
