mode,endpoint,direction,true_mean_access_effect,basin_width_bins,basin_width_degrees,first_significant_collapse_bins,first_significant_collapse_degrees,n_tolerated_shifts,n_collapsed_shifts,mean_true_minus_shift,phase_basin_supported
combined_c_fes_gmr72,z_reward,B_to_C_to_A,-0.6889994255677812,1.0,90.0,1.5,135.0,2,5,0.02131275306470256,True
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,-0.26995887873465063,3.5,315.0,,,7,0,0.004239739645423046,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,-0.2739531891511287,3.5,315.0,,,7,0,0.0016253880394246595,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,-0.2748793475452602,3.5,315.0,,,7,0,5.450013424810457e-19,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,-0.2751014327849865,3.5,315.0,,,7,0,-1.8956568434123334e-19,False
fes_string_conditioned,rank_reward,B_to_C_to_A,-0.703821067059514,3.5,315.0,,,7,0,1.2953655096650943e-18,False
fes_string_conditioned,rank_reward,A_to_C_to_B,-0.7081875794306772,3.5,315.0,,,7,0,1.935149694316757e-18,False
fes_string_conditioned,z_reward,B_to_C_to_A,-0.7143619546181607,3.5,315.0,,,7,0,-1.7376854397946389e-19,False
fes_string_conditioned,z_reward,A_to_C_to_B,-0.7209695546992732,3.5,315.0,,,7,0,1.105799825323861e-18,False
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,-0.26859023156343287,0.0,0.0,0.5,45.0,0,7,0.0059146305266683016,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,-0.2688529219175516,0.0,0.0,0.5,45.0,0,7,0.006110859518909285,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,-0.2691505435382515,0.0,0.0,0.5,45.0,0,7,0.005589931172665585,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,-0.26965599691404823,0.0,0.0,0.5,45.0,0,7,0.004754239008586141,False
linear_c_state,rank_reward,B_to_C_to_A,-0.6465062739526979,0.0,0.0,0.5,45.0,0,7,0.04481722104352514,False
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,-0.6482367343070591,0.0,0.0,0.5,45.0,0,7,0.04347450890495463,False
linear_c_state,z_reward,B_to_C_to_A,-0.6561490924170079,0.0,0.0,0.5,45.0,0,7,0.04159557662552188,False
gmr72_phase_conditioned,z_reward,B_to_C_to_A,-0.6576531643444098,0.0,0.0,0.5,45.0,0,7,0.03973181387595833,False
linear_c_state,rank_reward,A_to_C_to_B,-0.6618193475902872,0.0,0.0,0.5,45.0,0,7,0.037151300728043575,False
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,-0.6619930699056092,0.0,0.0,0.5,45.0,0,7,0.03640596366362209,False
gmr72_phase_conditioned,z_reward,A_to_C_to_B,-0.6694972055795477,0.0,0.0,0.5,45.0,0,7,0.03600504896136995,False
linear_c_state,z_reward,A_to_C_to_B,-0.6711827797062285,0.0,0.0,0.5,45.0,0,7,0.035543736731181684,False
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,-0.6722149477340262,0.0,0.0,0.5,45.0,0,7,0.03039760594574426,False
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,-0.6760600163318741,0.0,0.0,0.5,45.0,0,7,0.02840438293774349,False
combined_c_fes_gmr72,z_reward,A_to_C_to_B,-0.6857784947105539,0.0,0.0,0.5,45.0,0,7,0.024528387296336423,False
