mode,endpoint,fold,label,idx_in_session,direction,true_state_label,phase_shift_bins,phase_shift_degrees,access_readout,baseline_max,access_effect
combined_c_fes_gmr72,z_reward,0,P10,56.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.0,0.0,0.24920224650786366,0.8693910891709757,-0.6201888426631121
combined_c_fes_gmr72,z_reward,0,P10,56.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.25,22.5,0.26916889561275703,0.8693910891709757,-0.6002221935582187
combined_c_fes_gmr72,z_reward,0,P10,56.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.5,45.0,0.2939574252869392,0.8693910891709757,-0.5754336638840365
combined_c_fes_gmr72,z_reward,0,P10,56.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.75,67.5,0.325554414294835,0.8693910891709757,-0.5438366748761407
combined_c_fes_gmr72,z_reward,0,P10,56.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,1.0,90.0,0.36721143868637,0.8693910891709757,-0.5021796504846057
combined_c_fes_gmr72,z_reward,0,P10,56.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.0,0.0,0.5104188917418243,0.8693910891709757,-0.35897219742915143
combined_c_fes_gmr72,z_reward,0,P10,56.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.25,22.5,0.4996104461871725,0.8693910891709757,-0.36978064298380325
combined_c_fes_gmr72,z_reward,0,P10,56.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.5,45.0,0.49030798517144647,0.8693910891709757,-0.37908310399952927
combined_c_fes_gmr72,z_reward,0,P10,56.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.75,67.5,0.48221725600748233,0.8693910891709757,-0.3871738331634934
combined_c_fes_gmr72,z_reward,0,P10,56.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,1.0,90.0,0.4751159768576052,0.8693910891709757,-0.39427511231337053
combined_c_fes_gmr72,z_reward,0,P10,64.0,A_to_C_to_B,side=A_side|tfc=high|phase=q4|fes=Surprise,0.0,0.0,0.006293371373528242,0.5841084582126724,-0.5778150868391442
combined_c_fes_gmr72,z_reward,0,P10,64.0,A_to_C_to_B,side=A_side|tfc=high|phase=q4|fes=Surprise,0.25,22.5,0.006293371373528242,0.5841084582126724,-0.5778150868391442
combined_c_fes_gmr72,z_reward,0,P10,64.0,A_to_C_to_B,side=A_side|tfc=high|phase=q4|fes=Surprise,0.5,45.0,0.006293371373528242,0.5841084582126724,-0.5778150868391442
combined_c_fes_gmr72,z_reward,0,P10,64.0,A_to_C_to_B,side=A_side|tfc=high|phase=q4|fes=Surprise,0.75,67.5,0.006293371373528242,0.5841084582126724,-0.5778150868391442
combined_c_fes_gmr72,z_reward,0,P10,64.0,A_to_C_to_B,side=A_side|tfc=high|phase=q4|fes=Surprise,1.0,90.0,0.006293371373528242,0.5841084582126724,-0.5778150868391442
combined_c_fes_gmr72,z_reward,0,P10,64.0,B_to_C_to_A,side=A_side|tfc=high|phase=q4|fes=Surprise,0.0,0.0,0.24279648288472966,0.5841084582126724,-0.3413119753279428
combined_c_fes_gmr72,z_reward,0,P10,64.0,B_to_C_to_A,side=A_side|tfc=high|phase=q4|fes=Surprise,0.25,22.5,0.24279648288472966,0.5841084582126724,-0.3413119753279428
combined_c_fes_gmr72,z_reward,0,P10,64.0,B_to_C_to_A,side=A_side|tfc=high|phase=q4|fes=Surprise,0.5,45.0,0.24279648288472966,0.5841084582126724,-0.3413119753279428
combined_c_fes_gmr72,z_reward,0,P10,64.0,B_to_C_to_A,side=A_side|tfc=high|phase=q4|fes=Surprise,0.75,67.5,0.24279648288472966,0.5841084582126724,-0.3413119753279428
combined_c_fes_gmr72,z_reward,0,P10,64.0,B_to_C_to_A,side=A_side|tfc=high|phase=q4|fes=Surprise,1.0,90.0,0.24279648288472966,0.5841084582126724,-0.3413119753279428
combined_c_fes_gmr72,z_reward,0,P10,101.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.0,0.0,-0.2735499706458565,0.4135186329079951,-0.6870686035538516
combined_c_fes_gmr72,z_reward,0,P10,101.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.25,22.5,-0.3303843010443844,0.4135186329079951,-0.7439029339523795
combined_c_fes_gmr72,z_reward,0,P10,101.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.5,45.0,-0.4009439366745269,0.4135186329079951,-0.8144625695825221
combined_c_fes_gmr72,z_reward,0,P10,101.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,0.75,67.5,-0.4908836007332948,0.4135186329079951,-0.9044022336412899
combined_c_fes_gmr72,z_reward,0,P10,101.0,A_to_C_to_B,side=B_side|tfc=high|phase=q1|fes=Surprise,1.0,90.0,-0.609458784543572,0.4135186329079951,-1.0229774174515671
combined_c_fes_gmr72,z_reward,0,P10,101.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.0,0.0,-0.3276251073346262,0.4135186329079951,-0.7411437402426213
combined_c_fes_gmr72,z_reward,0,P10,101.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.25,22.5,-0.2991939674244732,0.4135186329079951,-0.7127126003324683
combined_c_fes_gmr72,z_reward,0,P10,101.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.5,45.0,-0.27472425350404506,0.4135186329079951,-0.6882428864120402
combined_c_fes_gmr72,z_reward,0,P10,101.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,0.75,67.5,-0.253441946841842,0.4135186329079951,-0.6669605797498371
combined_c_fes_gmr72,z_reward,0,P10,101.0,B_to_C_to_A,side=B_side|tfc=high|phase=q1|fes=Surprise,1.0,90.0,-0.23476234485556785,0.4135186329079951,-0.648280977763563
combined_c_fes_gmr72,z_reward,0,P10,106.0,A_to_C_to_B,side=A_side|tfc=low|phase=q4|fes=Surprise,0.0,0.0,-0.24801581348796603,1.2044993852344357,-1.4525151987224016
combined_c_fes_gmr72,z_reward,0,P10,106.0,A_to_C_to_B,side=A_side|tfc=low|phase=q4|fes=Surprise,0.25,22.5,-0.3155855393400812,1.2044993852344357,-1.520084924574517
combined_c_fes_gmr72,z_reward,0,P10,106.0,A_to_C_to_B,side=A_side|tfc=low|phase=q4|fes=Surprise,0.5,45.0,-0.39246833779073337,1.2044993852344357,-1.596967723025169
combined_c_fes_gmr72,z_reward,0,P10,106.0,A_to_C_to_B,side=A_side|tfc=low|phase=q4|fes=Surprise,0.75,67.5,-0.48073213740566745,1.2044993852344357,-1.6852315226401031
combined_c_fes_gmr72,z_reward,0,P10,106.0,A_to_C_to_B,side=A_side|tfc=low|phase=q4|fes=Surprise,1.0,90.0,-0.5831060365153082,1.2044993852344357,-1.787605421749744
combined_c_fes_gmr72,z_reward,0,P10,106.0,B_to_C_to_A,side=A_side|tfc=low|phase=q4|fes=Surprise,0.0,0.0,-0.0027349688330137074,1.2044993852344357,-1.2072343540674493
combined_c_fes_gmr72,z_reward,0,P10,106.0,B_to_C_to_A,side=A_side|tfc=low|phase=q4|fes=Surprise,0.25,22.5,0.29770592614598845,1.2044993852344357,-0.9067934590884472
combined_c_fes_gmr72,z_reward,0,P10,106.0,B_to_C_to_A,side=A_side|tfc=low|phase=q4|fes=Surprise,0.5,45.0,0.5424858665729806,1.2044993852344357,-0.6620135186614551
combined_c_fes_gmr72,z_reward,0,P10,106.0,B_to_C_to_A,side=A_side|tfc=low|phase=q4|fes=Surprise,0.75,67.5,0.74576147159065,1.2044993852344357,-0.4587379136437857
combined_c_fes_gmr72,z_reward,0,P10,106.0,B_to_C_to_A,side=A_side|tfc=low|phase=q4|fes=Surprise,1.0,90.0,0.9172638234580701,1.2044993852344357,-0.28723556177636556
combined_c_fes_gmr72,z_reward,0,P10,132.0,A_to_C_to_B,side=A_side|tfc=high|phase=q1|fes=Surprise,0.0,0.0,0.09584914815597378,0.49703481961545826,-0.40118567145948447
combined_c_fes_gmr72,z_reward,0,P10,132.0,A_to_C_to_B,side=A_side|tfc=high|phase=q1|fes=Surprise,0.25,22.5,0.09584914815597378,0.49703481961545826,-0.40118567145948447
combined_c_fes_gmr72,z_reward,0,P10,132.0,A_to_C_to_B,side=A_side|tfc=high|phase=q1|fes=Surprise,0.5,45.0,0.09584914815597378,0.49703481961545826,-0.40118567145948447
combined_c_fes_gmr72,z_reward,0,P10,132.0,A_to_C_to_B,side=A_side|tfc=high|phase=q1|fes=Surprise,0.75,67.5,0.09584914815597378,0.49703481961545826,-0.40118567145948447
combined_c_fes_gmr72,z_reward,0,P10,132.0,A_to_C_to_B,side=A_side|tfc=high|phase=q1|fes=Surprise,1.0,90.0,0.09584914815597378,0.49703481961545826,-0.40118567145948447
combined_c_fes_gmr72,z_reward,0,P10,132.0,B_to_C_to_A,side=A_side|tfc=high|phase=q1|fes=Surprise,0.0,0.0,0.4184028280469394,0.49703481961545826,-0.07863199156851886
combined_c_fes_gmr72,z_reward,0,P10,132.0,B_to_C_to_A,side=A_side|tfc=high|phase=q1|fes=Surprise,0.25,22.5,0.4184028280469394,0.49703481961545826,-0.07863199156851886
combined_c_fes_gmr72,z_reward,0,P10,132.0,B_to_C_to_A,side=A_side|tfc=high|phase=q1|fes=Surprise,0.5,45.0,0.4184028280469394,0.49703481961545826,-0.07863199156851886
combined_c_fes_gmr72,z_reward,0,P10,132.0,B_to_C_to_A,side=A_side|tfc=high|phase=q1|fes=Surprise,0.75,67.5,0.4184028280469394,0.49703481961545826,-0.07863199156851886
combined_c_fes_gmr72,z_reward,0,P10,132.0,B_to_C_to_A,side=A_side|tfc=high|phase=q1|fes=Surprise,1.0,90.0,0.4184028280469394,0.49703481961545826,-0.07863199156851886
combined_c_fes_gmr72,z_reward,0,P10,137.0,A_to_C_to_B,side=B_side|tfc=high|phase=q4|fes=Surprise,0.0,0.0,-1.0466549432979038,-0.7948497572832258,-0.25180518601467794
combined_c_fes_gmr72,z_reward,0,P10,137.0,A_to_C_to_B,side=B_side|tfc=high|phase=q4|fes=Surprise,0.25,22.5,-1.0428358381814322,-0.7948497572832258,-0.2479860808982064
combined_c_fes_gmr72,z_reward,0,P10,137.0,A_to_C_to_B,side=B_side|tfc=high|phase=q4|fes=Surprise,0.5,45.0,-1.037563668586821,-0.7948497572832258,-0.2427139113035952
combined_c_fes_gmr72,z_reward,0,P10,137.0,A_to_C_to_B,side=B_side|tfc=high|phase=q4|fes=Surprise,0.75,67.5,-1.0298143375268678,-0.7948497572832258,-0.23496458024364197
combined_c_fes_gmr72,z_reward,0,P10,137.0,A_to_C_to_B,side=B_side|tfc=high|phase=q4|fes=Surprise,1.0,90.0,-1.0173058837747084,-0.7948497572832258,-0.2224561264914826
combined_c_fes_gmr72,z_reward,0,P10,137.0,B_to_C_to_A,side=B_side|tfc=high|phase=q4|fes=Surprise,0.0,0.0,-0.9784461670783822,-0.7948497572832258,-0.18359640979515635
combined_c_fes_gmr72,z_reward,0,P10,137.0,B_to_C_to_A,side=B_side|tfc=high|phase=q4|fes=Surprise,0.25,22.5,-0.9688666233191103,-0.7948497572832258,-0.1740168660358845
combined_c_fes_gmr72,z_reward,0,P10,137.0,B_to_C_to_A,side=B_side|tfc=high|phase=q4|fes=Surprise,0.5,45.0,-0.9563054943340706,-0.7948497572832258,-0.16145573705084482
combined_c_fes_gmr72,z_reward,0,P10,137.0,B_to_C_to_A,side=B_side|tfc=high|phase=q4|fes=Surprise,0.75,67.5,-0.9391142220892184,-0.7948497572832258,-0.14426446480599253
combined_c_fes_gmr72,z_reward,0,P10,137.0,B_to_C_to_A,side=B_side|tfc=high|phase=q4|fes=Surprise,1.0,90.0,-0.9141542979079952,-0.7948497572832258,-0.11930454062476936
