mode,endpoint,direction,true_mean_access_effect,tolerance_width_bins,tolerance_width_degrees,first_significant_collapse_bins,first_significant_collapse_degrees,n_tolerated_shifts,n_collapsed_shifts,mean_true_minus_shift,collapse_slope_per_bin,phase_collapse_detected,narrow_boundary_supported
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,-0.26859023156343287,0.0,0.0,0.25,22.5,0,4,0.004000219812689852,-0.006573837286440101,True,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,-0.2688529219175516,0.0,0.0,0.25,22.5,0,4,0.0045364658737056624,-0.007647656050569795,True,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,-0.2691505435382515,0.0,0.0,0.25,22.5,0,4,0.004023137850066694,-0.006839354771721139,True,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,-0.26965599691404823,0.0,0.0,0.25,22.5,0,4,0.0029442156179596904,-0.004923710533239456,True,True
linear_c_state,rank_reward,B_to_C_to_A,-0.6465062739526979,0.0,0.0,0.25,22.5,0,4,0.024676077297580794,-0.03978746535292382,True,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,-0.6482367343070591,0.0,0.0,0.25,22.5,0,4,0.024769468840642427,-0.03899275326335773,True,True
linear_c_state,z_reward,B_to_C_to_A,-0.6561490924170079,0.0,0.0,0.25,22.5,0,4,0.025327236758459694,-0.04038727037933653,True,True
gmr72_phase_conditioned,z_reward,B_to_C_to_A,-0.6576531643444098,0.0,0.0,0.25,22.5,0,4,0.02414401182832321,-0.03833853407082419,True,True
linear_c_state,rank_reward,A_to_C_to_B,-0.6618193475902872,0.0,0.0,0.25,22.5,0,4,0.02193989329228895,-0.0370004588487172,True,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,-0.6619930699056092,0.0,0.0,0.25,22.5,0,4,0.02171209308240228,-0.037717963421101085,True,True
gmr72_phase_conditioned,z_reward,A_to_C_to_B,-0.6694972055795477,0.0,0.0,0.25,22.5,0,4,0.024158844972923588,-0.03997973144621097,True,True
linear_c_state,z_reward,A_to_C_to_B,-0.6711827797062285,0.0,0.0,0.25,22.5,0,4,0.02401811249947411,-0.03929144601292767,True,True
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,-0.6722149477340262,0.0,0.0,0.25,22.5,0,4,0.019827417734630752,-0.029310668221876664,True,True
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,-0.6760600163318741,0.0,0.0,0.25,22.5,0,4,0.015598181663169172,-0.021495925764083667,True,True
combined_c_fes_gmr72,z_reward,A_to_C_to_B,-0.6857784947105539,0.0,0.0,0.25,22.5,0,4,0.016713813771524765,-0.024316657631211085,True,True
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,-0.26995887873465063,1.0,90.0,,,4,0,0.0030620444796074803,-0.005576324575031208,False,False
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,-0.2739531891511287,1.0,90.0,,,4,0,0.0005997788223640924,-0.0014722388508456783,False,False
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,-0.2748793475452602,1.0,90.0,,,4,0,7.153142620063726e-19,0.0,False,False
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,-0.2751014327849865,1.0,90.0,,,4,0,-2.488049606978687e-19,-4.0539612963254127e-17,False,False
combined_c_fes_gmr72,z_reward,B_to_C_to_A,-0.6889994255677812,1.0,90.0,,,4,0,0.010839132238452984,-0.01648667112954501,False,False
fes_string_conditioned,rank_reward,B_to_C_to_A,-0.703821067059514,1.0,90.0,,,4,0,1.7001672314354365e-18,0.0,False,False
fes_string_conditioned,rank_reward,A_to_C_to_B,-0.7081875794306772,1.0,90.0,,,4,0,2.5398839737907435e-18,8.107922592650825e-17,False,False
fes_string_conditioned,z_reward,B_to_C_to_A,-0.7143619546181607,1.0,90.0,,,4,0,-2.2807121397304634e-19,1.621584518530165e-16,False,False
fes_string_conditioned,z_reward,A_to_C_to_B,-0.7209695546992732,1.0,90.0,,,4,0,1.4513622707375676e-18,0.0,False,False
