mode,endpoint,direction,phase_shift_bins,phase_shift_degrees,mean_access_effect,median_access_effect,n_events
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0.0,0.0,-0.6857784947105539,-0.4874106168457315,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0.25,22.5,-0.6931671127122305,-0.4945438874165168,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0.5,45.0,-0.6996760383886077,-0.5011823706582449,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,0.75,67.5,-0.7057046139395511,-0.4934357059395552,502
combined_c_fes_gmr72,z_reward,A_to_C_to_B,1.0,90.0,-0.7114214688879255,-0.5073923568791991,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0.0,0.0,-0.6889994255677812,-0.527424451565571,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0.25,22.5,-0.6935920628105955,-0.5173206389082069,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0.5,45.0,-0.6978500366649303,-0.5173206389082069,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,0.75,67.5,-0.7019467461638269,-0.5179725612029443,502
combined_c_fes_gmr72,z_reward,B_to_C_to_A,1.0,90.0,-0.705965385585584,-0.5242250935133188,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,0.0,0.0,-0.6722149477340262,-0.6057728416228063,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,0.25,22.5,-0.6809030147926491,-0.5867243636021087,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,0.5,45.0,-0.6885579969633024,-0.5991657796533588,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,0.75,67.5,-0.6957908192300434,-0.6303748294144892,502
combined_c_fes_gmr72,rank_reward,A_to_C_to_B,1.0,90.0,-0.7029176308886329,-0.6413225478174119,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,0.0,0.0,-0.6760600163318741,-0.5955025925283133,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,0.25,22.5,-0.683280542804018,-0.5942763921133991,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,0.5,45.0,-0.6893055949476948,-0.6086155211624011,502
combined_c_fes_gmr72,rank_reward,B_to_C_to_A,0.75,67.5,-0.6946264624577122,-0.6213835494214437,502
