event_class,event_role,condition,topology_name,primary_endpoint_name,n_seed_events,mean_seed_strength,total_impulse_budget,n_runs,steps,mean_branch_transition_differentiated,sd_branch_transition_differentiated,effect_vs_time_shifted,effect_vs_random_event,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,p_vs_degree_null,n_events_evaluated,branch_transition_score,branch_transition_differentiated,branch_signed_delta,branch_flip_fraction,pre_branch_contrast,post_branch_contrast,post_branch_selectivity,even_branch_delta,odd_branch_delta,even_odd_delta_concordance,generic_readout_improvement,branch_minus_abs_generic_improvement,bounded_non_runaway_score,non_collapsed_differentiation_score,late_branch_stability,late_generic_readout_stability,mean_final_branch_selectivity,mean_final_readout,branch_transition_q_value,p_vs_non_phi_contrast_switches,mean_non_phi_contrast_run_value,passes_branch_specificity_gate,passes_null_gate,passes_shift_random_fdr_gate,mechanism_candidate
hybrid_phi_sign_switch,primary_phi_fes,endogenous,"C12(1,2)",branch_transition_differentiated,120,0.09634522940915351,11.56142752909842,400,240,0.05881581568393855,0.006775059265292512,0.010928650295601194,0.0031318152640479394,0.008039311918955537,0.18352059925093633,0.13216957605985039,23.0,0.09807649453540197,0.05881581568393855,8.03125094099385e-05,0.04576086956521738,0.23238403997225576,0.2324643524816657,0.23608711806471852,-0.0029279867207893796,0.003088611739609258,0.505,0.009642803680135387,0.08836071111728121,0.9547447498841237,0.6507380233564243,0.5165246272587772,0.5565188564970783,0.06027237362178166,0.5620638301049203,0.36704119850187267,0.0008326394671107411,0.0230601925704005,True,False,False,False
hybrid_phi_sign_switch,primary_phi_fes,time_shifted,"C12(1,2)",branch_transition_differentiated,120,0.09634522940915351,11.56142752909842,400,240,0.04788716538833736,0.004730580782288082,,,,,,24.0,0.07774221929385221,0.04788716538833736,0.019804227108780322,0.04260416666666666,0.22724444818324874,0.24704867529202906,0.25140305244889477,0.027270279448904082,0.01233817476865656,0.6975,0.0008530437636258026,0.07408746606611383,0.955820866801312,0.662125381204827,0.6349747778804901,0.5699604655827761,0.2119734235774856,0.5511429169480363,,,0.0230601925704005,False,False,False,False
hybrid_phi_sign_switch,primary_phi_fes,random_event,"C12(1,2)",branch_transition_differentiated,120,0.09634522940915351,11.56142752909842,400,240,0.05568400041989061,0.011190998452216827,,,,,,119.0275,0.0934728140644192,0.05568400041989061,0.01585239267846594,0.059627450980392155,0.15233351742336892,0.1681859101018348,0.17497839635031998,0.0187505866403555,0.012954198716576383,0.695,0.0006154429288005842,0.09019054265819733,0.9527417349396885,0.6238755417056445,0.4550563790817904,0.589073624158671,0.1837298371885555,0.5486450107176126,,,0.0230601925704005,False,False,False,False
hybrid_fes_phase_transition,primary_phi_fes,endogenous,"C12(1,2)",branch_transition_differentiated,192,0.09999999999999999,19.2,400,240,0.09433671212547369,0.007102718390936412,0.009263942492448676,0.02978596080286057,0.009454101926209019,0.04244694132334582,0.11970074812967581,24.0,0.14385548489048922,0.09433671212547369,0.006113627229670528,0.03114583333333333,0.3231378999434089,0.32925152717307943,0.3294916052292487,0.0021846683898847346,0.01004258606945632,0.545,0.009314884954090583,0.13451647500630476,0.9571792062273904,0.6915003065175549,0.6087207105448447,0.4000609178125468,0.0934431020437751,0.5606110412314502,0.12734082397003746,,0.0230601925704005,False,False,False,False
hybrid_fes_phase_transition,primary_phi_fes,time_shifted,"C12(1,2)",branch_transition_differentiated,192,0.09999999999999999,19.2,400,240,0.08507276963302501,0.005444325857784645,,,,,,25.0,0.1246812654322643,0.08507276963302501,0.03656999150443651,0.0437,0.3207610178442461,0.3573310093486826,0.3609027909547305,0.03702990454775797,0.03611007846111505,0.9125,-0.003845198061123394,0.11998263012001444,0.9574108222583247,0.7078619144038244,0.5204463054869584,0.7618348040324153,0.3400316725274861,0.493232207089561,,,0.0230601925704005,False,False,False,False
hybrid_fes_phase_transition,primary_phi_fes,random_event,"C12(1,2)",branch_transition_differentiated,192,0.09999999999999999,19.2,400,240,0.06455075132261312,0.01210002460889864,,,,,,190.38,0.09844529561708203,0.06455075132261312,0.022228744607118777,0.030233402653393956,0.27029430976282237,0.2925230543699412,0.2936927601051871,0.020137099700594234,0.024320389513643317,0.8025,0.000747028782507782,0.09556589353948054,0.9557749120962699,0.6904864387395824,0.40069862633760167,0.47657841652331656,0.3003962281861316,0.5535636422666659,,,0.0230601925704005,False,False,False,False
hybrid_cluster_transition,primary_phi_fes,endogenous,"C12(1,2)",branch_transition_differentiated,192,0.09999999999999999,19.2,400,240,0.09359748027862783,0.006955807233265477,0.009034579751728847,0.02694734424542558,0.008763377014243096,0.04119850187265917,0.16209476309226933,24.0,0.14269830800751498,0.09359748027862783,0.00502275238799319,0.02770833333333333,0.3245872727640219,0.329610025152015,0.3299093041178328,0.001191913744594466,0.008853591031391914,0.5225,0.00973594600631861,0.1329389958820549,0.9570617255690572,0.6913053332708524,0.6089555955949713,0.40272848492742225,0.09350360840251223,0.5606906732914492,0.12734082397003746,,0.0230601925704005,False,False,False,False
hybrid_cluster_transition,primary_phi_fes,time_shifted,"C12(1,2)",branch_transition_differentiated,192,0.09999999999999999,19.2,400,240,0.08456290052689898,0.005045487756211124,,,,,,25.0,0.1236768160975023,0.08456290052689898,0.035255351378928476,0.042,0.32196727532888103,0.3572226267078095,0.3608199382919888,0.03546487911108957,0.03504582364676739,0.92,-0.003766728336335381,0.11910385938764355,0.9573529002343932,0.7077692821807262,0.5204960460231871,0.7628429986429168,0.3399743623264623,0.49316573281690546,,,0.0230601925704005,False,False,False,False
hybrid_cluster_transition,primary_phi_fes,random_event,"C12(1,2)",branch_transition_differentiated,192,0.09999999999999999,19.2,400,240,0.06665013603320225,0.012987077129616685,,,,,,190.4225,0.1015745576006323,0.06665013603320225,0.021141456162878595,0.030774651677459356,0.27168342851979066,0.2928248846826692,0.29400128763744304,0.020397302745516627,0.02188560958024056,0.79,0.0008682960533765369,0.09830103325010359,0.9557510517349777,0.6907099551541153,0.39080726662619975,0.4823337089655746,0.29710538496133176,0.5531651025240136,,,0.0230601925704005,False,False,False,False
chapter7_dphi_sign_switch,contrast_switch,endogenous,"C12(1,2)",branch_transition_differentiated,4741,0.06954778878013942,329.726066606641,400,240,0.02379131003286867,0.0003783062379701269,-0.0014271075837864362,0.006800031057174517,0.0010036069244809057,0.5056179775280899,0.0199501246882793,238.0,0.04083433695347985,0.02379131003286867,-0.00884440029859645,0.0029726890756302513,0.10884909114200607,0.10000469084340961,0.1090123483007248,-0.008696298477939214,-0.008992502119253686,0.995,0.001729280524520034,0.03894338444144597,0.9527548387412901,0.6092196362402721,0.44422257292226114,0.39374328803683784,0.0784193820877169,0.5486672330281834,0.5593008739076155,,0.0230601925704005,False,True,False,False
chapter7_dphi_sign_switch,contrast_switch,time_shifted,"C12(1,2)",branch_transition_differentiated,4741,0.06954778878013942,329.726066606641,400,240,0.025218417616655105,0.0006167623792052155,,,,,,238.0,0.04324994174102547,0.025218417616655105,0.003253248815475524,0.008970588235294117,0.10389439504440418,0.10714764385987971,0.1150711325593357,0.003519193332808432,0.0029873042981426157,0.82,0.0012191938432591929,0.04180108912933691,0.9529091706599095,0.6100716246529302,0.5224457006825792,0.44766353470675396,0.08931983877731357,0.5520311171423257,,,0.0230601925704005,False,False,False,False
chapter7_dphi_sign_switch,contrast_switch,random_event,"C12(1,2)",branch_transition_differentiated,4741,0.06954778878013942,329.726066606641,400,240,0.016991278975694152,0.002736672691806619,,,,,,238.0,0.029654191298013357,0.016991278975694152,0.0006090079571799486,0.0026680672268907563,0.0977221964007903,0.09833120435797024,0.10485066223012578,0.0008843939105660643,0.0003336220037938328,0.645,0.0008220758811399062,0.027282119744526802,0.9533895493385611,0.6005769803736373,0.4365868715777056,0.4159215730952518,0.10456419501512049,0.5692423545164764,,,0.0230601925704005,False,False,False,False
chapter7_d2phi_curvature_switch,contrast_switch,endogenous,"C12(1,2)",branch_transition_differentiated,6731,0.0695581699575389,468.1960419841943,400,240,0.018695813369860134,0.0003966083368717847,-0.0036439979671432435,0.003141149987700785,0.0006369278004105076,0.5593008739076155,0.10723192019950124,238.0,0.03206315205823546,0.018695813369860134,-0.007161911906468793,0.0013970588235294118,0.11708732877734636,0.10992541687087756,0.11725297823921833,-0.006991953507166627,-0.00733187030577096,0.9975,0.0008435299493196353,0.03079283422422974,0.9524453138609684,0.6100700298769575,0.3828430386611908,0.3261118373054907,0.09853534776238067,0.5564569314056312,0.5593008739076155,,0.0230601925704005,False,False,False,False
chapter7_d2phi_curvature_switch,contrast_switch,time_shifted,"C12(1,2)",branch_transition_differentiated,6731,0.0695581699575389,468.1960419841943,400,240,0.022339811337003378,4.748830742728724e-05,,,,,,238.0,0.03827706209381679,0.022339811337003378,-0.0008797671979103842,0.004201680672268907,0.11419025730446228,0.11331049010655189,0.12072038170141695,-0.0019909455935854083,0.0002314111977646398,0.34,-0.003608309291700924,0.034668752802115864,0.9525346186060143,0.6114876409249121,0.45800389140954534,0.47005526685460025,0.08568723523238798,0.5458624352038518,,,0.0230601925704005,False,False,False,False
chapter7_d2phi_curvature_switch,contrast_switch,random_event,"C12(1,2)",branch_transition_differentiated,6731,0.0695581699575389,468.1960419841943,400,240,0.015554663382159349,0.0024269329221359623,,,,,,238.0,0.027220541993767115,0.015554663382159349,0.000279648463539034,0.001670168067226891,0.09778325748240123,0.09806290594594025,0.10476386004393856,0.00021375138771977014,0.0003455455393582977,0.6625,0.000351923603946957,0.024781537406222177,0.9533866454525831,0.5989629510443761,0.4358458099801423,0.4244504617830056,0.10471916349775004,0.5650689234582225,,,0.0230601925704005,False,False,False,False
chapter7_deps_sign_switch,contrast_switch,endogenous,"C12(1,2)",branch_transition_differentiated,4650,0.05777504966329029,268.65398093429985,400,240,0.026693454308472697,0.000739118155830253,-0.002082011472431769,0.01103589973967099,0.0010845409335025168,0.5006242197253433,0.09975062344139651,238.0,0.04740220432532098,0.026693454308472697,-0.008641788298691814,0.0076995798319327725,0.09496672597814036,0.08632493767944856,0.09636340594351137,-0.007921929705595462,-0.009361646891788165,0.99,-0.0024514015698514926,0.04494516110542613,0.9540579927913171,0.594343772401947,0.5162897276119799,0.4485528742640416,0.06398871217266165,0.5515811945634312,0.5593008739076155,,0.0230601925704005,False,False,False,False
chapter7_deps_sign_switch,contrast_switch,time_shifted,"C12(1,2)",branch_transition_differentiated,4650,0.05777504966329029,268.65398093429985,400,240,0.028775465780904466,0.0009353807487417152,,,,,,238.0,0.050790383722803104,0.028775465780904466,-0.0003031904687175896,0.017972689075630252,0.09111889525216917,0.09081570478345158,0.10033053841990483,-0.0005204184584191722,-8.596247901600656e-05,0.4825,-0.0014331413128517534,0.04918540427664376,0.9538437174490829,0.5961403690179274,0.49054395500257514,0.439527123194636,0.08435801550943424,0.5592158982126851,,,0.0230601925704005,False,False,False,False
