analysis_block,public_role,event_class,event_role,n_seed_events,mean_seed_strength,total_impulse_budget,mean_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,effect_vs_C8,effect_vs_degree_null_mean,p_vs_time_shifted_and_random,primary_family_q,contrast_family_q,p_vs_C8,p_vs_degree_null,late_window_stability,early_improvement,mid_improvement,late_improvement,mean_late_window_stability,mean_final_readout
primary_closed_loop_family,primary_endpoint,closed_loop_phi_sign_switch,primary_phi_fes,502,0.0813473091374824,40.8363491870162,0.0254964369969885,0.0074302093728404,0.0061178766549628,0.0306720547143377,0.0098251599083875,0.0436590436590436,0.1309771309771309,,0.0041493775933609,0.0015600624024961,0.6230257712732882,0.0477073169283344,0.0270749799284801,0.0140335822141328,0.6134971467883561,0.919812034271026
primary_closed_loop_family,auxiliary_coherence_probe,closed_loop_fes_phase_transition,primary_phi_fes,192,0.0665803186986247,12.78342119013596,0.0001337463749539,-0.0026811830793151,-0.0004801198573869,0.0008909064098705,0.0006563532388744,0.6985446985446986,0.7110187110187111,,0.3195020746887966,0.4274570982839313,0.7623652005035123,-0.001961268482996,0.0141183401431858,-0.0120312499766298,0.7507586597260004,0.5462670455303428
primary_closed_loop_family,auxiliary_coherence_probe,closed_loop_cluster_transition,primary_phi_fes,192,0.0665803186986247,12.78342119013596,0.000165244916528,-0.0029851139353124,-0.0003601632660492,0.0009006738980153,3.549241742881304e-05,0.7110187110187111,0.7110187110187111,,0.3236514522821577,0.5085803432137286,0.7576386126248662,-0.0016917564234504,0.0139046542848573,-0.0127504358513918,0.7616622950588938,0.5454215440979653
primary_closed_loop_family,warning_control,closed_loop_dphi_sign_switch,contrast_switch,1144,0.0621701950904692,71.12270318349684,0.0029593831364827,0.0019613980924702,0.0023923289793701,0.0019580936768333,0.0008229182560092,0.0353430353430353,,0.0353430353430353,0.0373443983402489,0.1950078003120124,0.5165281994639404,,,,,
count_matched_dphi_stress,primary_endpoint_replication,eta075_phi_sign_primary,primary_phi_fes,502,0.0813473091374824,40.8363491870162,0.0254670688620308,0.0071334092245609,0.0054865556232239,0.0307085177036247,0.0098300663016748,0.074792243767313,0.1745152354570637,0.074792243767313,0.005524861878453,0.002079002079002,0.620254429769156,0.0480704387117529,0.0269740001066816,0.0143783974701999,0.6154771758457861,0.920199048984512
count_matched_dphi_stress,warning_control,eta075_dphi_all_control,contrast_switch,1144,0.0621701950904692,71.12270318349684,0.0029208272110202,0.001874795155771,0.0023652714479549,0.0019382165158534,0.0006119997668664,0.0360110803324099,0.1454293628808864,0.1246537396121883,0.0220994475138121,0.2661122661122661,0.5159881239887577,,,,,
count_matched_dphi_stress,warning_control,eta075_dphi_interval_control,contrast_switch,1144,0.0621701950904692,71.12270318349684,0.0028854891991251,0.0019044783831551,0.0022025092155803,0.0017568317710807,0.0008589318629094,0.0415512465373961,0.1454293628808864,0.1246537396121883,0.0276243093922651,0.1808731808731808,0.5162064737465457,,,,,
count_matched_dphi_stress,main_negative_control,eta075_dphi_interval_count_match_00,contrast_switch,502,0.0632673977930077,31.760233692089898,-0.0006495773555236,-0.0013457746871953,-0.0010323726087863,-0.0003327310609412,-7.617619012285763e-05,0.8448753462603878,0.9473684210526316,0.9473684210526316,0.6685082872928176,0.5363825363825364,0.6478416279431023,,,,,
count_matched_dphi_stress,main_negative_control,eta075_dphi_interval_count_match_01,contrast_switch,502,0.0646225446211089,32.44051739979671,-0.0015702795278032,-0.0033407447412221,-0.0020379707564233,-0.0013542808652572,-0.0007426226358704,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.8839779005524862,0.7318087318087318,0.6645158625939921,,,,,
count_matched_dphi_stress,main_negative_control,eta075_dphi_interval_count_match_02,contrast_switch,502,0.0619949730039132,31.121476447964422,0.0005317799243053,-0.0010976921918304,7.256948074357421e-05,-0.0007149826592432,-1.922390536520844e-05,0.6620498614958449,0.9473684210526316,0.9473684210526316,0.7403314917127072,0.4948024948024948,0.5956558106597762,,,,,
count_matched_dphi_stress,main_negative_control,eta075_dphi_interval_count_match_03,contrast_switch,502,0.0622893334157033,31.269245374683067,6.000965592791463e-05,-0.0016580149172555,-0.0004611131964781,0.0007899604627243,0.0006629233685072,0.7894736842105263,0.9473684210526316,0.9473684210526316,0.2209944751381215,0.3097713097713098,0.6168540224757695,,,,,
